年,農用地,森林,原野,水面・河川・水路,道路,宅地,その他,総面積,可住地面積
昭和61年,4411,14370,-,712.5,967.2,1522.9,1022.4,23006,6901.1
昭和62年,4381,14371,-,711.5,978.3,1540.2,1024,23006,6899.5
昭和63年,4339,14371,-,707.2,1018,1592.3,1076.5,23075,6920.3
平成元年,4302,14371,-,704,1018.1,1670.8,1009.1,23075,6990.9
平成2年,4280,14371,-,677.6,1014.4,1695.8,1036.2,23075,6990.2
平成3年,4245,14255,-,678.2,1038.4,1729.4,1109,23075,7012.8
平成4年,4210,14257,-,679.2,1054.3,1757.7,1116.8,23075,7022
平成5年,4154,14258,-,679.5,1082.2,1783.5,1117.8,23075,7019.7
平成6年,4115,14258,-,675.5,1049.8,1719.7,1257,23075,6884.5
平成7年,4081,14245,-,674.3,1061.9,1735.4,1277.4,23075,6878.3
平成8年,4035,14242,-,672.7,1077.8,1752.3,1295.2,23075,6865.1
平成9年,4002,14201,-,671.4,1088.1,1787.1,1325.4,23075,6877.2
平成10年,3956,14239,-,669.3,1093.5,1804.2,1313,23075,6853.7
平成11年,3926,14238,-,667.5,1097.8,1882,1263.7,23075,6905.8
平成12年,3903,14245,-,666.7,1098.6,1887.4,1274.3,23075,6889
平成13年,3891,14241,-,666.1,1112.3,1898.7,1265.8,23075,6902.1
平成14年,3849,14240,-,663.6,1151.5,1915.1,1255.8,23075,6915.6
平成15年,3838,14240,-,662.9,1154.5,1882.7,1296.8,23075,6875.3
平成16年,3817,14234,-,661.6,1157.8,1883.9,1320.5,23075,6858.8
平成17年,3810,14189,-,675,1130.9,1891.7,1378.4,23075,6834.6
平成18年,3800,14189,-,675,1052.4,1902.8,1455.8,23075,6755
平成19年,3790,14189,-,675,942.6,1913.7,1564.7,23075,6646
平成20年,3770,14188,-,675,1170.7,1922.1,1349.2,23075,6863
平成21年,3750,14188,-,654.7,1171.7,1931.4,1379.2,23075,6853
平成22年,*,*,*,*,*,*,*,*,*
平成23年,3722,14186,-,652.2,1171.3,1914.1,1429.4,23075,6323
平成24年,3723,14186,-,651.8,1172.3,1927.4,1414.5,23075,6823
平成25年,3712,14186,-,651.5,1183.9,1935.4,1406.1,23075,6831
平成26年,3702,14186,-,650.9,1185.6,1939.1,1406.4,23070,6827
平成27年,3702,14186,-,650.9,1185.6,1939.1,1406.4,23070,6827
