年（各年1月1日）,総数（ha）,田（ha）,畑（ha）,宅地（ha）,山林（ha）,原野（ha）,雑種地/その他（ha）
平成17年,10822.6,3314.2,259.3,1497.6,3813.4,110.8,1827.3
平成18年,13066.6,3880.6,349.2,1805.5,4795,113.5,2122.8
平成19年,13081,3871.1,348.2,1816.4,4800.6,111.6,2133.1
平成20年,13099.4,3854.8,342.8,1824.9,4818.3,110.8,2147.8
平成21年,13112.7,3845,342.5,1834.1,4822.6,110.4,2158.1
平成22年,13122,3834.5,343.3,1840.5,4824.4,110.5,2168.8
平成23年,13125.1,3820.2,341.3,1839.4,4822.2,110.4,2191.6
平成24年,13136,3807.6,341.3,1852.7,4831.4,110.4,2192.6
平成25年,13128.9,3793.2,340.9,1860.7,4832.6,111,2190.5
平成26年,13134.6,3787.5,340.2,1864.4,4828.2,111.5,2202.8
平成27年,13135.3,3780,338.1,1873.9,4824.7,112.3,2205.5
平成28年,13139.7,3773.3,337.7,1881.1,4837.2,112.4,2198
平成29年,13143.1,3765.6,337.6,1888.6,4830.4,112.9,2208
平成30年,13143.1,3749.8,336.8,1898.3,4834.4,113.3,2210.5
平成31年（令和1年）,13143.1,3733.2,335.5,1910.6,4838,111.4,2214.4
令和2年,13154.8,3723,335,1923.2,4839,111.5,2223.1
令和3年,13154.8,3708.7,333.3,1937.8,4838.7,107.9,2226.9
,,,,,,,
,,,,,,,
