年（各年1月1日）,田（ha）,畑（ha）,宅地（ha）,山林（ha）,原野（ha）,雑種地/その他（ha）
平成17年,3136.1,234.4,1421.4,3296.7,88.3,128.1
平成18年,3654.2,309,1700.8,4161,90.3,136.1
平成19年,3648.7,308.1,1710.4,4176.1,89.2,136.4
平成20年,3632.7,303.2,1724.9,4179.4,88.9,134.1
平成21年,3614.8,302.7,1733.3,4179.7,88,134.5
平成22年,3606.1,303.5,1738.3,4180.8,88.4,131.3
平成23年,3600.5,303.2,1745.3,4185.6,88.5,131.5
平成24年,3596.6,303.3,1758.2,4186.5,88.3,131.5
平成25年,3676.7,322.7,1775,4648.5,100.2,135.7
平成26年,3671.3,322.1,1781.3,4643.1,100.2,135.4
平成27年,3664,320,1791.3,4638.6,101,135
平成28年,3658.4,319.5,1798.3,4648.2,101,120.2
平成29年,3650.6,319.3,1805.2,4640.4,101.5,120.1
平成30年,3639.7,318.8,1814.6,4644,101.7,120.2
平成31年（令和1年）,3534.9,298.1,1813.5,4189.2,88.7,115.2
令和2年,3528.2,297.9,1825.8,4195,88.6,115.5
令和3年,3517.8,296.3,1839.1,4192.1,85.3,120.8
,,,,,,
,,,,,,
