年,震度1,震度2,震度3,震度4,震度5弱,震度5強,震度6弱,震度6強,震度7,不明,合計
昭和元年,1,1,0,0,0,0,0,0,0,0,2
昭和2年,20,19,5,1,1,0,0,0,0,0,46
昭和3年,4,0,1,0,0,0,0,0,0,0,5
昭和4年,6,1,0,0,0,0,0,0,0,0,7
昭和5年,5,0,1,2,0,0,0,0,0,0,8
昭和6年,9,1,3,0,0,0,0,0,0,0,13
昭和7年,5,1,0,0,0,0,0,0,0,0,6
昭和8年,0,4,3,0,0,0,0,0,0,0,7
昭和9年,3,2,1,0,0,0,0,0,0,0,6
昭和10年,5,1,2,0,0,0,0,0,0,0,8
昭和11年,8,5,1,1,0,0,0,0,0,0,15
昭和12年,1,0,1,0,0,0,0,0,0,0,2
昭和13年,3,2,1,0,0,0,0,0,0,0,6
昭和14年,0,3,2,0,0,0,0,0,0,0,5
昭和15年,1,2,2,0,0,0,0,0,0,0,5
昭和16年,10,2,0,0,0,0,0,0,0,0,12
昭和17年,5,1,1,0,0,0,0,0,0,0,7
昭和18年,19,8,5,1,0,0,0,0,0,0,33
昭和19年,8,6,2,0,1,0,0,0,0,2,19
昭和20年,19,7,4,1,0,0,0,0,0,3,34
昭和21年,11,1,0,0,1,0,0,0,0,0,13
昭和22年,13,2,0,0,0,0,0,0,0,0,15
昭和23年（福井震災）,89,38,7,0,0,0,1,0,0,479,614
昭和24年,40,7,9,1,0,0,0,0,0,0,57
昭和25年,24,5,4,0,0,0,0,0,0,0,33
昭和26年,7,6,2,0,0,0,0,0,0,0,15
昭和27年,22,12,5,2,0,0,0,0,0,0,41
昭和28年,7,3,0,0,0,0,0,0,0,0,10
昭和29年,11,5,4,0,0,0,0,0,0,0,20
昭和30年,5,3,0,0,0,0,0,0,0,0,8
昭和31年,4,1,1,0,0,0,0,0,0,0,6
昭和32年,4,4,1,0,0,0,0,0,0,0,9
昭和33年,0,2,1,0,0,0,0,0,0,0,3
昭和34年,6,2,0,0,0,0,0,0,0,0,8
昭和35年,5,4,1,0,0,0,0,0,0,0,10
昭和36年,50,11,0,1,0,0,0,0,0,0,62
昭和37年,8,7,2,0,0,0,0,0,0,0,17
昭和38年,17,10,3,1,1,0,0,0,0,0,32
昭和39年,7,6,0,0,0,0,0,0,0,0,13
昭和40年,2,4,0,1,0,0,0,0,0,0,7
昭和41年,4,3,1,0,0,0,0,0,0,0,8
昭和42年,1,0,0,0,0,0,0,0,0,0,1
昭和43年,8,6,1,0,0,0,0,0,0,0,15
昭和44年,9,4,0,1,0,0,0,0,0,0,14
昭和45年,1,1,1,0,0,0,0,0,0,0,3
昭和46年,3,1,1,0,0,0,0,0,0,0,5
昭和47年,2,2,3,0,0,0,0,0,0,0,7
昭和48年,6,6,0,0,0,0,0,0,0,0,12
昭和49年,1,3,2,0,0,0,0,0,0,0,6
昭和50年,1,1,1,0,0,0,0,0,0,0,3
昭和51年,3,3,0,0,0,0,0,0,0,0,6
昭和52年,1,0,0,0,0,0,0,0,0,0,1
昭和53年,3,2,0,1,0,0,0,0,0,0,6
昭和54年,3,1,1,0,0,0,0,0,0,0,5
昭和55年,3,2,0,0,0,0,0,0,0,0,5
昭和56年,2,0,0,0,0,0,0,0,0,0,2
昭和57年,3,2,1,0,0,0,0,0,0,0,6
昭和58年,9,3,2,0,0,0,0,0,0,0,14
昭和59年,7,3,1,0,0,0,0,0,0,0,11
昭和60年,5,3,2,0,0,0,0,0,0,0,10
昭和61年,7,0,0,0,0,0,0,0,0,0,7
昭和62年,4,3,0,0,0,0,0,0,0,0,7
昭和63年,0,1,1,0,0,0,0,0,0,0,2
平成元年,2,2,0,0,0,0,0,0,0,0,4
平成2年,3,1,0,0,0,0,0,0,0,0,4
平成3年,5,0,0,0,0,0,0,0,0,0,5
平成4年,2,1,1,0,0,0,0,0,0,0,4
平成5年,6,2,1,0,0,0,0,0,0,0,9
平成6年,7,4,1,0,0,0,0,0,0,0,12
平成7年,13,8,0,1,0,0,0,0,0,0,22
平成8年,12,1,1,0,0,0,0,0,0,0,14
平成9年,5,5,1,1,0,0,0,0,0,0,12
平成10年,10,5,2,0,0,0,0,0,0,0,17
平成11年,10,4,3,1,0,0,0,0,0,0,18
平成12年,22,6,4,1,0,0,0,0,0,0,33
平成13年,20,6,3,1,0,0,0,0,0,0,30
平成14年,13,6,1,1,0,0,0,0,0,0,21
平成15年,14,7,3,0,0,0,0,0,0,0,24
平成16年,9,6,2,2,0,0,0,0,0,0,19
平成17年,10,5,1,0,0,0,0,0,0,0,16
平成18年,17,5,3,0,0,0,0,0,0,0,25
平成19年,32,10,5,2,0,0,0,0,0,0,49
平成20年,14,3,2,0,0,0,0,0,0,0,19
平成21年,11,4,5,0,0,0,0,0,0,0,20
平成22年,10,2,1,0,0,0,0,0,0,0,13
平成23年,40,10,4,1,0,0,0,0,0,0,54
平成24年,9,2,0,0,0,0,0,0,0,0,11
平成25年,12,3,2,0,0,0,0,0,0,0,17
平成26年,27,7,2,0,0,0,0,0,0,0,36
平成27年,9,7,2,0,0,0,0,0,0,0,18
平成28年,5,4,1,0,0,0,0,0,0,0,10
平成29年,12,2,0,0,0,0,0,0,0,0,14
平成30年,13,3,0,1,0,0,0,0,0,0,17
令和元年,6,3,0,0,0,0,0,0,0,0,9
令和2年,17,5,3,0,1,0,0,0,0,0,26
令和3年,10,4,2,0,0,0,0,0,0,0,16
