施設分類,自治体名,施設名称,電話番号,郵便番号,所在地,開館時間,休館日,入館料,geo33
教育・文化,越前市,しきぶ温泉 湯楽里,0778-25-7800,915-0876,越前市白崎町68-8,,水曜,,E913849818246442
教育・文化,越前市,越前市社会福祉センター,0778-43-8888,915-0221,越前市杉尾町1-27-1,9:00-22:00,日曜/祝日/年末・年始,,E913849988431594
教育・文化,越前市,コミュニティセンター柳荘,0778-23-3436,915-0801,越前市家久町105-10-1,9:00-21:00,月曜/祝日の翌日（日曜は開館）/年末・年始,,E913849888515898
教育・文化,越前市,藤波亭,0778-22-7133,915-0847,越前市東千福町21-12,10：00-21：00,,,E913849849318923
教育・文化,越前市,越前の里味真野苑,0778-27-2204,915-0031,越前市余川町55-1,9:00-16:30,月曜（祝日を除く）/祝日の翌日/年末・年始,,E913849946591662
教育・文化,越前市,万葉館,0778-27-2204,915-0031,越前市余川町55-1,9:00-16:30,月曜（祝日を除く）/祝日の翌日/年末・年始,,E913849946591662
教育・文化,越前市,旧谷口家,0778-27-2204,915-0031,越前市余川町,,月曜,,E913849946648951
教育・文化,越前市,岡太神社・大瀧神社,0778-42-1151,915-0234,越前市大滝町２３?１０,,,,E913849982792656
教育・文化,越前市,ちひろの生まれた家,0778-66-7112,915-0068,越前市天王町4-14,火-金曜 13：00-16：00/土曜・日曜・祝日 10：00-16：00,,,E913849881356145
教育・文化,越前市,紙の文化博物館,0778-42-0016,915-0232,越前市新在家町11-12,9:30-17:00（入館は16:30まで）,火曜（祝日の場合は営業）/年末・年始,一般300円　高校生以下無料,E913849984286774
教育・文化,越前市,卯立の工芸館,0778-43-7800,915-0232,越前市新在家町9-21-2,9:30-17:00,火曜（祝日の場合は営業）/年末・年始,一般300円　高校生以下無料,E913849984515444
教育・文化,越前市,パピルス館,0778-42-1363,915-0232,越前市新在家町8-44,9：00-16：00,火曜（祝日の場合は営業）/年末・年始,,E913849984426853
