年次,市町名,面積（k㎡）,世帯数,人口密度（人/k㎡）,人口（男）,人口（女）
平成17年,越前市,230.75,27916,380.2,42706,45036
平成17年,鯖江市,84.75,20177,788.6,32263,34568
平成17年,越前町,152.91,6670,156.9,11447,12548
平成17年,南越前町,343.84,3542,35.7,5850,6424
平成17年,池田町,194.72,1060,17.5,1643,1762
平成18年,越前市,230.75,28151,378.8,42583,44830
平成18年,鯖江市,84.75,20588,792.1,32423,34704
平成18年,越前町,152.93,6697,155.2,11328,12407
平成18年,南越前町,343.84,3515,35.3,5760,6363
平成18年,池田町,194.72,1049,17.1,1610,1721
平成19年,越前市,230.75,28314,377.7,42451,44712
平成19年,鯖江市,84.75,20890,794.9,32491,34881
平成19年,越前町,152.94,6700,153.6,11210,12274
平成19年,南越前町,343.84,3499,34.6,5645,6264
平成19年,池田町,194.72,1048,16.8,1585,1687
平成20年,越前市,230.75,28174,374.5,42072,44333
平成20年,鯖江市,84.75,21090,796.4,32501,34993
平成20年,越前町,152.96,6715,152.3,11139,12157
平成20年,南越前町,343.84,3480,34.3,5589,6189
平成20年,池田町,194.72,1029,16.4,1537,1650
平成21年,越前市,230.75,27992,371.1,41637,44003
平成21年,鯖江市,84.75,21183,796.6,32515,34997
平成21年,越前町,152.96,6712,151.3,11076,12073
平成21年,南越前町,343.84,3475,33.8,5517,6111
平成21年,池田町,194.72,1011,16,1491,1630
平成22年,越前市,230.75,27601,371,41762,43852
平成22年,鯖江市,84.75,21028,795.9,32507,34943
平成22年,越前町,152.96,6728,151.4,11036,12124
平成22年,南越前町,343.84,3483,33.6,5501,6050
平成22年,池田町,194.72,1006,15.6,1449,1597
平成23年,越前市,230.75,27766,369.7,41688,43626
平成23年,鯖江市,84.75,21229,797.6,32615,34981
平成23年,越前町,152.96,6733,149.7,10913,11980
平成23年,南越前町,343.84,3461,33.2,5440,5961
平成23年,池田町,194.72,1001,15.4,1422,1567
平成24年,越前市,230.75,27523,366.8,41274,43375
平成24年,鯖江市,84.75,21250,799.3,32692,35052
平成24年,越前町,152.96,6689,147.6,10779,11805
平成24年,南越前町,343.84,3440,33.7,5377,5851
平成24年,池田町,194.72,989,14.9,1382,1519
平成25年,越前市,230.75,27499,364.1,40921,43103
平成25年,鯖江市,84.75,21515,800.0,32759,35043
平成25年,越前町,152.97,6703,145.7,10651,11642
平成25年,南越前町,343.84,3420,32.1,5276,5748
平成25年,池田町,194.72,977,14.4,1329,1478
平成26年,越前市,230.7,27663,362.3,40709,42882
平成26年,鯖江市,84.75,21710,799.7,32775,34998
平成26年,越前町,152.97,6661,143.0,10446,11434
平成26年,南越前町,343.84,3418,31.5,5204,5638
平成26年,池田町,194.72,953,13.9,1281,1419
平成27年,越前市,230.7,27881,357.8,39882,41731
平成27年,鯖江市,84.75,22324,806.3,33117,35220
平成27年,越前町,152.97,6581,140.7,10327,11200
平成27年,南越前町,343.84,3348,31.4,5172,5627
平成27年,池田町,194.72,903,13.6,1251,1388
平成28年,越前市,230.7,27966,350.5,39594,41270
平成28年,鯖江市,84.59,22738,809.0,33181,35253
平成28年,越前町,153.15,6545,139.0,10209,11073
平成28年,南越前町,343.69,3357,31.0,5102,5537
平成28年,池田町,194.65,887,13.2,1216,1345
平成29年,越前市,230.7,28590,351.1,39725,41263
平成29年,鯖江市,84.59,23113,809.7,33212,35282
平成29年,越前町,153.15,6509,136.3,10035,10836
平成29年,南越前町,343.69,3337,30.5,5031,5460
平成29年,池田町,194.65,873,12.8,1182,1310
平成30年,越前市,230.7,29035,350.8,39763,41175
平成30年,鯖江市,84.59,23463,811.8,33303,35366
平成30年,越前町,153.15,6499,134.1,9902,10638
平成30年,南越前町,343.69,3316,30.0,4939,5361
平成30年,池田町,194.65,868,12.5,1153,1278
令和元年,越前市,230.7,28906,346.3,39216,40673
令和元年,鯖江市,84.59,23713,810.2,33261,35272
令和元年,越前町,153.15,6482,131.7,9732,10439
令和元年,南越前町,343.69,3290,29.5,4878,5257
令和元年,池田町,194.65,861,12.2,1119,1246
令和2年,越前市,230.7,29634,349.4,39657,40954
令和2年,鯖江市,84.59,23915,807.4,33323,34979
令和2年,越前町,153.15,6581,131.4,9725,10393
令和2年,南越前町,343.69,3266,29.1,4804,5198
令和2年,池田町,194.65,948,12.4,1196,1227
,,,,,,
,,,,,,
,,,,,,
