年次,市町名,男総数,女総数,男(0～14歳),女(0～14歳),男(15～64歳),女(15～64歳),男(65～74歳),女(65～74歳),男(75歳以上),女(75歳以上)
平成17年,越前市,42706,45036,6810,6567,27964,27329,4314,5093,3618,6047
平成17年,鯖江市,32263,34568,5371,5153,21173,21437,3301,3742,2418,4236
平成17年,越前町,11447,12548,1755,1653,7207,7220,1303,1533,1173,2137
平成17年,南越前町,5850,6424,930,824,3499,3469,745,891,676,1240
平成17年,池田町,1643,1762,188,181,872,841,277,325,306,415
平成18年,越前市,42583,44830,6726,6416,27741,27126,4317,5028,3799,6260
平成18年,鯖江市,32423,34704,5435,5185,21122,21373,3326,3781,2540,4365
平成18年,越前町,11319,12402,1732,1606,7096,7119,1294,1518,1197,2159
平成18年,南越前町,5760,6363,905,807,3448,3416,716,877,691,1263
平成18年,池田町,1610,1721,170,181,860,813,266,315,314,412
平成19年,越前市,42451,44712,6623,6395,27502,26800,4373,5091,3953,6426
平成19年,鯖江市,32491,34881,5449,5186,20950,21320,3449,3881,2643,4494
平成19年,越前町,11210,12274,1667,1600,7011,6955,1276,1516,1247,2198
平成19年,南越前町,5645,6264,869,778,3371,3348,692,837,713,1301
平成19年,池田町,1585,1687,165,166,847,793,244,294,329,318
平成20年,越前市,42072,44333,6523,6308,27042,26337,4425,5115,4082,6573
平成20年,鯖江市,32501,34993,5433,5223,20730,21179,3551,3975,2787,4616
平成20年,越前町,11139,12157,1629,1577,6933,6836,1263,1508,1305,2231
平成20年,南越前町,5589,6189,845,762,3335,3303,668,825,741,1299
平成20年,池田町,1537,1650,147,161,828,764,228,286,334,439
平成21年,越前市,41637,44003,6373,6181,26593,25959,4511,5098,4160,6765
平成21年,鯖江市,32515,34997,5431,5201,20540,21023,3654,4016,2890,4757
平成21年,越前町,11076,12073,1604,1577,6862,6708,1252,1516,1349,2267
平成21年,南越前町,5517,6111,828,747,3287,3245,654,782,748,1337
平成21年,池田町,1491,1630,144,163,800,748,213,261,334,458
平成22年,越前市,41762,43852,6282,5988,26545,25808,4566,5064,4222,6905
平成22年,鯖江市,32507,34943,5362,5181,20474,20956,3688,3908,2909,4866
平成22年,越前町,11036,12124,1584,1572,6838,6749,1235,1449,1345,2325
平成22年,南越前町,5501,6050,783,721,3317,3246,639,746,762,1337
平成22年,池田町,1449,1597,129,149,794,736,196,244,330,468
平成23年,越前市,41688,43626,6143,5880,26583,25771,4408,4786,4407,7102
平成23年,鯖江市,32615,34981,5414,5165,20507,21003,3585,3783,3035,4998
平成23年,越前町,10913,11980,1549,1543,6798,6668,1170,1372,1362,2368
平成23年,南越前町,5440,5961,780,715,3306,3206,597,683,757,1357
平成23年,池田町,1422,1567,128,137,778,727,187,222,329,481
平成24年,越前市,41274,43375,6016,5720,26034,25449,4620,4884,4457,7235
平成24年,鯖江市,32692,35052,5412,5178,20334,20779,3745,3971,3127,5092
平成24年,越前町,10779,11805,1489,1488,6643,6503,1264,1420,1349,2365
平成24年,南越前町,5377,5851,741,688,3245,3117,628,673,763,1373
平成24年,池田町,1382,1519,122,125,756,698,177,210,327,486
平成25年,越前市,40921,43103,5891,5616,25470,24924,4925,5159,4488,7317
平成25年,鯖江市,32759,35043,5365,5193,20129,20389,3997,4228,3194,5201
平成25年,越前町,10651,11642,1457,1464,6446,6310,1359,1466,1355,2373
平成25年,南越前町,5276,5748,715,662,3142,3006,656,726,763,1354
平成25年,池田町,1329,1478,116,120,714,658,178,211,321,489
平成26年,越前市,40709,42882,5824,5512,24967,24441,5273,5534,4498,7308
平成26年,鯖江市,32775,34998,5303,5137,19902,20041,4259,4534,3237,5254
平成26年,越前町,10446,11434,1420,1410,6207,6130,1462,1507,1323,2358
平成26年,南越前町,5204,5638,711,637,3032,2902,717,758,744,1341
平成26年,池田町,1281,1419,106,111,680,624,183,220,312,464
平成27年,越前市,40737,42843,5785,5424,24764,24214,5497,5780,4691,7425
平成27年,鯖江市,32884,34993,5242,5066,19819,19844,4417,4703,3406,5380
平成27年,越前町,10306,11244,1404,1368,6009,5944,1548,1561,1345,2371
平成27年,南越前町,5139,5598,698,633,2925,2831,780,780,736,1354
平成27年,池田町,1236,1365,111,99,644,594,182,216,299,456
平成28年,越前市,39594,41270,5545,5161,23655,23037,5465,5785,4558,7053
平成28年,鯖江市,33181,35253,5140,4991,19913,19867,4541,4818,3462,5480
平成28年,越前町,10209,11073,1347,1320,5891,5837,1605,1581,1360,2333
平成28年,南越前町,5102,5537,692,610,2866,2761,811,788,733,1378
平成28年,池田町,1216,1345,100,101,648,602,173,202,295,440
平成29年,越前市,39725,41263,5493,5090,23659,22917,5526,5816,4676,7206
平成29年,鯖江市,33212,35282,5099,4862,19921,19875,4463,4829,3604,5619
平成29年,越前町,10035,10836,1298,1257,5719,5635,1662,1611,1350,2331
平成29年,南越前町,5031,5460,683,595,2812,2717,803,791,733,1357
平成29年,池田町,1182,1310,101,97,621,587,178,196,282,430
平成30年,越前市,39763,41175,5410,5005,23680,22789,5495,5839,4807,7308
平成30年,鯖江市,33303,35366,5034,4871,19989,19823,4375,4819,3780,5756
平成30年,越前町,9902,10638,1243,1221,5598,5472,1675,1629,1380,2314
平成30年,南越前町,4939,5361,649,572,2746,2630,815,814,729,1345
平成30年,池田町,1153,1278,99,94,602,578,177,183,275,423
令和元年,越前市,39216,40673,5311,4957,23226,22349,5419,5790,4889,7343
令和元年,鯖江市,33261,35272,4954,4780,19947,19791,4326,4757,3909,5847
令和元年,越前町,9732,10439,1209,1184,5469,5297,1678,1622,1370,2334
令和元年,南越前町,4878,5257,629,543,2695,2557,818,823,736,1334
令和元年,池田町,1119,1246,95,94,576,556,186,191,262,405
令和2年,越前市,39485,40783,5242,4885,23484,22473,5491,5896,4897,7295
令和2年,鯖江市,33334,35214,4900,4721,20035,19650,4354,4884,3920,5862
令和2年,越前町,9575,10263,1168,1156,5317,5111,1745,1694,1339,2300
令和2年,南越前町,4776,5140,618,540,2587,2456,851,836,720,1308
令和2年,池田町,1094,1208,96,93,544,529,207,193,247,393
令和3年,越前市,39552,40736,5151,4799,23512,22295,5587,6009,4839,7370
令和3年,鯖江市,33368,35019,4827,4619,19960,19560,4392,4960,3860,5671
令和3年,越前町,9557,10198,1147,1121,5267,5029,1790,1775,1338,2269
令和3年,南越前町,4709,5092,601,521,2501,2409,882,872,725,1290
令和3年,池田町,1159,1189,98,90,604,511,212,200,245,388
,,,,,,,,,,,
,(注)南越前町、池田町を除き男女の総数にはそれぞれ年齢不詳を含む。,,,,,,,,,,
