年次,年齢,総数（男）,未婚（男）,有配偶（男）,死別（男）,離別（男）,総数（女）,未婚（女）,有配偶（女）,死別（女）,離別（女）
平成2年,総　数,32899,8532,22756,1012,523,35588,6581,22580,5316,1030
平成2年,15～19歳,3258,3235,4,0,0,3154,3123,13,0,2
平成2年,20～24歳,2283,2126,136,0,3,2494,2088,385,0,7
平成2年,25～29歳,2554,1547,978,0,16,2588,722,1814,8,41
平成2年,30～34歳,2605,654,1920,0,24,2567,155,2343,6,58
平成2年,35～39歳,3034,470,2486,7,71,3001,90,2792,26,91
平成2年,40～44歳,3582,285,3179,18,94,3368,82,3066,69,150
平成2年,45～49歳,2818,86,2617,19,92,2694,50,2405,100,137
平成2年,50～54歳,2462,44,2313,30,74,2608,42,2288,159,118
平成2年,55～59歳,2585,21,2443,70,50,2805,58,2336,301,109
平成2年,60～64歳,2623,27,2437,111,47,2743,61,2074,488,115
平成2年,65～69歳,1677,16,1524,115,21,2397,44,1535,720,89
平成2年,70～74歳,1388,9,1229,134,14,1844,25,862,900,51
平成2年,75～79歳,1051,8,848,185,8,1622,24,472,1084,34
平成2年,80～84歳,630,2,464,160,3,1043,10,164,842,20
平成2年,85歳以上,349,2,178,163,6,660,7,31,613,8
平成7年,総　数,34126,9154,23292,1053,592,36703,6944,23050,5573,1113
平成7年,15～19歳,2961,2931,24,0,0,2835,2799,32,0,0
平成7年,20～24歳,2772,2437,326,0,2,2765,2284,474,0,4
平成7年,25～29歳,2696,1674,1009,0,9,2587,1000,1549,3,35
平成7年,30～34歳,2570,796,1735,1,33,2551,276,2199,16,58
平成7年,35～39歳,2663,466,2142,7,45,2599,111,2386,16,85
平成7年,40～44歳,3036,411,2522,14,86,3031,78,2786,45,120
平成7年,45～49歳,3548,254,3149,32,109,3352,79,3000,108,165
平成7年,50～54歳,2738,78,2534,31,94,2721,57,2366,153,144
平成7年,55～59歳,2403,43,2233,49,77,2562,44,2168,226,124
平成7年,60～64歳,2451,19,2289,84,59,2756,64,2167,417,108
平成7年,65～69歳,2448,23,2235,156,33,2661,61,1839,657,101
平成7年,70～74歳,1506,11,1323,150,22,2272,35,1223,930,80
平成7年,75～79歳,1125,6,953,155,11,1684,26,580,1029,49
平成7年,80～84歳,762,4,566,184,8,1331,20,222,1063,24
平成7年,85歳以上,447,1,252,190,4,996,10,59,910,16
平成12年,総　数,35649,10105,23671,1129,725,37979,7084,23610,6005,1248
