年次,区分,人口（総数）,人口（15歳未満）,人口（65歳以上）,人口（男）,人口（女）,世帯数（総数）,世帯数（一般世帯）,世帯数（施設等の世帯）,世帯人員（一般世帯）,世帯人員（施設等の世帯）
平成12年,総数,87699,14071,17699,42858,44841,26461,26406,55,86221,1478
平成12年,都市計画区域,82839,13350,16335,40506,42333,25209,25154,55,81361,1478
平成12年,都市計画以外の区域,4860,721,1364,2352,2508,1252,1252,-,4860,-
平成17年,総数,87742,13377,19072,42706,45036,27916,27876,40,86256,1486
平成17年,都市計画区域,83713,12917,17814,40791,42922,26791,26751,40,82227,1486
平成17年,都市計画以外の区域,4029,460,1258,1915,2114,1125,1125,-,4029,-
平成22年,総数,85614,12270,20757,41762,43852,27601,27538,63,84042,1572
平成22年,都市計画区域,81090,11804,19262,39599,41491,26255,26192,63,79518,1572
平成22年,都市計画以外の区域,4524,466,1495,2163,2361,1346,1346,-,4524,-
平成27年,総数,81524,10928,22484,39859,41665,27889,27843,46,80152,1372
平成27年,都市計画区域,77588,10543,21009,37974,39614,26672,26628,44,76216,1349
平成27年,都市計画以外の区域,3936,385,1475,1885,2051,1217,1215,2,3936,23
令和2年,総数,80611,10151,23740,39657,40954,29634,29578,56,79045,1566
令和2年,都市計画区域,76034,9701,21933,37453,38581,28126,28072,54,74499,1535
令和2年,都市計画以外の区域,4577,450,1807,2204,2373,1508,1506,2,4546,31
