https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount,https://code4fukui.github.io/rdf/#number_of_cases
平成18年,自然増減総数,-55,
平成18年,男,-132,
平成18年,女,-142,
平成18年,社会増減総数,-274,
平成18年,増減数,-329,
平成18年,婚姻,,455
平成18年,離婚,,151
平成19年,自然増減総数,-37,
平成19年,男,-93,
平成19年,女,-120,
平成19年,社会増減総数,-213,
平成19年,増減数,-250,
平成19年,婚姻,,394
平成19年,離婚,,119
平成20年,自然増減総数,-76,
平成20年,男,-356,
平成20年,女,-326,
平成20年,社会増減総数,-682,
平成20年,増減数,-758,
平成20年,婚姻,,400
平成20年,離婚,,132
平成21年,自然増減総数,-35,
平成21年,男,-414,
平成21年,女,-316,
平成21年,社会増減総数,-730,
平成21年,増減数,-765,
平成21年,婚姻,,374
平成21年,離婚,,106
平成22年,自然増減総数,-138,
平成22年,男,75,
平成22年,女,-119,
平成22年,社会増減総数,-44,
平成22年,増減数,-182,
平成22年,婚姻,,325
平成22年,離婚,,120
平成23年,自然増減総数,-139,
平成23年,男,-27,
平成23年,女,-134,
平成23年,社会増減総数,-161,
平成23年,増減数,-300,
平成23年,婚姻,,365
平成23年,離婚,,131
平成24年,自然増減総数,-284,
平成24年,男,-268,
平成24年,女,-113,
平成24年,社会増減総数,-381,
平成24年,増減数,-665,
平成24年,婚姻,,356
平成24年,離婚,,123
平成25年,自然増減総数,-209,
平成25年,男,-234,
平成25年,女,-182,
平成25年,社会増減総数,-416,
平成25年,増減数,-625,
平成25年,婚姻,,361
平成25年,離婚,,92
平成26年,自然増減総数,-246,
平成26年,男,-112,
平成26年,女,-75,
平成26年,社会増減総数,-187,
平成26年,増減数,-433,
平成26年,婚姻,,360
平成26年,離婚,,116
平成27年,自然増減総数,-285,
平成27年,男,124,
平成27年,女,109,
平成27年,社会増減総数,233,
平成27年,増減数,-52,
平成27年,婚姻,,352
平成27年,離婚,,95
平成28年,自然増減総数,-281,
平成28年,男,-148,
平成28年,女,-231,
平成28年,社会増減総数,-379,
平成28年,増減数,-660,
平成28年,婚姻,,355
平成28年,離婚,,94
平成29年,自然増減総数,-330,
平成29年,男,293,
平成29年,女,161,
平成29年,社会増減総数,454,
平成29年,増減数,124,
平成29年,婚姻,,325
平成29年,離婚,,94
平成30年,自然増減総数,-304,
平成30年,男,181,
平成30年,女,73,
平成30年,社会増減総数,254,
平成30年,増減数,-50,
平成30年,婚姻,,330
平成30年,離婚,,106
令和元年,自然増減総数,-384,
令和元年,男,-346,
令和元年,女,-319,
令和元年,社会増減総数,-665,
令和元年,増減数,-1049,
令和元年,婚姻,,326
令和元年,離婚,,108
令和2年,自然増減総数,-342,
令和2年,男,420,
令和2年,女,301,
令和2年,社会増減総数,721,
令和2年,増減数,379,
令和2年,婚姻,,345
令和2年,離婚,,98
令和3年,自然増減総数,-391,
令和3年,男,100,
令和3年,女,-32,
令和3年,社会増減総数,68,
令和3年,増減数,-323,
令和3年,婚姻,,
令和3年,離婚,,
