https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount
平成18年,出生総数,760
平成18年,男,414
平成18年,女,346
平成18年,死亡総数,815
平成18年,男,405
平成18年,女,410
平成18年,自然増減総数,-55
平成18年,男,9
平成18年,女,-64
平成19年,出生総数,750
平成19年,男,355
平成19年,女,395
平成19年,死亡総数,787
平成19年,男,394
平成19年,女,393
平成19年,自然増減総数,-37
平成19年,男,-39
平成19年,女,2
平成20年,出生総数,746
平成20年,男,389
平成20年,女,357
平成20年,死亡総数,822
平成20年,男,412
平成20年,女,410
平成20年,自然増減総数,-76
平成20年,男,-23
平成20年,女,-53
平成21年,出生総数,721
平成21年,男,370
平成21年,女,351
平成21年,死亡総数,756
平成21年,男,391
平成21年,女,365
平成21年,自然増減総数,-35
平成21年,男,-21
平成21年,女,-14
平成22年,出生総数,706
平成22年,男,372
平成22年,女,334
平成22年,死亡総数,844
平成22年,男,451
平成22年,女,393
平成22年,自然増減総数,-138
平成22年,男,-79
平成22年,女,-59
平成23年,出生総数,694
平成23年,男,354
平成23年,女,350
平成23年,死亡総数,833
平成23年,男,401
平成23年,女,432
平成23年,自然増減総数,-139
平成23年,男,-47
平成23年,女,-92
平成24年,出生総数,673
平成24年,男,345
平成24年,女,328
平成24年,死亡総数,957
平成24年,男,491
平成24年,女,466
平成24年,自然増減総数,-284
平成24年,男,-146
平成24年,女,-138
平成25年,出生総数,647
平成25年,男,329
平成25年,女,318
平成25年,死亡総数,856
平成25年,男,448
平成25年,女,408
平成25年,自然増減総数,-209
平成25年,男,-119
平成25年,女,-90
平成26年,出生総数,664
平成26年,男,354
平成26年,女,310
平成26年,死亡総数,910
平成26年,男,454
平成26年,女,456
平成26年,自然増減総数,-246
平成26年,男,-100
平成26年,女,-146
平成27年,出生総数,643
平成27年,男,333
平成27年,女,310
平成27年,死亡総数,928
平成27年,男,469
平成27年,女,459
平成27年,自然増減総数,-285
平成27年,男,-136
平成27年,女,-149
平成28年,出生総数,637
平成28年,男,345
平成28年,女,292
平成28年,死亡総数,918
平成28年,男,462
平成28年,女,456
平成28年,自然増減総数,-281
平成28年,男,-117
平成28年,女,-164
平成29年,出生総数,624
平成29年,男,321
平成29年,女,303
平成29年,死亡総数,954
平成29年,男,483
平成29年,女,471
平成29年,自然増減総数,-330
平成29年,男,-162
平成29年,女,-168
平成30年,出生総数,644
平成30年,男,339
平成30年,女,305
平成30年,死亡総数,948
平成30年,男,482
平成30年,女,466
平成30年,自然増減総数,-304
平成30年,男,-143
平成30年,女,-161
令和元年,出生総数,625
令和元年,男,302
令和元年,女,323
令和元年,死亡総数,1009
令和元年,男,503
令和元年,女,506
令和元年,自然増減総数,-384
令和元年,男,-201
令和元年,女,-183
令和2年,出生総数,618
令和2年,男,333
令和2年,女,285
令和2年,死亡総数,960
令和2年,男,484
令和2年,女,476
令和2年,自然増減総数,-342
令和2年,男,-151
令和2年,女,-191
令和3年,出生総数,573
令和3年,男,280
令和3年,女,293
令和3年,死亡総数,964
令和3年,男,485
令和3年,女,479
令和3年,自然増減総数,-391
令和3年,男,-205
令和3年,女,-186
