https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount,,,,,,,,,,,
平成18年,転入総数,2972,,,,,,,,,,,
平成18年,男,1566,,,,,,,,,,,
平成18年,女,1406,,,,,,,,,,,
平成18年,転出総数,3246,,,,,,,,,,,
平成18年,男,1698,,,,,,,,,,,
平成18年,女,1548,,,,,,,,,,,
平成18年,社会増減総数,-274,,,,,,,,,,,
平成18年,男,-132,,,,,,,,,,,
平成18年,女,-142,,,,,,,,,,,
平成19年,転入総数,2801,,,,,,,,,,,
平成19年,男,1476,,,,,,,,,,,
平成19年,女,1325,,,,,,,,,,,
平成19年,転出総数,3014,,,,,,,,,,,
平成19年,男,1569,,,,,,,,,,,
平成19年,女,1445,,,,,,,,,,,
平成19年,社会増減総数,-213,,,,,,,,,,,
平成19年,男,-93,,,,,,,,,,,
平成19年,女,-120,,,,,,,,,,,
平成20年,転入総数,2457,,,,,,,,,,,
平成20年,男,1319,,,,,,,,,,,
平成20年,女,1138,,,,,,,,,,,
平成20年,転出総数,3139,,,,,,,,,,,
平成20年,男,1675,,,,,,,,,,,
平成20年,女,1464,,,,,,,,,,,
平成20年,社会増減総数,-682,,,,,,,,,,,
平成20年,男,-356,,,,,,,,,,,
平成20年,女,-326,,,,,,,,,,,
平成21年,転入総数,2440,,,,,,,,,,,
平成21年,男,1234,,,,,,,,,,,
平成21年,女,1206,,,,,,,,,,,
平成21年,転出総数,3170,,,,,,,,,,,
平成21年,男,1648,,,,,,,,,,,
平成21年,女,1522,,,,,,,,,,,
平成21年,社会増減総数,-730,,,,,,,,,,,
平成21年,男,-414,,,,,,,,,,,
平成21年,女,-316,,,,,,,,,,,
平成22年,転入総数,2462,,,,,,,,,,,
平成22年,男,1337,,,,,,,,,,,
平成22年,女,1125,,,,,,,,,,,
平成22年,転出総数,2506,,,,,,,,,,,
平成22年,男,1262,,,,,,,,,,,
平成22年,女,1244,,,,,,,,,,,
平成22年,社会増減総数,-44,,,,,,,,,,,
平成22年,男,75,,,,,,,,,,,
平成22年,女,-119,,,,,,,,,,,
平成23年,転入総数,2434,,,,,,,,,,,
平成23年,男,1324,,,,,,,,,,,
平成23年,女,1110,,,,,,,,,,,
平成23年,転出総数,2595,,,,,,,,,,,
平成23年,男,1351,,,,,,,,,,,
平成23年,女,1244,,,,,,,,,,,
平成23年,社会増減総数,-161,,,,,,,,,,,
平成23年,男,-27,,,,,,,,,,,
平成23年,女,-134,,,,,,,,,,,
平成24年,転入総数,2547,,,,,,,,,,,
平成24年,男,1341,,,,,,,,,,,
平成24年,女,1206,,,,,,,,,,,
平成24年,転出総数,2928,,,,,,,,,,,
平成24年,男,1609,,,,,,,,,,,
平成24年,女,1319,,,,,,,,,,,
平成24年,社会増減総数,-381,,,,,,,,,,,
平成24年,男,-268,,,,,,,,,,,
平成24年,女,-113,,,,,,,,,,,
平成25年,転入総数,2250,,,,,,,,,,,
平成25年,男,1181,,,,,,,,,,,
平成25年,女,1069,,,,,,,,,,,
平成25年,転出総数,2666,,,,,,,,,,,
平成25年,男,1415,,,,,,,,,,,
平成25年,女,1251,,,,,,,,,,,
平成25年,社会増減総数,-416,,,,,,,,,,,
平成25年,男,-234,,,,,,,,,,,
平成25年,女,-182,,,,,,,,,,,
平成26年,転入総数,2428,,,,,,,,,,,
平成26年,男,1287,,,,,,,,,,,
平成26年,女,1141,,,,,,,,,,,
平成26年,転出総数,2615,,,,,,,,,,,
平成26年,男,1399,,,,,,,,,,,
平成26年,女,1216,,,,,,,,,,,
平成26年,社会増減総数,-187,,,,,,,,,,,
平成26年,男,-112,,,,,,,,,,,
平成26年,女,-75,,,,,,,,,,,
平成27年,転入総数,2847,,,,,,,,,,,
平成27年,男,1527,,,,,,,,,,,
平成27年,女,1320,,,"2,678 ","1,432 ","1,246 ","3,057 ","1,580 ","1,477 ",△ 379,△ 148,△ 231
平成27年,転出総数,2614,,,"3,083 ","1,661 ","1,422 ","2,629 ","1,368 ","1,261 ",454,293,161
平成27年,男,1403,,,"3,309 ","1,783 ","1,526 ","3,055 ","1,602 ","1,453 ",254,181,73
平成27年,女,1211,,,"2,819 ","1,527 ","1,292 ","3,484 ","1,873 ","1,611 ",△ 665,△ 346,△ 319
平成27年,社会増減総数,233,,,"3,655 ","2,027 ","1,628 ","2,934 ","1,607 ","1,327 ",721,420,301
平成27年,男,124,,,"3,200 ","1,807 ","1,393 ","3,132 ","1,707 ","1,425 ",68,       △ 100,         △ 32
平成27年,女,109,,,,,,,,,,,
平成28年,転入総数,2678,,,"3,200 ",,,,,,,,
平成28年,男,1432,,,"1,807 ",,,,,,,,
平成28年,女,1246,,,"1,393 ",,,,,,,,
平成28年,転出総数,3057,,,"3,132 ",,,,,,,,
平成28年,男,1580,,,"1,707 ",,,,,,,,
平成28年,女,1477,,,"1,425 ",,,,,,,,
平成28年,社会増減総数,-379,,,68,,,,,,,,
平成28年,男,-148,,,       △ 100,,,,,,,,
平成28年,女,-231,,,         △ 32,,,,,,,,
平成29年,転入総数,3083,,,,,,,,,,,
平成29年,男,1661,,,,,,,,,,,
平成29年,女,1422,,,,,,,,,,,
平成29年,転出総数,2629,,,,,,,,,,,
平成29年,男,1368,,,,,,,,,,,
平成29年,女,1261,,,,,,,,,,,
平成29年,社会増減総数,454,,,,,,,,,,,
平成29年,男,293,,,,,,,,,,,
平成29年,女,161,,,,,,,,,,,
平成30年,転入総数,3309,,,,,,,,,,,
平成30年,男,1783,,,,,,,,,,,
平成30年,女,1526,,,,,,,,,,,
平成30年,転出総数,3055,,,,,,,,,,,
平成30年,男,1602,,,,,,,,,,,
平成30年,女,1453,,,,,,,,,,,
平成30年,社会増減総数,254,,,,,,,,,,,
平成30年,男,181,,,,,,,,,,,
平成30年,女,73,,,,,,,,,,,
令和元年,転入総数,2819,,,,,,,,,,,
令和元年,男,1527,,,,,,,,,,,
令和元年,女,1292,,,,,,,,,,,
令和元年,転出総数,3484,,,,,,,,,,,
令和元年,男,1873,,,,,,,,,,,
令和元年,女,1611,,,,,,,,,,,
令和元年,社会増減総数,-665,,,,,,,,,,,
令和元年,男,-346,,,,,,,,,,,
令和元年,女,-319,,,,,,,,,,,
令和2年,転入総数,3655,,,,,,,,,,,
令和2年,男,2027,,,,,,,,,,,
令和2年,女,1628,,,,,,,,,,,
令和2年,転出総数,2934,,,,,,,,,,,
令和2年,男,1607,,,,,,,,,,,
令和2年,女,1327,,,,,,,,,,,
令和2年,社会増減総数,721,,,,,,,,,,,
令和2年,男,420,,,,,,,,,,,
令和2年,女,301,,,,,,,,,,,
令和3年,転入総数,3200,,,,,,,,,,,
令和3年,男,1807,,,,,,,,,,,
令和3年,女,1393,,,,,,,,,,,
令和3年,転出総数,3132,,,,,,,,,,,
令和3年,男,1707,,,,,,,,,,,
令和3年,女,1425,,,,,,,,,,,
令和3年,社会増減総数,68,,,,,,,,,,,
令和3年,男,-100,,,,,,,,,,,
令和3年,女,-32,,,,,,,,,,,
