https://code4fukui.github.io/rdf/#age,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
0,男,281
0,女,272
1,男,303
1,女,285
2,男,314
2,女,299
3,男,303
3,女,288
4,男,318
4,女,322
5,男,327
5,女,304
6,男,328
6,女,321
7,男,354
7,女,306
8,男,382
8,女,324
9,男,350
9,女,313
10,男,335
10,女,344
11,男,363
11,女,319
12,男,356
12,女,349
13,男,393
13,女,341
14,男,406
14,女,355
15,男,390
15,女,380
16,男,401
16,女,396
17,男,406
17,女,360
18,男,406
18,女,379
19,男,418
19,女,390
20,男,395
20,女,395
21,男,396
21,女,383
22,男,418
22,女,363
23,男,387
23,女,336
24,男,404
24,女,368
25,男,448
25,女,361
26,男,429
26,女,394
27,男,458
27,女,442
28,男,457
28,女,392
29,男,425
29,女,418
30,男,407
30,女,387
31,男,449
31,女,408
32,男,470
32,女,401
33,男,434
33,女,410
34,男,474
34,女,424
35,男,410
35,女,413
36,男,460
36,女,441
37,男,468
37,女,442
38,男,445
38,女,436
39,男,492
39,女,438
40,男,479
40,女,426
41,男,430
41,女,429
42,男,505
42,女,437
43,男,515
43,女,506
44,男,553
44,女,483
45,男,566
45,女,556
46,男,601
46,女,560
47,男,618
47,女,525
48,男,630
48,女,566
49,男,669
49,女,575
50,男,622
50,女,559
51,男,574
51,女,557
52,男,563
52,女,540
53,男,514
53,女,526
54,男,559
54,女,551
55,男,567
55,女,535
56,男,477
56,女,408
57,男,460
57,女,480
58,男,528
58,女,505
59,男,459
59,女,495
60,男,473
60,女,490
61,男,457
61,女,418
62,男,467
62,女,486
63,男,481
63,女,538
64,男,560
64,女,493
65,男,457
65,女,489
66,男,432
66,女,468
67,男,516
67,女,524
68,男,454
68,女,485
69,男,463
69,女,532
70,男,527
70,女,580
71,男,561
71,女,602
72,男,585
72,女,645
73,男,626
73,女,718
74,男,675
74,女,736
75,男,632
75,女,654
76,男,383
76,女,461
77,男,275
77,女,286
78,男,375
78,女,442
79,男,372
79,女,474
80,男,405
80,女,525
81,男,381
81,女,482
82,男,316
82,女,383
83,男,261
83,女,342
84,男,198
84,女,316
85,男,239
85,女,416
86,男,219
86,女,335
87,男,210
87,女,379
88,男,156
88,女,283
89,男,146
89,女,304
90,男,143
90,女,258
91,男,103
91,女,243
92,男,90
92,女,222
93,男,74
93,女,169
94,男,56
94,女,149
95,男,30
95,女,143
96,男,33
96,女,91
97,男,23
97,女,72
98,男,9
98,女,67
99,男,5
99,女,33
100以上,男,6
100以上,女,63
