https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#number_of_households,https://code4fukui.github.io/rdf/#population
越前市,31842,80173
東地区,2187,4706
府中一丁目,62,123
府中二丁目,96,187
府中三丁目,152,294
吾妻町,89,191
住吉町,75,176
堀川町,225,398
錦町,64,127
万代町,99,191
天王町,56,102
蓬莱町,77,180
幸町,103,250
国府一丁目,92,217
国府二丁目,144,322
北府一丁目,0,0
北府二丁目,166,407
北府三丁目,283,660
北府四丁目,168,381
桂町,67,158
本多二丁目,117,249
本多三丁目,52,93
北府本町,0,0
西 地区,3477,7509
本町,77,177
元町,86,211
京町一丁目,69,173
京町二丁目,53,106
京町三丁目,61,137
本多一丁目,92,196
平和町,150,337
若松町,93,199
高瀬一丁目,363,769
高瀬二丁目,54,117
中央一丁目,70,138
中央二丁目,98,232
深草一丁目,143,292
深草二丁目,101,222
平出一丁目,86,226
平出二丁目,327,767
平出三丁目,196,475
小松一丁目,76,179
小松二丁目,252,620
日野美一丁目,10,21
日野美二丁目,100,142
野上町,148,356
新町,84,153
北千福町,283,471
小松町,0,0
沢町,405,793
南 地区,3949,9482
南一丁目,108,231
南二丁目,157,353
南三丁目,80,186
武生柳町,130,323
若竹町,138,313
あおば町,82,203
神明町,82,192
豊町,78,178
姫川一丁目,82,221
姫川二丁目,188,462
文京一丁目,164,419
文京二丁目,229,609
御幸町,176,376
東千福町,277,668
行松町,274,577
妙法寺町,233,606
松森町,223,525
月見町,103,283
畷町,76,207
常久町,104,299
常久団地,17,40
学園団地,260,757
三ツ口町,135,267
千福町,553,1187
神山 地区,1254,3262
岡本町,188,358
広瀬町,641,1681
池の上町,211,642
広瀬ひばりが丘,103,252
向が丘町,89,256
新小野,22,73
吉野 地区,3197,8246
本保町,443,1150
片屋町,242,659
氷坂町,182,462
余田町,120,375
家久町,1086,2731
芝原町,0,0
芝原一丁目,251,566
芝原二丁目,109,269
芝原三丁目,71,147
芝原四丁目,123,275
芝原五丁目,570,1612
国高 地区,4780,11881
村国一丁目,185,450
村国二丁目,323,841
村国三丁目,642,1577
村国四丁目,152,473
八幡一丁目,169,450
八幡二丁目,84,225
押田一丁目,238,592
押田二丁目,60,116
国高一丁目,173,418
国高二丁目,347,840
国高三丁目,227,462
横市町,346,778
庄町,78,184
塚町,202,552
馬上免町,86,171
稲寄町,458,1317
瓜生町,708,1585
高木町,214,552
村国町,0,0
長土呂町,88,298
押田町,0,0
大虫 地区,2271,5739
大虫町,281,711
大虫本町,135,417
上四目町,64,170
下四目町,144,430
高森町,196,530
丹生郷町,187,567
三ツ俣町,34,110
横根町,64,151
北山町,179,508
上太田町,494,1059
下太田町,258,572
新保町,153,360
新保一丁目,55,94
新保二丁目,17,30
大虫本町勝蓮花,10,30
坂口 地区,129,364
湯谷町,22,49
中山町,16,44
下別所町,3,9
勾当原町,30,98
中津原町,33,99
下中津原町,25,65
王子保 地区,2185,5564
四郎丸町,712,1905
塚原町,134,372
白崎町,201,434
春日野町,52,138
今宿町,142,344
国兼町,82,258
大塩町,146,361
上小松町,15,35
森久町,16,48
瓜生野町,3,3
中平吹町,171,469
下平吹町,79,210
富士見が丘一,202,393
富士見が丘二,82,223
向陽町,148,371
北新庄 地区,877,2618
北町,387,1126
杉崎町,51,165
真柄町,52,170
戸谷町,119,342
長尾町,57,155
中新庄町,129,408
三ツ屋町,82,252
北日野 地区,1595,4193
矢放町,243,647
帆山町,219,581
矢船町,159,368
向新保町,84,256
畑町,22,76
小野谷町,134,347
西谷町,52,100
荒谷町,12,35
平林町,64,215
庄田町,108,270
大手町,24,64
西尾町,183,503
岩内町,68,188
大屋町,71,207
葛岡町,52,107
問屋町,0,0
北日野団地,100,229
味真野 地区,1591,4448
入谷町,31,89
中居町,45,122
蓑脇町,39,98
桧尾谷町,24,87
余川町,98,276
池泉町,207,644
文室町,76,196
萱谷町,99,167
上大坪町,141,420
味真野町,128,351
南小山町,21,54
北小山町,25,73
吉村町,29,69
若宮町,18,53
五分市町,244,703
清水頭町,38,100
上真柄町,26,71
徳間町,30,90
金屋町,0,0
宮谷町,117,341
奥宮谷町,94,281
上真柄宮谷入会,14,43
味真野団地,47,120
白山 地区,520,1401
都辺町,16,45
上杉本町,3,3
二階堂町,11,32
千合谷町,20,56
菖蒲谷町,23,65
堀町,30,82
土山町,7,16
小谷町,6,24
安戸町,4,10
菅町,0,0
米口町,20,62
仏谷町,2,5
丸岡町,42,107
沓掛町,17,44
勝蓮花町,0,0
小野町,2,6
上黒川町,31,87
下黒川町,43,94
安養寺町,152,406
曽原町,17,55
粟野町,3,10
小杉町,18,46
牧町,11,22
若須町,7,18
中野町,21,65
萩原町,3,8
鴉ヶ平町,11,33
粟田部地区,1298,3385
西樫尾町,112,302
粟田部町西山,210,544
粟田部町栄,221,499
粟田部町宝栄,109,314
粟田部町蓬莱,106,282
粟田部町富永,156,414
粟田部町鞍谷,274,738
粟田部町旭,110,292
岡本地区,977,2806
不老町,148,477
大滝町,136,352
岩本町,236,698
新在家町,103,304
定友町,156,426
杉尾町,54,151
轟井町,42,122
島町,17,52
長五町,12,36
大平町,9,24
八石町,10,26
中印町,14,33
別印町,23,60
南坂下町,17,45
南中山地区,986,2983
野岡町,218,622
マインドタウン,39,115
山室町,94,290
富士見台,0,0
下戸板,5,11
東庄境町,116,370
西庄境町,95,278
赤坂町,103,290
新堂町,64,221
国中町,66,233
中津山町,141,407
仲山,45,146
服間地区,569,1586
朽飯町,99,297
高岡町,25,83
藤木町,30,87
領家町,30,74
春山町,27,81
東樫尾町,35,75
波垣町,19,61
寺地町,27,69
横住町,67,184
清根町,6,17
相木町,16,52
西河内町,10,24
室谷町,25,75
長谷町,24,61
北坂下町,19,63
殿町,5,12
大谷町,8,26
南中町,12,40
赤谷町,24,64
水間町,13,38
柳元町,23,56
市野々町,25,47
