年次,総数,ブラジル,中国,フィリピン,韓国又は朝鮮,米国,その他
平成14年,2353,1415,486,193,144,10,105
平成15年,2544,1560,509,190,145,15,125
平成16年,2671,1592,581,214,134,13,137
平成17年,2907,1727,686,226,129,14,125
平成18年,3351,2132,730,240,129,15,105
平成19年,3272,1977,800,249,131,16,99
平成20年,3296,2004,822,226,134,17,93
平成21年,2793,1589,766,225,127,15,71
平成22年,2771,1680,674,211,125,17,64
平成23年,3049,2013,620,213,122,17,64
平成24年,3011,1993,587,217,118,19,77
平成25年,2988,2018,547,211,114,14,84
平成26年,2515,1606,492,198,108,15,96
平成27年,2901,2011,411,218,107,17,137
平成28年,3171,2300,356,213,98,20,184
平成29年,3341,2353,292,214,100,21,361
平成30年,4091,2951,268,214,96,15,547
平成31年,4268,2985,243,226,95,13,706
令和2年,4521,3203,230,235,97,9,747
令和3年,5196,3858,207,244,92,11,784
令和4年,5173,3917,174,246,92,17,727
