年次,項目名,総数【不詳を含む】,労働力人口総数,就業者総数,完全失業者数,非労働力人口総数
昭和55年,総数,62796,45753,44728,625,17368
昭和55年,男,29784,24886,20478,408,4873
昭和55年,女,33012,20467,20250,217,12495
昭和60年,総数,65492,46072,45318,754,19398
昭和60年,男,31165,25584,25085,499,5567
昭和60年,女,34327,20488,20233,255,13821
平成2年,総数,68505,47155,46364,791,21323
平成2年,男,32902,26370,25833,537,6523
平成2年,女,35603,20785,20531,254,14800
平成7年,総数,70829,48567,47374,1193,22224
平成7年,男,34126,27507,26756,751,6598
平成7年,女,36703,21060,20618,442,15626
平成12年,総数,73628,48735,47218,1517,24887
平成12年,男,35649,27779,26875,904,7870
平成12年,女,37979,20956,20343,613,17017
平成17年,総数,74365,46464,44339,2125,25742
平成17年,男,35896,26095,24629,1466,8103
平成17年,女,38469,20369,19710,659,17639
平成22年,総数,73110,44626,41875,2751,26458
平成22年,男,35333,25234,23407,1827,8902
平成22年,女,37777,19392,18468,924,17556
平成27年,総数,69991,43141,41593,1548,25284
平成27年,男,33849,23830,22823,1007,9109
平成27年,女,36142,19311,18770,541,16175
令和2年,総数,69734,44092,42876,1216,22881
令和2年,男,33906,23936,23174,762,8432
令和2年,女,35828,20156,19702,454,14449
