https://schema.org/Occupation,https://schema.org/Place,https://code4fukui.github.io/rdf/#headcount
農業、林業,自宅で従業,642
農業、林業,自宅外の市内で従業,324
農業、林業,県内他市町村で従業,67
農業、林業,他県で従業,0
漁業,自宅で従業,0
漁業,自宅外の市内で従業,2
漁業,県内他市町村で従業,5
漁業,他県で従業,1
鉱業、採石業、砂利採取業,自宅で従業,0
鉱業、採石業、砂利採取業,自宅外の市内で従業,9
鉱業、採石業、砂利採取業,県内他市町村で従業,7
鉱業、採石業、砂利採取業,他県で従業,0
建設業,自宅で従業,516
建設業,自宅外の市内で従業,1744
建設業,県内他市町村で従業,852
建設業,他県で従業,32
製造業,自宅で従業,878
製造業,自宅外の市内で従業,11291
製造業,県内他市町村で従業,3207
製造業,他県で従業,65
電気･ガス･熱供給･水道業,自宅で従業,7
電気･ガス･熱供給･水道業,自宅外の市内で従業,80
電気･ガス･熱供給･水道業,県内他市町村で従業,64
電気･ガス･熱供給･水道業,他県で従業,7
情報通信業,自宅で従業,56
情報通信業,自宅外の市内で従業,64
情報通信業,県内他市町村で従業,284
情報通信業,他県で従業,3
運輸業、郵便業,自宅で従業,43
運輸業、郵便業,自宅外の市内で従業,768
運輸業、郵便業,県内他市町村で従業,526
運輸業、郵便業,他県で従業,30
卸売・小売業,自宅で従業,829
卸売・小売業,自宅外の市内で従業,3038
卸売・小売業,県内他市町村で従業,1696
卸売・小売業,他県で従業,41
金 融 ・保 険 業,自宅で従業,36
金 融 ・保 険 業,自宅外の市内で従業,315
金 融 ・保 険 業,県内他市町村で従業,335
金 融 ・保 険 業,他県で従業,4
不動産業、物品賃貸業,自宅で従業,52
不動産業、物品賃貸業,自宅外の市内で従業,194
不動産業、物品賃貸業,県内他市町村で従業,89
不動産業、物品賃貸業,他県で従業,6
学術研究，専門・技術サービス業,自宅で従業,201
学術研究，専門・技術サービス業,自宅外の市内で従業,372
学術研究，専門・技術サービス業,県内他市町村で従業,293
学術研究，専門・技術サービス業,他県で従業,6
宿泊業、飲食サービス業,自宅で従業,275
宿泊業、飲食サービス業,自宅外の市内で従業,970
宿泊業、飲食サービス業,県内他市町村で従業,422
宿泊業、飲食サービス業,他県で従業,10
生活関連サービス業、娯楽業,自宅で従業,291
生活関連サービス業、娯楽業,自宅外の市内で従業,522
生活関連サービス業、娯楽業,県内他市町村で従業,290
生活関連サービス業、娯楽業,他県で従業,2
教育、学習支援業,自宅で従業,99
教育、学習支援業,自宅外の市内で従業,1103
教育、学習支援業,県内他市町村で従業,561
教育、学習支援業,他県で従業,7
医療、福祉,自宅で従業,188
医療、福祉,自宅外の市内で従業,2796
医療、福祉,県内他市町村で従業,1560
医療、福祉,他県で従業,6
複合サービス事業,自宅で従業,6
複合サービス事業,自宅外の市内で従業,274
複合サービス事業,県内他市町村で従業,137
複合サービス事業,他県で従業,1
サービス業  （他に分類されないもの）,自宅で従業,271
サービス業  （他に分類されないもの）,自宅外の市内で従業,1028
サービス業  （他に分類されないもの）,県内他市町村で従業,452
サービス業  （他に分類されないもの）,他県で従業,11
公務  （他に分類されるものを除く）,自宅で従業,28
公務  （他に分類されるものを除く）,自宅外の市内で従業,662
公務  （他に分類されるものを除く）,県内他市町村で従業,386
公務  （他に分類されるものを除く）,他県で従業,9
