https://schema.org/Occupation,https://code4fukui.github.io/rdf/#total_headcount,https://code4fukui.github.io/rdf/#otherCities_inPrefecture,https://code4fukui.github.io/rdf/#otherPrefectures
総数,45918,14353,270
農業、林業,1028,60,0
漁業,3,1,0
鉱業、採石業、砂利採取業,16,6,0
建設業,3241,841,90
製造業,18998,6632,71
電気･ガス･熱供給･水道業,209,119,2
情報通信業,184,58,5
運輸業、郵便業,1466,630,15
卸売・小売業,5517,1565,24
金融・保険業,624,266,4
不動産業、物品賃貸業,331,76,6
学術研究，専門・技術サービス業,851,268,9
宿泊業、飲食サービス業,1572,307,5
生活関連サービス業、娯楽業,1058,232,1
教育、学習支援業,1847,633,9
医療、福祉,4531,1505,7
複合サービス事業,422,139,0
サービス業  （他に分類されないもの）,1822,495,7
公務  （他に分類されるものを除く）,1112,413,8
