地　区,H25,H26,H27,H28,H29,H30,H31,R2,R3,R4
東,5495,5440,5380,5331,5266,5247,5194,5098,5032,4953
西,7890,7607,7745,7869,7872,7896,7872,7863,7871,7691
南,9850,9680,9774,9717,9603,9741,9636,9662,9768,9758
神 山 ,3571,3516,3478,3463,3430,3434,3399,3347,3321,3281
吉野,7667,7660,7656,7731,7860,7968,8001,8101,8215,8193
国高,10583,10723,10836,10939,10986,11213,11332,11415,11635,11769
大虫,5990,5941,6059,5995,6009,6065,5994,5963,5952,5893
坂口,464,457,441,443,430,421,419,406,394,387
王子保,6047,5994,5930,5899,5820,5763,5761,5747,5711,5721
北新庄,2881,2880,2835,2825,2816,2809,2776,2761,2739,2698
北日野,4711,4656,4616,4573,4514,4458,4452,4395,4366,4311
味真野,4838,4836,4804,4730,4709,4645,4635,4609,4604,4579
白山,1825,1774,1739,1695,1669,1651,1626,1573,1533,1504
粟田部,3753,3678,3653,3600,3594,3559,3547,3488,3471,3442
岡本,3442,3398,3353,3295,3253,3187,3146,3081,2993,2963
南中山,3428,3379,3344,3310,3232,3180,3110,3065,3027,2938
服間,2052,1998,1971,1951,1919,1885,1854,1789,1763,1718
合計,84487,83617,83614,83366,82982,83122,82754,82363,82395,81799
