https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
府中一丁目,62,男,59 
府中一丁目,62,女,64 
府中二丁目,96,男,95 
府中二丁目,96,女,92 
府中三丁目,152,男,150 
府中三丁目,152,女,144 
吾妻町,89,男,91 
吾妻町,89,女,100 
住吉町,75,男,80 
住吉町,75,女,96 
堀川町,225,男,174 
堀川町,225,女,224 
錦町,64,男,59 
錦町,64,女,68 
万代町,99,男,89 
万代町,99,女,102 
天王町,56,男,51 
天王町,56,女,51 
蓬莱町,77,男,80 
蓬莱町,77,女,100 
幸町,103,男,119 
幸町,103,女,131 
国府一丁目,92,男,101 
国府一丁目,92,女,116 
国府二丁目,144,男,147 
国府二丁目,144,女,175 
北府一丁目,0,男,0 
北府一丁目,0,女,0 
北府二丁目,166,男,207 
北府二丁目,166,女,200 
北府三丁目,283,男,314 
北府三丁目,283,女,346 
北府四丁目,168,男,221 
北府四丁目,168,女,160 
桂町,67,男,72 
桂町,67,女,86 
本多二丁目,117,男,124 
本多二丁目,117,女,125 
本多三丁目,52,男,45 
本多三丁目,52,女,48 
北府本町,0,男,0 
北府本町,0,女,0 
本町,77 ,男,82 
本町,77 ,女,95 
元町,86 ,男,93 
元町,86 ,女,118 
京町一丁目,69 ,男,86 
京町一丁目,69 ,女,87 
京町二丁目,53 ,男,47 
京町二丁目,53 ,女,59 
京町三丁目,61 ,男,70 
京町三丁目,61 ,女,67 
本多一丁目,92 ,男,95 
本多一丁目,92 ,女,101 
平和町,150 ,男,141 
平和町,150 ,女,196 
若松町,93 ,男,89 
若松町,93 ,女,110 
高瀬一丁目,363 ,男,408 
高瀬一丁目,363 ,女,361 
高瀬二丁目,54 ,男,49 
高瀬二丁目,54 ,女,68 
中央一丁目,70 ,男,64 
中央一丁目,70 ,女,74 
中央二丁目,98 ,男,112 
中央二丁目,98 ,女,120 
深草一丁目,143 ,男,156 
深草一丁目,143 ,女,136 
深草二丁目,101 ,男,103 
深草二丁目,101 ,女,119 
平出一丁目,86 ,男,104 
平出一丁目,86 ,女,122 
平出二丁目,327 ,男,382 
平出二丁目,327 ,女,385 
平出三丁目,196 ,男,229 
平出三丁目,196 ,女,246 
小松一丁目,76 ,男,83 
小松一丁目,76 ,女,96 
小松二丁目,252 ,男,307 
小松二丁目,252 ,女,313 
日野美一丁目,10 ,男,9 
日野美一丁目,10 ,女,12 
日野美二丁目,100 ,男,84 
日野美二丁目,100 ,女,58 
野上町,148 ,男,165 
野上町,148 ,女,191 
新町,84 ,男,86 
新町,84 ,女,67 
北千福町,283 ,男,296 
北千福町,283 ,女,175 
小松町,0 ,男,0 
小松町,0 ,女,0 
沢町,405 ,男,430 
沢町,405 ,女,363 
南一丁目,108 ,男,109 
南一丁目,108 ,女,122 
南二丁目,157 ,男,159 
南二丁目,157 ,女,194 
南三丁目,80 ,男,90 
南三丁目,80 ,女,96 
武生柳町,130 ,男,147 
武生柳町,130 ,女,176 
若竹町,138 ,男,139 
若竹町,138 ,女,174 
あおば町,82 ,男,99 
あおば町,82 ,女,104 
神明町,82 ,男,92 
神明町,82 ,女,100 
豊町,78 ,男,87 
豊町,78 ,女,91 
姫川一丁目,82 ,男,113 
姫川一丁目,82 ,女,108 
姫川二丁目,188 ,男,210 
姫川二丁目,188 ,女,252 
文京一丁目,164 ,男,205 
文京一丁目,164 ,女,214 
文京二丁目,229 ,男,300 
文京二丁目,229 ,女,309 
御幸町,176 ,男,176 
御幸町,176 ,女,200 
東千福町,277 ,男,333 
東千福町,277 ,女,335 
行松町,274 ,男,284 
行松町,274 ,女,293 
妙法寺町,233 ,男,320 
妙法寺町,233 ,女,286 
松森町,223 ,男,259 
松森町,223 ,女,266 
月見町,103 ,男,141 
月見町,103 ,女,142 
畷町,76 ,男,100 
畷町,76 ,女,107 
常久町,104 ,男,152 
常久町,104 ,女,147 
常久団地,17 ,男,20 
常久団地,17 ,女,20 
学園団地,260 ,男,374 
学園団地,260 ,女,383 
三ツ口町,135 ,男,144 
三ツ口町,135 ,女,123 
千福町,553 ,男,635 
千福町,553 ,女,552 
岡本町,188,男,200 
岡本町,188,女,158 
広瀬町,641,男,817 
広瀬町,641,女,864 
池の上町,211,男,321 
池の上町,211,女,321 
広瀬ひばりが丘,103,男,122 
広瀬ひばりが丘,103,女,130 
向が丘町,89,男,121 
向が丘町,89,女,135 
新小野,22,男,39 
新小野,22,女,34 
本保町,443,男,533 
本保町,443,女,617 
片屋町,242,男,326 
片屋町,242,女,333 
氷坂町,182,男,232 
氷坂町,182,女,230 
余田町,120,男,188 
余田町,120,女,187 
家久町,1086,男,"1,343 "
家久町,1086,女,"1,388 "
芝原町,0,男,0 
芝原町,0,女,0 
芝原一丁目,251,男,295 
芝原一丁目,251,女,271 
芝原二丁目,109,男,126 
芝原二丁目,109,女,143 
芝原三丁目,71,男,71 
芝原三丁目,71,女,76 
芝原四丁目,123,男,139 
芝原四丁目,123,女,136 
