https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#number_of_BusinessOffice,https://schema.org/numberOfEmployees,https://schema.org/category,https://code4fukui.github.io/rdf/#value_TenThousand
昭和48年,1210,16882,製造品出荷額等,9716770
昭和48年,1210,16882,粗付加価値額,3678777
昭和48年,1210,16882,有形固定資産投資額,615552
昭和49年,1208,16589,製造品出荷額等,11934911
昭和49年,1208,16589,粗付加価値額,4717218
昭和49年,1208,16589,有形固定資産投資額,958529
昭和50年,1231,16475,製造品出荷額等,12198666
昭和50年,1231,16475,粗付加価値額,4840075
昭和50年,1231,16475,有形固定資産投資額,737480
昭和51年,1234,16579,製造品出荷額等,14300837
昭和51年,1234,16579,粗付加価値額,5525146
昭和51年,1234,16579,有形固定資産投資額,611008
昭和52年,1210,15903,製造品出荷額等,14734476
昭和52年,1210,15903,粗付加価値額,5416258
昭和52年,1210,15903,有形固定資産投資額,513024
昭和53年,1357,16173,製造品出荷額等,15827880
昭和53年,1357,16173,粗付加価値額,6282137
昭和53年,1357,16173,有形固定資産投資額,514360
昭和54年,1346,16593,製造品出荷額等,18045568
昭和54年,1346,16593,粗付加価値額,7418730
昭和54年,1346,16593,有形固定資産投資額,714515
昭和55年,1310,16418,製造品出荷額等,19586926
昭和55年,1310,16418,粗付加価値額,7728739
昭和55年,1310,16418,有形固定資産投資額,968698
昭和56年,1318,16780,製造品出荷額等,21623552
昭和56年,1318,16780,粗付加価値額,8595347
昭和56年,1318,16780,有形固定資産投資額,1582732
昭和57年,1376,17303,製造品出荷額等,22784155
昭和57年,1376,17303,粗付加価値額,9333301
昭和57年,1376,17303,有形固定資産投資額,1174119
昭和58年,1370,17433,製造品出荷額等,24641200
昭和58年,1370,17433,粗付加価値額,9826138
昭和58年,1370,17433,有形固定資産投資額,1368311
昭和59年,1365,17728,製造品出荷額等,29224309
昭和59年,1365,17728,粗付加価値額,10653426
昭和59年,1365,17728,有形固定資産投資額,1807065
昭和60年,1349,18602,製造品出荷額等,36123807
昭和60年,1349,18602,粗付加価値額,12602215
昭和60年,1349,18602,有形固定資産投資額,2359962
昭和61年,1350,18518,製造品出荷額等,36144899
昭和61年,1350,18518,粗付加価値額,12325174
昭和61年,1350,18518,有形固定資産投資額,1469614
昭和62年,1301,18414,製造品出荷額等,37765599
昭和62年,1301,18414,粗付加価値額,12558542
昭和62年,1301,18414,有形固定資産投資額,1692686
昭和63年,1271,18547,製造品出荷額等,38705859
昭和63年,1271,18547,粗付加価値額,13755782
昭和63年,1271,18547,有形固定資産投資額,2380798
平成元年,1291,19080,製造品出荷額等,42098781
平成元年,1291,19080,粗付加価値額,14334056
平成元年,1291,19080,有形固定資産投資額,2164386
平成2年,1276,19298,製造品出荷額等,43324527
平成2年,1276,19298,粗付加価値額,16034940
平成2年,1276,19298,有形固定資産投資額,1955287
平成3年,1305,19916,製造品出荷額等,48215517
平成3年,1305,19916,粗付加価値額,17780877
平成3年,1305,19916,有形固定資産投資額,2269265
平成4年,1270,19578,製造品出荷額等,43401311
平成4年,1270,19578,粗付加価値額,17348731
平成4年,1270,19578,有形固定資産投資額,1817601
平成5年,1239,19111,製造品出荷額等,41744869
平成5年,1239,19111,粗付加価値額,17374287
平成5年,1239,19111,有形固定資産投資額,1962404
平成6年,1246,18843,製造品出荷額等,41809177
平成6年,1246,18843,粗付加価値額,18370668
平成6年,1246,18843,有形固定資産投資額,2120392
平成7年,1211,18453,製造品出荷額等,43429107
平成7年,1211,18453,粗付加価値額,17436228
平成7年,1211,18453,有形固定資産投資額,1870239
平成8年,1210,18569,製造品出荷額等,43496303
平成8年,1210,18569,粗付加価値額,18454923
平成8年,1210,18569,有形固定資産投資額,2901732
平成9年,1173,18187,製造品出荷額等,44834695
平成9年,1173,18187,粗付加価値額,20209902
平成9年,1173,18187,有形固定資産投資額,3101830
平成10年,1152,17468,製造品出荷額等,42256282
平成10年,1152,17468,粗付加価値額,17625553
平成10年,1152,17468,有形固定資産投資額,3340584
平成11年,1115,17051,製造品出荷額等,41745264
平成11年,1115,17051,粗付加価値額,17214395
平成11年,1115,17051,有形固定資産投資額,2387522
平成12年,1075,16849,製造品出荷額等,45871622
平成12年,1075,16849,粗付加価値額,20163193
平成12年,1075,16849,有形固定資産投資額,2825035
平成13年,1027,16213,製造品出荷額等,37428206
平成13年,1027,16213,粗付加価値額,16840372
平成13年,1027,16213,有形固定資産投資額,2033565
平成14年,500,14488,製造品出荷額等,35960861
平成14年,500,14488,粗付加価値額,16908209
平成14年,500,14488,有形固定資産投資額,2083043
平成15年,511,14536,製造品出荷額等,38700486
平成15年,511,14536,粗付加価値額,16497919
平成15年,511,14536,有形固定資産投資額,1737860
平成16年,470,13994,製造品出荷額等,38042098
平成16年,470,13994,粗付加価値額,16986060
