年次,田（ha）,畑（ha）
昭和45年,4890,355
昭和50年,4645,257
昭和55年,4415,263
昭和60年,4202,249
昭和61年,4166,245
昭和62年,4140,241
昭和63年,4098,241
平成元年,4067,236
平成2年,4045,234
平成3年,4021,230
平成4年,3977,228
平成5年,3933,223
平成6年,3895,220
平成7年,3861,217
平成8年,3826,212
平成9年,3793,207
平成10年,3858,195
平成11年,3728,192
平成12年,3715,190
平成13年,3703,188
平成14年,3661,188
平成15年,3650,188
平成16年,3629,187
平成17年,3620,188
平成18年,3610,187
平成19年,3600,187
平成20年,3590,181
平成21年,3570,180
平成22年,3550,183
平成23年,3540,182
平成24年,3540,183
平成25年,3530,182
平成26年,3520,182
平成27年,3510,180
平成28年,3510,181
平成29年,3490,182
平成30年,3470,181
平成31年,3460,180
令和2年,3440,180
