年次,持家,貸家,給与住宅,分譲住宅
平成元年度,370,241,5,47
平成2年,300,246,0,46
平成3年,324,178,8,38
平成4年,366,121,11,19
平成5年,442,167,16,28
平成6年,418,172,0,27
平成7年,401,334,3,30
平成8年,464,233,14,62
平成9年,275,200,0,28
平成10年,390,153,0,35
平成11年,351,174,5,17
平成12年,329,425,2,36
平成13年,303,273,3,22
平成14年,269,146,0,16
平成15年,311,228,0,21
平成16年,331,193,34,30
平成17年,287,183,1,36
平成18年,278,313,0,18
平成19年,242,268,0,28
平成20年,247,127,0,14
平成21年,213,63,0,25
平成22年,250,208,0,29
平成23年,212,76,0,27
平成24年,220,41,0,39
平成25年,312,55,0,39
平成26年,219,112,0,47
平成27年,274,258,0,76
平成28年,272,172,0,41
平成29年,241,247,1,56
平成30年,326,351,0,44
