https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#housing_management,https://code4fukui.github.io/rdf/#number_of_houses
平成17年,市営住宅,915
平成17年,県営住宅,80
平成17年,公営住宅,995
平成18年,市営住宅,896
平成18年,県営住宅,80
平成18年,公営住宅,976
平成19年,市営住宅,877
平成19年,県営住宅,80
平成19年,公営住宅,957
平成20年,市営住宅,874
平成20年,県営住宅,80
平成20年,公営住宅,954
平成21年,市営住宅,865
平成21年,県営住宅,80
平成21年,公営住宅,945
平成22年,市営住宅,856
平成22年,県営住宅,80
平成22年,公営住宅,936
平成23年,市営住宅,853
平成23年,県営住宅,80
平成23年,公営住宅,933
平成24年,市営住宅,851
平成24年,県営住宅,80
平成24年,公営住宅,931
平成25年,市営住宅,848
平成25年,県営住宅,80
平成25年,公営住宅,928
平成26年,市営住宅,846
平成26年,県営住宅,80
平成26年,公営住宅,926
平成27年,市営住宅,842
平成27年,県営住宅,80
平成27年,公営住宅,922
平成28年,市営住宅,834
平成28年,県営住宅,80
平成28年,公営住宅,914
