https://schema.org/Time,https://schema.org/gender,https://code4fukui.github.io/rdf/#number_of_voters,https://code4fukui.github.io/rdf/#number_of_turnout
午前９時,男,2181,6.79
午前９時,女,1677,4.92
午前９時,計,3858,5.83
午前１０時,男,4182,13.02
午前１０時,女,3624,10.63
午前１０時,計,7806,11.79
午前１１時,男,6056,18.86
午前１１時,女,5575,16.36
午前１１時,計,11631,17.57
午後１時,男,8586,26.74
午後１時,女,8135,23.87
午後１時,計,16721,25.26
午後２時,男,9655,30.07
午後２時,女,9303,27.3
午後２時,計,18958,28.64
午後３時,男,10664,33.21
午後３時,女,10325,30.3
午後３時,計,20989,31.71
午後４時,男,11443,35.64
午後４時,女,11126,32.65
午後４時,計,22569,34.1
午後５時,男,12219,38.05
午後５時,女,11947,35.06
午後５時,計,24166,36.51
午後６時,男,12839,39.98
午後６時,女,12580,36.92
午後６時,計,25419,38.4
午後７時,男,13412,41.77
午後７時,女,13159,38.62
午後７時,計,26571,40.14
期日前投票,男,3564,
期日前投票,女,4558,
期日前投票,計,8122,
