https://schema.org/Time,https://schema.org/gender,https://code4fukui.github.io/rdf/#number_of_voters,https://code4fukui.github.io/rdf/#number_of_turnout
午前９時,男,2177,6.74
午前９時,女,1676,4.89
午前９時,計,3853,5.79
午前１０時,男,4174,12.92
午前１０時,女,3621,10.57
午前１０時,計,7795,11.71
午前１１時,男,6046,18.71
午前１１時,女,5565,16.25
午前１１時,計,11611,17.44
午後１時,男,8570,26.52
午後１時,女,8125,23.72
午後１時,計,16695,25.08
午後２時,男,9641,29.84
午後２時,女,9290,27.13
午後２時,計,18931,28.44
午後３時,男,10652,32.97
午後３時,女,10313,30.11
午後３時,計,20965,31.5
午後４時,男,11430,35.37
午後４時,女,11114,32.45
午後４時,計,22544,33.87
午後５時,男,12210,37.79
午後５時,女,11941,34.87
午後５時,計,24151,36.29
午後６時,男,12825,39.69
午後６時,女,12570,36.7
午後６時,計,25395,38.15
午後７時,男,13398,41.47
午後７時,女,13155,38.41
午後７時,計,26553,39.89
期日前投票,男,5277,
期日前投票,女,6586,
期日前投票,計,11863,
