https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#name_of_Municipality,https://code4fukui.github.io/rdf/#number_of_vehicles
平成19年度,鯖江,2049842
平成19年度,武生,1857407
平成19年度,今庄,486373
平成20年度,鯖江,2007314
平成20年度,武生,1787377
平成20年度,今庄,471893
平成21年度,鯖江,2103762
平成21年度,武生,1758595
平成21年度,今庄,435222
平成22年度,鯖江,2211768
平成22年度,武生,1783555
平成22年度,今庄,393949
平成23年度,鯖江,2277686
平成23年度,武生,1861148
平成23年度,今庄,426220
平成24年度,鯖江,2380810
平成24年度,武生,1887132
平成24年度,今庄,434555
平成25年度,鯖江,2456915
平成25年度,武生,1935153
平成25年度,今庄,423048
平成26年度,鯖江,2305249
平成26年度,武生,1875886
平成26年度,今庄,407153
