年次,武生駅定期外,武生駅定期,王子保駅定期外,王子保駅定期
昭和50年,2335,2109,34,425
昭和51年,2200,2258,31,420
昭和52年,2011,2047,28,423
昭和53年,1934,1944,36,379
昭和54年,1829,1630,33,347
昭和55年,1811,1472,33,328
昭和56年,1952,1340,25,294
昭和57年,1551,1261,30,296
昭和58年,1643,1208,17,281
昭和59年,1683,1186,9,302
昭和60年,1636,1175,8,328
昭和61年,1586,1167,9,320
昭和62年,1641,835,12,381
昭和63年,1728,1236,10,287
平成元年,1677,1307,7,266
平成2年,1726,1308,9,259
平成3年,1667,1326,*,292
平成4年,1405,1333,92,275
平成5年,1407,1314,91,256
平成6年,1371,1246,92,265
平成7年,1377,1276,96,250
平成8年,1336,1257,94,250
平成9年,1265,1207,90,230
平成10年,1176,1181,79,231
平成11年,1182,1130,82,215
平成12年,1218,1219,85,233
平成13年,1167,1183,77,249
平成14年,1125,1146,71,250
平成15年,1100,1119,65,250
平成16年,1093,1137,61,248
平成17年,1135,1224,62,243
平成18年,1144,1279,56,260
平成19年,1133,1307,52,274
平成20年,1073,1321,54,265
平成21年,966,1359,49,253
平成22年,951,1336,50,240
平成23年,953,1309,54,236
平成24年,946,1307,51,246
平成25年,949,1383,48,243
平成26年,946,1344,21,219
平成27年,969,1359,22,225
平成28年,975,1369,22,229
平成29年,982,1389,19,235
平成30年,999,1427,25,241
令和元年,948,1382,28,243
令和2年,414,1021,22,206
