西暦,回数,開催期間,開催日数,前売り券,当日券大人,当日券子供,団体等,前売り券,備考
1952,第1回,10/10～11/15,37,61363,11991,8070,22286,,
1953,第2回,10/10～11/15,37,63323,16307,11151,31963,,
1954,第3回,10/5～11/15,42,77120,6233,11421,39857,,
1955,第4回,10/5～11/15,42,77331,4687,11689,46089,,
1956,第5回,10/5～11/15,42,95062,12511,13893,43709,,
1957,第6回,10/5～11/15,42,87513,6487,11582,38709,,
1958,第7回,10/5～11/23,50,86160,4977,10100,35614,,
1959,第8回,10/5～11/15,42,83441,4856,10195,32952,,
1960,第9回,10/10～11/20,42,86797,5923,8883,34951,,
1961,第10回,10/10～11/20,42,85743,7200,8602,40825,,
1962,第11回,10/10～11/15,37,70848,5813,5940,31710,,
1963,第12回,10/10～11/15,37,71790,8748,7522,30699,,
1964,第13回,10/10～11/15,37,70897,7942,8145,22538,,
1965,第14回,10/10～11/15,37,63421,9041,8364,22181,,
1966,第15回,10/5～11/10,37,68411,7917,9413,21857,,
1967,第16回,10/5～11/10,37,62977,7548,8012,18832,,
1968,第17回,10/4～11/10,38,49389,13176,6512,12160,,
1969,第18回,10/5～11/10,37,45816,31304,10636,18907,,
1970,第19回,10/5～11/10,37,39997,30656,11731,15113,,
1971,第20回,10/5～11/10,37,44778,28625,10682,18886,,
1972,第21回,10/5～11/10,37,39821,33489,13146,14190,,
1973,第22回,10/5～11/10,37,38902,28574,9437,12040,,
1974,第23回,10/5～11/10,37,45848,40431,15149,10770,,
1975,第24回,10/5～11/10,37,49088,32282,17158,14324,,
1976,第25回,10/5～11/10,37,52341,32286,16097,16435,,
1977,第26回,10/5～11/10,37,52702,34239,17229,21026,,
1978,第27回,10/5～11/10,37,46705,32635,19672,21838,,
1979,第28回,10/5～11/10,37,45808,34558,11011,29834,,
1980,第29回,10/5～11/10,37,37426,25539,7493,30188,,
1981,第30回,10/5～11/10,37,39980,46570,12301,38949,,
1982,第31回,10/5～11/10,37,46687,47301,13827,39477,,
1983,第32回,10/5～11/10,37,45545,40783,11787,36275,,
1984,第33回,10/5～11/10,37,44353,39111,10825,36676,,
1985,第34回,10/5～11/10,37,43849,35707,12309,34223,,
1986,第35回,10/5～11/10,37,42408,34898,14261,32292,,
1987,第36回,10/5～11/10,37,44793,36299,13251,33074,,
1988,第37回,10/5～11/10,37,40635,36060,11464,28716,,
1989,第38回,10/5～11/10,37,44034,39852,11734,30643,,
1990,第39回,10/5～11/10,37,43910,38108,9247,31729,,
1991,第40回,10/5～11/10,37,40361,49039,9454,34183,,
1992,第41回,10/3～11/10,39,45992,39403,7919,36112,,
1993,第42回,10/3～11/10,39,47494,37788,7554,37015,,
1994,第43回,10/3～11/10,39,41373,44726,7668,33113,,
1995,第44回,10/3～11/10,39,46681,38623,7005,38882,,
1996,第45回,10/3～11/11,40,42458,36356,6485,35979,,
1997,第46回,10/3～11/10,39,46360,32527,5664,32032,,
1998,第47回,10/3～11/10,39,43973,29914,5029,29569,,
1999,第48回,10/3～11/10,39,42354,27513,5142,26154,,
2000,第49回,10/3～11/10,39,41270,23199,4180,27059,,
2001,第50回,10/3～11/11,40,35649,23818,5247,31154,,
2002,第51回,10/3～11/10,39,34162,26395,4603,28197,,
2003,第52回,10/3～11/3,32,38961,26523,5706,19908,,
2004,第53回,10/2～11/3,33,36739,18435,5170,20219,,
2005,第54回,10/1～11/3,34,39731,20279,4730,17922,,
2006,第55回,10/1～11/5,36,41879,24628,5750,21954,,
2007,第56回,10/3～11/4,33,40190,21545,5407,18613,,
2008,第57回,10/4～11/9,37,40789,21445,5926,22552,,
2009,第58回,10/3～11/8,37,38072,23465,5016,16160,,
2010,第59回,10/2～11/7,37,36171,24238,4969,17423,,
2011,第60回,10/1～11/6,37,38935,30168,4288,17446,,
2012,第61回,10/3～11/11,40,35800,22164,3266,14186,,
2013,第62回,10/3～11/10,39,30941,21233,2840,17328,,
2014,第63回,10/3～11/9,38,24883,19905,2734,17265,,
2015,第64回,10/2～11/9,38,24513,22289,3068,17667,,
2016,第65回,10/6～11/6,32,21419,24736,0,10043,,
2017,第66回,10/5～11/5,32,-,-,-,-,,2017より会場入場料が無料
2018,第67回,9/28～11/4,38,-,-,-,-,,2017より会場入場料が無料
2019,第68回,10/4～11/4,32,-,-,-,-,,2017より会場入場料が無料
2020,第69回,10/9～11/8,31,-,-,-,-,,2017より会場入場料が無料
2021,第70回,10/8～11/7,31,-,-,-,-,,2017より会場入場料が無料
