https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#support_required,https://code4fukui.github.io/rdf/#support_required1,https://code4fukui.github.io/rdf/#support_required2,https://code4fukui.github.io/rdf/#transitional_care_required,https://code4fukui.github.io/rdf/#care_required1,https://code4fukui.github.io/rdf/#care_required2,https://code4fukui.github.io/rdf/#care_required3,https://code4fukui.github.io/rdf/#care_required4,https://code4fukui.github.io/rdf/#care_required5,https://code4fukui.github.io/rdf/#total_headcount
平成12年度,507,,,,1179,618,511,522,377,3714
平成13年度,379,,,,808,403,283,315,269,2457
平成14年度,562,,,,955,430,301,326,266,2840
平成15年度,576,,,,988,406,335,328,267,2900
平成16年度,612,,,,985,425,374,339,305,3040
,,,,,,,,,,
（越前市）,,,,,,,,,,
平成17年度,622,,,,1024,431,401,349,311,3138
平成18年度,,414,469,0,558,470,443,374,325,3053
平成19年度,,356,504,0,597,470,493,366,317,3103
平成20年度,,301,490,0,640,519,528,401,355,3234
平成21年度,,270,533,0,650,551,493,450,400,3347
平成22年度,,235,541,0,680,648,550,489,412,3555
平成23年度,,197,554,0,706,753,553,556,401,3720
平成24年度,,229,564,0,704,831,604,573,366,3871
平成25年度,,199,603,0,697,881,658,567,370,3975
平成26年度,,219,604,0,760,874,674,565,350,4046
平成27年度,,173,586,0,893,849,668,573,347,4089
平成28年度,,181,545,0,839,919,659,571,372,4086
平成29年度,,104,376,0,805,925,666,596,361,3833
