https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#elderly_category,https://code4fukui.github.io/rdf/#headcount
平成17年,ひとり暮らし高齢者,1405
平成17年,寝たきり高齢者,961
平成18年,ひとり暮らし高齢者,1481
平成18年,寝たきり高齢者,1041
平成19年,ひとり暮らし高齢者,2418
平成19年,寝たきり高齢者,1015
平成20年,ひとり暮らし高齢者,2555
平成20年,寝たきり高齢者,1074
平成21年,ひとり暮らし高齢者,2679
平成21年,寝たきり高齢者,1109
平成22年,ひとり暮らし高齢者,2769
平成22年,寝たきり高齢者,1061
平成23年,ひとり暮らし高齢者,2844
平成23年,寝たきり高齢者,1099
平成24年,ひとり暮らし高齢者,2929
平成24年,寝たきり高齢者,1114
平成25年,ひとり暮らし高齢者,3080
平成25年,寝たきり高齢者,1152
平成26年,ひとり暮らし高齢者,3250
平成26年,寝たきり高齢者,1190
平成27年,ひとり暮らし高齢者,3524
平成27年,寝たきり高齢者,1257
平成28年,ひとり暮らし高齢者,3646
平成28年,寝たきり高齢者,1244
