#LINK,http://linkdata.org/upload,,,,,,,,
#file_name,1007toukeinenkan,,,,,,,,
#lang,ja,,,,,,,,
#attribution_name,越前市情報統計課,,,,,,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,,,,,,
#property,年,蔵書冊数（冊）,開館日数（日）,貸出冊数　一般（冊）,貸出冊数　児童（冊）,貸出冊数　計（冊）,貸出人数　一般（人）,貸出人数　児童（人）,貸出人数計（人）
#object_type_xsd,string:other,string:other,string:other,string:other,string:other,string:other,string:other,string:other,string:other
#property_context,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion,assertion
1,昭和58年度,14615,228,4986,12032,17018,2561,5735,8296
2,昭和59年度,20370,293,11226,19428,30654,5570,8515,14085
3,昭和60年度,25050,288,14031,27317,41348,6994,11317,18311
4,昭和61年度,29686,281,14143,21209,35352,7123,8753,15876
5,昭和62年度,35488,281,18393,19785,38178,8272,8906,17178
6,昭和63年度,40279,277,18589,17570,36159,8196,7788,15984
7,平成元年度,46197,277,19927,15305,35232,8714,6578,15292
8,平成2年度,51838,276,24259,21975,46234,8241,6527,14768
9,平成3年度,56700,278,24327,21954,46281,8431,5756,14187
10,平成4年度,61710,277,25764,22244,48008,8978,5687,14665
11,平成5年度,66190,275,26259,21878,48137,9188,7182,16370
12,平成6年度,70023,275,27012,27547,54559,9618,9942,19560
13,平成7年度,73677,245,25752,26207,51959,8559,9131,17690
14,平成8年度,76206,268,29112,29933,59045,9826,6700,16526
15,平成9年度,80276,274,47616,18346,65962,10790,4602,15392
16,平成10年度,86981,274,43585,20346,63931,10597,5329,15926
17,平成11年度,90377,273,42786,17550,60336,10357,4416,14773
18,平成12年度,93010,274,42141,16471,58612,10168,3807,13975
19,平成13年度,98594,273,47212,20077,67289,13744,7243,20987
20,平成14年度,100263,271,48228,16249,64477,11594,4607,16201
21,平成15年度,102536,270,47381,16283,63664,10984,4399,15383
22,平成16年度,102391,271,42388,16519,58907,,,
23,平成17年度,105696,282,24697,31292,55989,10059,3533,13592
24,平成18年度,107833,277,31865,25656,57521,12312,2565,14877
25,平成19年度,105697,282,44478,9886,54364,10750,2257,13007
26,平成20年度,107268,285,31546,25938,57484,11666,2212,13878
27,平成21年度,110973,287,34683,29712,64395,12960,2633,15593
28,平成22年度,112942,287,37286,38056,75342,14528,3127,17655
29,平成23年度,116141,287,49284,32043,81327,15695,3584,19279
30,平成24年度,118656,283,29171,44753,73924,14062,3584,17646
31,平成25年度,120601,281,38540,41011,79551,15612,3734,19346
32,平成26年度,122835,287,39784,42006,81790,14977,2951,17928
33,平成27年度,122880,287,41707,45306,87013,15995,2800,18795
34,平成28年度,123426,286,41754,45638,87392,15627,2401,18028
35,平成29年度,122380,282,38048,35535,73583,13680,1808,15488
