https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#number_of_times_held,https://schema.org/participant
昭和57年,1回,"1,287"
昭和58年,2回,1837
昭和59年,3回,1649
昭和60年,4回,2350
昭和61年,5回,2293
昭和62年,6回,2910
昭和63年,7回,2329
平成元年,8回,2536
平成2年,9回,2912
平成3年,10回,3316
平成4年,11回,3765
平成5年,12回,3803
平成6年,13回,4377
平成7年,14回,4255
平成8年,15回,4022
平成9年,16回,3792
平成10年,17回,3679
平成11年,18回,3678
平成12年,19回,3350
平成13年,20回,3351
平成14年,21回,2938
平成15年,22回,2856
平成16年,23回,2828
平成17年,24回,3030
平成18年,25回,3196
平成19年,26回,3320
平成20年,27回,3634
平成21年,28回,4111
平成22年,29回,4152
平成23年,30回,4339
平成24年,31回,4301
平成25年,32回,4407
平成26年,33回,4311
平成27年,34回,3988
平成28年,35回,3855
平成29年,36回,"3,748"
