https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#total_fire,https://code4fukui.github.io/rdf/#fire_building,https://code4fukui.github.io/rdf/#fire_ForestsAndFields,https://code4fukui.github.io/rdf/#fire_vehicle,https://code4fukui.github.io/rdf/#fire_other,https://code4fukui.github.io/rdf/#burnt_building,https://code4fukui.github.io/rdf/#burnt_ForestsAndFields,https://code4fukui.github.io/rdf/#burnt_others,https://code4fukui.github.io/rdf/#total_damage,https://code4fukui.github.io/rdf/#damage_building,https://code4fukui.github.io/rdf/#danage_ForestsAndFields,https://code4fukui.github.io/rdf/#damage_vehicle,https://code4fukui.github.io/rdf/#damage_others,https://code4fukui.github.io/rdf/#affected_households,https://code4fukui.github.io/rdf/#number_of_affected,https://code4fukui.github.io/rdf/#number_of_deaths,https://code4fukui.github.io/rdf/#number_of_injured
平成元年,26,22,1,1,2,"2,834",31,0,"153,149",*,*,*,*,*,*,*,*
平成2年,23,19,0,2,2,"2,218",0,32,"225,157",*,*,*,*,*,*,*,*
平成3年,23,20,0,0,3,"1,937",0,0,"94,175",*,*,*,*,*,*,*,*
平成4年,24,21,1,1,1,"2,495",18,0,"170,205",*,*,*,*,*,*,*,*
平成5年,23,16,1,3,3,839,150,0,"63,726",*,*,*,*,*,*,*,*
平成6年,22,13,2,2,5,"1,670",60,"1,602","80,422",*,*,*,*,*,*,*,*
平成7年,34,23,3,2,6,"1,648",91.4,0,"259,817","256,779","2,519",509,10,17,55,2,8
平成8年,24,14,2,4,4,"1,784",206,0,"75,595","74,652",605,338,0,10,37,0,3
平成9年,23,15,6,0,2,"1,518",41,0,"146,446","136,474",454,"1,498","8,020",15,47,0,1
平成10年,27,15,1,7,4,"1,563",2,0,"193,330","137,091",0,"56,164",75,5,12,0,0
平成11年,38,22,0,6,10,"3,723",0,0,"159,044","158,126",0,832,59,20,61,4,5
平成12年,30,18,1,6,5,"1,427",5,0,"69,955","63,763",38,"6,132",23,31,60,0,3
平成13年,21,15,0,3,3,"1,520",0,0,"117,225","116,464",0,761,0,14,42,0,2
平成14年,16,10,0,3,3,976,0,0,"42,110","41,938",0,172,0,9,21,3,1
平成15年,21,17,0,3,1,701,0,0,"38,888","38,753",0,117,18,14,31,2,1
平成16年,24,16,1,4,3,597,4,0,"68,379","64,830",917,"2,322",310,10,28,0,3
平成17年,27,21,0,5,1,"1,596",0,0,"54,010","51,655",0,"2,355",0,20,47,1,3
平成18年,29,24,0,2,3,"3,790",0,0,"152,492","152,365",0,125,2,27,71,2,22
平成19年,21,18,0,0,3,765,2,0,"31,389","30,259",0,0,"1,130",9,14,1,4
平成20年,30,26,0,2,2,"1,686",0,0,"107,146","106,737",0,404,5,14,45,2,5
平成21年,18,13,1,1,3,628,22,0,"42,256","41,621",469,119,47,9,31,0,1
平成22年,26,21,1,4,0,710,1,0,"52,841","51,226",0,"1,154",0,15,39,1,5
平成23年,23,18,1,3,1,615,4,0,"26,817","26,715",69,32,1,16,48,0,4
平成24年,28,16,2,6,4,619,9,0,"60,931","56,260",193,"4,425",53,9,17,3,6
平成25年,27,11,1,6,9,48,5,0,"4,413","1,471",0,"1,027","1,915",7,17,1,7
平成26年,22,11,0,4,7,287,0,0,"11,907","10,364",0,"1,522",21,6,9,0,7
平成27年,23,12,1,4,6,"3,315",4,0,"105,680","104,402",46,"1,203",29,12,23,2,5
平成28年,23,16,0,4,3,978,0,0,"31,247","30,270",0,573,404,13,33,1,2
平成29年,20,13,1,2,4,"2,171",18,―,"66,739","65,890",0,150,699,18,44,0,2
平成30年,23,18,1,3,1,767,8,―,54559,52776,60,1723,0,14,27,0,6
平成31年・令和元年,20,9,2,4,5,2045,25,―,34471,33326,221,677,247,17,24,0,2
令和2年度,14,5,0,4,5,6,0,0,1129,406,0,235,488,3,8,1,1
