https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#number_of_participation,https://code4fukui.github.io/rdf/#disaster_name,https://code4fukui.github.io/rdf/#number_of_cases
平成24年,3027,火災,4
平成24年,3027,自然災害,0
平成24年,3027,水難,2
平成24年,3027,交通事故,420
平成24年,3027,労働災害,37
平成24年,3027,運動競技,29
平成24年,3027,一般負傷,466
平成24年,3027,加害,1
平成24年,3027,自損行為,18
平成24年,3027,急病,1679
平成24年,3027,その他,284
平成25年,2848,火災,11
平成25年,2848,自然災害,0
平成25年,2848,水難,1
平成25年,2848,交通事故,385
平成25年,2848,労働災害,30
平成25年,2848,運動競技,22
平成25年,2848,一般負傷,415
平成25年,2848,加害,7
平成25年,2848,自損行為,18
平成25年,2848,急病,1629
平成25年,2848,その他,266
平成26年,2906,火災,4
平成26年,2906,自然災害,0
平成26年,2906,水難,0
平成26年,2906,交通事故,383
平成26年,2906,労働災害,28
平成26年,2906,運動競技,16
平成26年,2906,一般負傷,422
平成26年,2906,加害,9
平成26年,2906,自損行為,22
平成26年,2906,急病,1674
平成26年,2906,その他,282
平成27年,3088,火災,1
平成27年,3088,自然災害,0
平成27年,3088,水難,1
平成27年,3088,交通事故,403
平成27年,3088,労働災害,22
平成27年,3088,運動競技,17
平成27年,3088,一般負傷,505
平成27年,3088,加害,2
平成27年,3088,自損行為,21
平成27年,3088,急病,1678
平成27年,3088,その他,299
平成28年,3031,火災,2
平成28年,3031,自然災害,―
平成28年,3031,水難,2
平成28年,3031,交通事故,366
平成28年,3031,労働災害,37
平成28年,3031,運動競技,18
平成28年,3031,一般負傷,515
平成28年,3031,加害,2
平成28年,3031,自損行為,21
平成28年,3031,急病,1638
平成28年,3031,その他,318
平成29年,3169,火災,2
平成29年,3169,自然災害,0
平成29年,3169,水難,1
平成29年,3169,交通事故,318
平成29年,3169,労働災害,36
平成29年,3169,運動競技,12
平成29年,3169,一般負傷,511
平成29年,3169,加害,6
平成29年,3169,自損行為,11
平成29年,3169,急病,1838
平成29年,3169,その他,307
