https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　議会,9,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　総務,130,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　税務,34,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　民生,157,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　衛生,34,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　労働,2,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　農林水産,33,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　商工,22,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　土木,59,,,,,,,,,,,,,,,,,,
平成17年度,一般行政部門　小計,480,,,,,,,,,,,,,,,,,,
平成17年度,特別行政部門　教育,158,,,,,,,,,,,,,,,,,,
平成17年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成17年度,公営企業等会計部門　病院,4,,,,,,,,,,,,,,,,,,
平成17年度,公営企業等会計部門　水道,21,,,,,,,,,,,,,,,,,,
平成17年度,公営企業等会計部門　下水道,20,,,,,,,,,,,,,,,,,,
平成17年度,公営企業等会計部門　その他,36,,,,,,,,,,,,,,,,,,
平成17年度,公営企業等会計部門　小計,81,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　議会,7,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　総務,136,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　税務,32,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　民生,156,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　衛生,32,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　労働,3,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　農林水産,29,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　商工,22,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　土木,56,,,,,,,,,,,,,,,,,,
平成18年度,一般行政部門　小計,473,,,,,,,,,,,,,,,,,,
平成18年度,特別行政部門　教育,151,,,,,,,,,,,,,,,,,,
平成18年度,特別行政部門　消防,0,,,,,,,,,,,,,,,,,,
平成18年度,公営企業等会計部門　病院,4,,,,,,,,,,,,,,,,,,
