https://schema.org/Date,https://schema.org/Class,https://schema.org/gender,https://code4fukui.github.io/rdf/#electorate,https://code4fukui.github.io/rdf/#number_of_voters,https://code4fukui.github.io/rdf/#number_of_turnout
11.6.H17,市長,男,32235,23772,73.75
11.6.H17,市長,女,34592,26798,77.47
11.6.H17,市長,計,66827,50570,75.67
7.9.H18,市議会議員,男,32119,23194,72.21
7.9.H18,市議会議員,女,34496,26068,75.57
7.9.H18,市議会議員,計,66615,49262,73.95
4.8.H19,知事,男,32091,12180,37.95
4.8.H19,知事,女,34444,13264,38.51
4.8.H19,知事,計,66535,25444,38.24
4.8.H19,県議会議員,男,無投票,無投票,無投票
4.8.H19,県議会議員,女,無投票,無投票,無投票
4.8.H19,県議会議員,計,無投票,無投票,無投票
7.29.H19,参議院議員通常選挙,男,32424,21173,65.3
7.29.H19,参議院議員通常選挙,女,34678,22421,64.65
7.29.H19,参議院議員通常選挙,計,67102,43594,64.97
8.30.H21,衆議院議員総選挙（２区）,男,5125,4039,78.35
8.30.H21,衆議院議員総選挙（２区）,女,5590,4343,77.69
8.30.H21,衆議院議員総選挙（２区）,計,10715,8382,78.23
8.30.H21,衆議院議員総選挙（３区）,男,27070,20409,75.39
8.30.H21,衆議院議員総選挙（３区）,女,28844,21293,73.82
8.30.H21,衆議院議員総選挙（３区）,計,55914,41702,74.58
10.18.H21,市長,男,無投票,無投票,無投票
10.18.H21,市長,女,無投票,無投票,無投票
10.18.H21,市長,計,無投票,無投票,無投票
10.18.H21,市議会議員,男,32007,8797,27.48
10.18.H21,市議会議員,女,34249,9376,27.38
10.18.H21,市議会議員,計,66256,18173,27.43
7.11.H22,参議院議員通常選挙,男,32198,23594,73.28
7.11.H22,参議院議員通常選挙,女,34463,25465,73.89
7.11.H22,参議院議員通常選挙,計,66661,49059,73.59
7.11.H22,市議会議員,男,31878,23465,73.61
7.11.H22,市議会議員,女,34182,25375,74.23
7.11.H22,市議会議員,計,66060,48840,73.93
4.10.H23,知事,男,31805,19767,62.15
4.10.H23,知事,女,34050,21335,62.66
4.10.H23,知事,計,65855,41102,62.41
4.10.H23,県議会議員,男,,,
4.10.H23,県議会議員,女,,,
4.10.H23,県議会議員,計,,,
12.16.H24,衆議院議員総選挙（２区）,男,4981,3254,65.33
12.16.H24,衆議院議員総選挙（２区）,女,5410,3381,62.5
12.16.H24,衆議院議員総選挙（２区）,計,10391,6635,63.85
12.16.H24,衆議院議員総選挙（３区）,男,26939,16806,62.39
12.16.H24,衆議院議員総選挙（３区）,女,28650,17069,59.58
12.16.H24,衆議院議員総選挙（３区）,計,55589,33875,60.94
7.21.H25,参議院議員通常選挙,男,31845,17422,54.71
7.21.H25,参議院議員通常選挙,女,34034,17815,52.34
7.21.H25,参議院議員通常選挙,計,65879,35237,53.49
10.20.H25,市長,男,31642,14696,46.44
10.20.H25,市長,女,33844,16119,47.63
10.20.H25,市長,計,65486,30815,47.06
7.13.H26,市議会議員,男,31563,19868,62.95
7.13.H26,市議会議員,女,33723,21375,63.38
7.13.H26,市議会議員,計,65286,41243,63.17
12.14.H26,衆議院議員総選挙（２区）,男,31737,15887,50.06
12.14.H26,衆議院議員総選挙（２区）,女,33909,15835,46.7
12.14.H26,衆議院議員総選挙（２区）,計,65646,31722,48.32
4.12.H27,知事,男,31400,18172,57.87
4.12.H27,知事,女,33639,19063,56.67
4.12.H27,知事,計,65039,37235,57.25
4.12.H27,県議会議員,男,31400,18168,57.86
4.12.H27,県議会議員,女,33639,19059,56.66
4.12.H27,県議会議員,計,65039,37227,57.24
7.10.H28,参議院議員通常選挙,男,32472,18824,57.97
7.10.H28,参議院議員通常選挙,女,34607,19400,56.06
7.10.H28,参議院議員通常選挙,計,67079,38224,56.98
10.22.H29,市長,男,32111,18611,57.96
10.22.H29,市長,女,34077,19647,57.65
10.22.H29,市長,計,66188,38258,57.8
7.8.H30,市議会議員,男,31975,18288,57.19
7.8.H30,市議会議員,女,33828,19476,57.57
7.8.H30,市議会議員,計,65803,37764,57.39
10.17.R3,市長,男,31439,19095,60.74
10.17.R3,市長,女,33234,21015,63.23
10.17.R3,市長,計,64673,40110,62.02
