https://code4fukui.github.io/rdf/#year,https://schema.org/gender,https://code4fukui.github.io/rdf/#number_of_registrant
平成元年,男,29036
平成元年,女,31992
平成2年,男,29225
平成2年,女,32216
平成3年,男,29450
平成3年,女,32533
平成4年,男,29750
平成4年,女,32779
平成5年,男,30079
平成5年,女,33029
平成6年,男,30458
平成6年,女,33388
平成7年,男,30801
平成7年,女,33716
平成8年,男,31087
平成8年,女,33881
平成9年,男,31420
平成9年,女,34108
平成10年,男,31716
平成10年,女,34282
平成11年,男,31910
平成11年,女,34443
平成12年,男,32118
平成12年,女,34574
平成13年,男,32216
平成13年,女,34714
平成14年,男,32258
平成14年,女,34828
平成15年,男,32433
平成15年,女,34893
平成16年,男,32562
平成16年,女,34910
平成17年,男,32526
平成17年,女,34886
平成18年,男,32441
平成18年,女,34752
平成19年,男,32478
平成19年,女,34694
平成20年,男,32461
平成20年,女,34606
平成21年,男,32255
平成21年,女,34471
平成22年,男,32157
平成22年,女,34402
平成23年,男,32172
平成23年,女,34306
平成24年,男,32017
平成24年,女,34121
平成25年,男,31843
平成25年,女,34027
平成26年,男,31794
平成26年,女,33913
平成27年,男,31699
平成27年,女,33900
平成28年,男,32473
平成28年,女,34492
平成29年,男,32388
平成29年,女,34272
平成30年,男,32296
平成30年,女,34088
