https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,https://schema.org/name,https://schema.org/url,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#counts,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long
越前市福祉健康センター,府中一丁目11-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.904543,136.17041
市役所本庁舎,府中一丁目13-7,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.903529,136.168761
市役所分庁舎,蓬莱町8-10,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.901778,136.167936
武生東小学校,国府二丁目9-12,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.908487,136.16851
武生東児童センター,国府二丁目16-8,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.909053,136.167508
武生東公民館,国府二丁目9-12,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,東地区,1,35.908487,136.16851
越前市中央図書館,高瀬二丁目7-24,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.899074,136.159053
武生第一中学校,平出一丁目6-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.908059,136.158261
越前市武道館,中央一丁目8-15-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.900917,136.156396
武生中央公園総合体育館（メインアリーナ用）,高瀬二丁目8-23,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.899213,136.15569
武生中央公園総合体育館（サブアリーナ用）,高瀬二丁目8-23,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.8992126,136.1556896
武生中央公園庭球場管理棟,高瀬二丁目7-81,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.898129,136.156577
武生西小学校,中央二丁目2-13,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.902275,136.158174
文化センター,高瀬二丁目3-3,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.899549,136.1601
かこさとしふるさと記念館　石石,高瀬一丁目14-7,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.895886,136.156967
なかよし保育園,高瀬二丁目4-14,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.898993,136.160825
西公民館,中央二丁目5-35,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.90211,136.156473
武生西児童センター,中央二丁目4-10,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,西地区,1,35.902455,136.156902
ふるさとギャラリー叔羅,東千福町17-17,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.889033,136.15878
藤波亭：無料休憩所,東千福町21−12,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.890253,136.156634
越前市弓道場,妙法寺町36-2-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.886612,136.16102
武生第二中学校,妙法寺町42-15,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.887381,136.160379
越前市武生体育センター,行松町25-10,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.876368,136.167184
武生南小学校,武生柳町13-20,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.894297,136.164381
南公民館,武生柳町12-27,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.895288,136.164072
武生南児童センター,武生柳町11-28,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南地区,1,35.895558,136.164731
神山小学校,広瀬町102-43,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山地区,1,35.885733,136.136045
神山公民館,広瀬町102-55-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山地区,1,35.885883,136.135509
神山児童館,広瀬町102-41,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山地区,1,35.885736,136.136642
コミュニティセンター柳荘,家久町105-10-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.919577,136.171654
吉野小学校,本保町17-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.926104,136.157239
家久スポーツ公園温水プール,家久町105-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.924588,136.173685
吉野児童館,本保町19-9-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.925584,136.158572
家久保育園,家久町94-2-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.922552,136.166921
吉野公民館,本保町19-6,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.926437,136.1583
武生第三中学校,村国二丁目3-56,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.905707,136.175877
国高公民館,国高二丁目324-13,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.911362,136.189747
