施設名称,Nome da instalação,所在地（住所）,Localização (endereço),ＡＥＤの所在詳細,Localização do AED,緯度,経度
いまだて芸術館,Salão de Artes de Imadate,粟田部町１１－１－１,Awatabe-chō 11-1-1,南側玄関入口付近,Perto da entrada sul,35.918724,136.247278
花筐児童館,Centro da Criança Kakyō Jidō Kan,粟田部町４１－１１－１,Awatabe-chō 41-11-1,事務所内,no escritório,35.91417364,136.2408791
花筺公民館,Centro Comunitário Kakyō Kōminkan,粟田部町４１－１１－１,Awatabe-chō 41-11-1,1階ロビー,Saguão do 1º andar,35.91417364,136.2408791
花筺小学校,Escola primária Kakyō Shōgakko,粟田部町４１－１２,Awatabe-chō 41-12,体育館玄関左側,Entrada do ginásio esportivo no lado esquerdo,35.914096,136.24027
越前市あいぱーく今立（今立総合支所）,Echizen-shi Aipaaku Imadate (Subprefeitura de Imadate),粟田部町９－１－９,Awatabe-chō 9-1-9,玄関ホール,Salão de entrada,35.919187,136.246447
越前市みどりと自然の村,Echizen-shi Midori to Shizen no Mura (Outdoor),安養寺町５－３,Anyōji-chō 5-3,レストハウス受付窓口,Balcão de recepção do Rest House,35.920972,136.08052
瓜生水と緑公園体育館,Ginásio Esportivo Uryumizu to Midori Kōen,瓜生町１９－７－１,Uryū-chō 19-7-1,玄関入って左側壁面,Parede do lado esquerdo na entrada,35.926675,136.183383
国高労働福祉センター,Kunitaka Centro de Bem-Estar Laboral,瓜生町38-8,Uryucho 38-8,玄関,porta da frente,35.92554893,136.1842615
越前市サッカー場,Campo de futebol de Echizen-shi,瓜生町６－１６－２,Uryū-chō 6-16-2,管理棟内,Dentro do prédio da administração,35.929901,136.183705
もやいの郷・農楽園,Moyai-no-Sato/Norakuen,横住町17-29,Cidade de Yokozumi 17-29,1階　玄関,entrada do 1º andar,35.93880661,136.3001367
家久スポーツ公園温水プール,Iehisa Esports Kōen Onsui Pūru (piscina aquecida),家久町１０５－1,Iehisa-chō 105-1,受付正面壁,Parede frontal da recepção,35.919519,136.17173
