施設名称,緯度,経度
蔵の辻,35.902259,136.165939
紫式部公園,35.889921,136.15768
藤波亭,35.890257,136.156704
ふるさとを偲ぶ散歩道,35.89006,136.15839
ギャラリー叔羅,35.889015,136.158792
越前の里味真野苑,35.885433,136.23768
万葉館,35.885437,136.23768
旧谷口家,35.885214,136.238985
花筐公園,35.919933,136.236986
逢坂山公園,35.922946,136.244794
紙の文化博物館,35.910328,136.246171
卯立の工芸館,35.911192,136.244818
パピルス館,35.911297,136.243307
小次郎公園,35.922486,136.270293
岡太神社・大瀧神社,35.906795,136.253231
越前打刃物会館,35.876098,136.146263
タケフナイフビレッジ,35.887946,136.236576
越前市武生中央公園,35.899184,136.157856
八ツ杉千年の森,35.887937,136.30799
白山いこい館,35.887894,136.056109
みどりと自然の村太陽広場,35.92114043,136.0813209
白崎公園,35.864231,136.141114
池の上森林スポーツ林道,35.870882,136.131163
金華山グリーンランド,35.866274,136.057498
しきぶ温泉 湯楽里,35.863418,136.144574
ちひろの生まれた家,35.899907,136.166927
かこさとし　ふるさと絵本館「石石（らく）」,35.895869,136.156971
エコビレッジ交流センター,35.860105,136.086783
武生公会堂記念館,35.901639,136.168301
いまだて芸術館,35.918715,136.247292
越前市中央図書館,35.898976,136.159068
越前市今立図書館,35.919206,136.2472
観光・匠の技案内所,35.902865,136.170446
まちなかプラザ,35.903099,136.166552
武生東公民館,35.903977,136.169371
武生西公民館,35.902094,136.156504
武生南公民館,35.895286,136.164092
神山公民館,35.885877,136.135508
吉野公民館,35.926413,136.158231
国高公民館,35.911333,136.18978
大虫公民館,35.907662,136.141535
坂口公民館,35.859979,136.087078
王子保公民館,35.86753,136.168794
北新庄公民館,35.91288,136.211017
北日野公民館,35.88965,136.188642
味真野公民館,35.887603,136.226381
白山公民館,35.887981,136.055793
花筐公民館,35.91399,136.24105
岡本公民館,35.913864,136.244867
南中山公民館,35.929177,136.248064
服間公民館,35.93477,136.263819
上太田保育園,35.9005456,136.1513068
認定こども園北日野,35.8889481,136.1876648
認定こども園北新庄,35.9139819,136.2090834
家久保育園,35.9225518,136.1669213
なかよし保育園,35.8990905,136.1609142
認定こども園岡本,35.9084025,136.2451321
認定こども園南中山,35.9295393,136.2459344
認定こども園服間,35.9355276,136.2640187
二葉保育園,35.8913517,136.227798
浪花認定こども園,35.9072564,136.1687188
安養寺こども園,35.9120281,136.0776142
わかたけ認定こども園,35.9057254,136.1459989
そよかぜ認定こども園,35.9282074,136.1904939
南保育園,35.893122,136.1671582
認定東こども園,35.90116902,136.172919
認定西こども園,35.9072809,136.1517593
国高保育園,35.9070625,136.1829981
高瀬保育園,35.8946383,136.1611365
愛星認定こども園,35.8642723,136.1469667
たんぽぽ認定こども園,35.88619017,136.1645212
