名称,緯度,経度
越前市あいぱーく今立,35.91951,136.246043
藤垣神社,35.5426148,136.0947004
越前市斎場,35.86031,136.140734
越前市鴨谷霊苑,35.921788,136.241325
越前市鴨谷霊苑,35.860246,136.144319
越前市佐山鹿ノ楽墓園,35.921788,136.241325
エコビレッジ交流センター,35.8602071,136.084801
茶臼山ふるさと小公園,35.8938838,136.1482527
市民プラザたけふ,35.904543,136.17041
越前市中央図書館,35.899,136.1591
越前市今立図書館,35.9192,136.2471
しらやまいこい館,35.887814,136.056073
池ノ上スポーツ林道,35.870899,136.131249
金華山グリーンランド,35.866219,136.057496
八ツ杉森林学習センター,35.53162,136.18291
月尾山村広場,35.917322,136.26175
万葉の里駐車場トイレ,35.886339,136.236692
万葉の里藤棚付近便所,35.885577,136.238498
逢坂山トイレ（ふもと）,35.924462,136.244767
逢坂山トイレ（頂上）,35.923718,136.244173
萱谷町公衆トイレ,35.87515258,136.2294007
荒谷町公衆トイレ,35.872394,136.200106
大虫の滝公衆トイレ,35.907297,136.110229
武生中央公園（正面便所）,35.900214,136.15811
武生公会堂記念館,35.902,136.168
越前市文化センター,35.899,136.16
ふるさとギャラリー叔羅,35.888,136.158
いまだて芸術館,35.918,136.247
越前和紙の里体験工房パピルス館（屋外トイレ）,35.911378,136.243291
卯立の工芸館（屋外トイレ）,35.911209,136.244794
越前和紙の里コミュニティ広場（屋外トイレ）,35.910166,136.245317
紫式部公園,35.889667,136.157207
村国公園,35.911012,136.178665
枚井手公園,35.915552,136.161515
今立中央公園,35.925939,136.250344
佐山姫公園,35.919019,136.23991
帆山公園,35.895921,136.178386
今立南部公園,35.908874,136.241144
小次郎公園,35.922138,136.270064
花筐公園,35.919449,136.236606
日野川河川緑地,35.898493,136.175773
家久スポーツ公園,35.920383,136.171857
瓜生水と緑公園,35.926586,136.183348
武生中央公園,35.900262,136.157448
武生中央公園多目的施設,35.899046,136.159784
武生東運動公園,35.893287,136.221296
白崎公園,35.865209,136.141049
芦山公園,35.905607,136.180869
和紙の里公園,35.909587,136.249797
唐松公園,35.898167,136.152776
朝霧公園,35.894687,136.152905
柳原公園,35.922963,136.17263
南元公園,35.891127,136.168274
押田公園,35.903651,136.185526
芝原第二公園,35.919375,136.163097
北府ふれあい公園,35.916164,136.166278
高木町泓運動公園,35.91818,136.193245
片屋公園,35.918871,136.144735
越前市役所本庁舎,35.90351,136.168778
越前市役所分庁舎,35.901778,136.167936
武生東小学校屋外便所,35.908487,136.16851
武生西小学校屋外便所,35.902571,136.158142
武生南小学校屋外便所,35.894297,136.164381
坂口運動場屋外便所,35.858977,136.087001
北日野小学校屋外便所,35.889451,136.190595
味真野小学校屋外便所,35.890557,136.23317
花筐小学校屋外便所,35.914935,136.245185
服間小学校屋外便所,35.935436,136.265071
武生第一中学校屋外便所,35.908559,136.158434
武生第二中学校屋外便所,35.88738,136.160376
万葉中学校屋外便所,35.892246,136.213458
武生第六中学校屋外便所,35.865739,136.159232
弓道場,35.886656,136.161069
丹南総合公園体育館,35.929931,136.154114
丹南総合公園野球場,35.929931,136.154114
大虫体育館,35.907664,136.141488
北日野体育館,35.889588,136.188209
今立体育センター,35.909897,136.240674
武道館,35.900954,136.156445
武生中央公園総合体育館,35.900112,136.155529
武生中央公園庭球場管理棟,35.899962,136.158314
みどりと自然の村レストハウス,35.9204,136.0809
みどりと自然の村サンスポーツランド,35.9204,136.0809
みどりと自然の村屋外便所,35.9204,136.0809
武生東運動公園陸上競技場,35.890441,136.220652
白崎公園屋内ゲートボール場,35.864211,136.141337
瓜生水と緑公園体育館,35.926542,136.183452
家久スポーツ公園温水プール,35.919558,136.171674
武生体育センター,35.876343,136.167153
武生中央公園温水プール,35.89972273,136.1607223
武生東公民館,35.54323,136.10042
武生西公民館,35.54076,136.09233
武生西公民館別館,35.903097,136.155671
武生南公民館,35.53431,136.09508
神山公民館,35.053091,136.08079
吉野公民館,35.55351,136.09299
国高公民館,35.54407,136.11233
国高公民館（体育館）,35.54407,136.11233
大虫公民館,35.54272,136.08294
坂口公民館,35.51359,136.05135
王子保公民館,35.5203,136.10078
北新庄公民館,35.54451,136.12405
北日野公民館,35.53228,136.11191
味真野公民館,35.53153,136.1335
白山公民館,35.53175,136.0322
花筐公民館,35.91399,136.24105
岡本公民館,35.54498,136.14413
服間公民館,35.54125,136.10073
かこさとしふるさと絵本館「石石」,35.53453,136.09251
新堂公衆トイレ,35.562967,136.141562
新在家公衆トイレ,35.544427,136.14342
下平吹公衆トイレ,35.521384,136.103381
越前市社会福祉センター,35.920036,136.252797
コミュニティセンター柳荘,35.920499,136.171863
総社公衆トイレ,35.903121,136.164991
広小路公衆トイレ,35.901809,136.166725
南越消防組合消防本部・中消防署,35.892747,136.155107
東消防署,35.911205,136.226901
