https://schema.org/name,https://schema.org/address,https://schema.org/telephone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
秀亭　かねろく,堀川町1-4,0778- 22-3271,35.901214,136.171771,東
神山菜庵,広瀬町84-3-4,0778- 42-8680,35.887262,136.132096,神山
大江戸　本店,府中一丁目12-33,0778- 23-7765,35.903319,136.169918,東
よ志元本店,元町6-12,0778- 22-1279,35.900384,136.165701,西
しきぶ温泉　湯楽里,白崎町68-8,0778- 25-7800,35.863441,136.144751,王子保
万葉庵,余川町55-1,0778- 27-7799,35.885036,136.236941,味真野
チャイニーズレストラン　桃園,横市町11-8-2,0778- 21-0451,35.912393,136.190238,国高
魚北野,住吉町9-23,0778- 22-1143,35.898491,136.168606,東
月見亭,松森町15-4-23,0778- 24-1373,35.880062,136.161203,南
鮮魚料理　みどり屋,御幸町1-23,0778- 22-2233,35.897283,136.162848,南
トキヨ鮨,蓬莱町7-8,0778- 22-2633,35.902167,136.168011,東
幸鮨,幸町5-8,0778- 22-2929,35.904077,136.165726,東
潮鮨,岡本町15-2-4,0778- 21-2379,35.901186,136.146602,神山
寿司天狗,日野美一丁目3-23,0778- 22-3182,35.899048,136.155014,西
麺房　いせや,桂町6-22,0778- 22-1363,35.90634,136.165768,東
越前めん処　江戸屋,高瀬二丁目6-15,0778- 24-3248,35.897855,136.159364,西
本手打ちそば　山楽,横市町1-5-5,0778- 21-5366,35.908239,136.191371,国高
料亭　鎌仁別荘,天王町3-4,0778- 22-0069,35.901155,136.167249,東
料亭　糸屋,国府一丁目11-5,0778- 22-0054,35.905409,136.165831,東
料亭　京家,天王町2-6,0778- 22-0455 ,35.90092,136.167842,東
料亭　うおとめ,吾妻町1-45,0778- 22-0151,35.901093,136.170714,東
泉風,吾妻町2-23,0778- 23-9919,35.901139,136.169803,東
おりょうり　京町　萬谷,京町３丁目1-3,0778- 21-0080,35.903877,136.163735,東
神崎家,京町１丁目4-34,0778- 22-3344,35.903391,136.165259,東
魚栄楼,粟田部町29-36,0778- 42-0108,35.916582,136.240511,粟田部
料理旅館　寿屋,粟田部町29-41,0778- 42-0022,35.91719,136.24079,粟田部
レストラン　マイルイ,家久町46-13-1,0778- 22-2199,35.933436,136.163864,吉野
三河屋,蓬莱町3-25-1,0778- 23-4823,35.902915,136.166235,東
レストラン　パニエ,東千福町24-17,0778- 21-3023,35.892057,136.15659,南
里山工房さかのくち（お弁当）,湯谷町28-23-7,0778- 28-1820,35.861179,136.085072,坂口
越前そばの里,真柄町7-37,0778- 22-0272,35.905424,136.207423,北新庄
いろは本店,蓬莱町2-24,0778- 22-0654,35.903043,136.167254,東
喫茶ブルー,深草一丁目9-3,0778- 22-5949,35.903932,136.161067,西
和掬び,東千福町7-10,0778- 22-8295,35.891553,136.159165,南
ロハスかふぇ,粟田部町中央2-805-2,0778-43-0879,35.91946,136.244827,粟田部
福）北日野こもれび会　障害福祉サービス事業所　ぴーぷるファン,帆山町5-31-1,0778-23-1439,35.896404,136.177828,北日野
福）芦山会　ワークホーム　そら,国高二丁目42-6,0778-43-5510,35.908588,136.189897,国高
もてなしや　絆,蓬莱町7-20,0778-42-7125,35.902298,136.168082,東
くになかのケーキ屋さん,国中町63-13-3,42-1070,,,
ハーツたけふ,芝原四丁目6-21,21-3982,,,
百姓の館,村国二丁目12-41,23-4170,,,
コープたけふ平出店,平出二丁目1-10,22-8781,,,
コープたけふみどり館,塚町10-17-1,24-1717,,,
風ものがたり,京町一丁目4-33,21-2118,,,
庄境屋,京町一丁目1-20,22-0619,,,
ビッグベリーマーケット新町,新町28,24-0550,,,
ビッグベリーマーケット芝原,芝原5丁目3-44,21-3550,,,
ビッグベリーマーケット王子保,四郎丸町64字16,22-0588,,,
（株）平和堂　アル・プラザ武生,府中一丁目11-2,21-8900,,,
うるしや,京町一丁目4-26,21-0105,,,
京町ごはん,京町一丁目5-7,42-6960,,,
白山さんち,上杉本町11-7,28-1119,,,
野菜館にしお,府中一丁目14-14,22-1875,,,
