https://schema.org/name,https://schema.org/category,https://schema.org/telephone
政策推進課,企画部,0778-22-3016
総合交通政策課,企画部,0778-22-3704
財務課,企画部,0778-22-3234
（契約検査室）,企画部,0778-22-3234
税務課,企画部,0778-22-3014
収納課,企画部,0778-22-3015
（納税・債権回収室）,企画部,0778-22-3014
秘書広報課,総務部,0778-22-3427
（市政情報室）,総務部,0778-22-3428
行政管理課,総務部,0778-22-3013
防災危機管理課,総務部,0778-22-3081
情報統計課,総務部,0778-22-3061
市民協働課,総務部,0778-22-3293
（ダイバーシティ推進室）,総務部,0778-22-3293
窓口サービス課,市民福祉部,0778-22-3001
（消費者センター）,市民福祉部,0778-22-3773
保険年金課,市民福祉部,0778-22-3002
社会福祉課,市民福祉部,0778-22-3004
長寿福祉課,市民福祉部,0778-22-3784
（介護保険グループ）,市民福祉部,0778-22-3715
（地域包括支援センター）,市民福祉部,0778-22-3784
子ども福祉課,市民福祉部,0778-22-3006
（子ども・子育て総合相談室）,市民福祉部,0778-22-3628
健康増進課,市民福祉部,0778-24-2221
産業政策課,産業環境部,0778-22-3047
（工業の里推進室）,産業環境部,0778-22-3047
にぎわいづくり課,産業環境部,0778-22-3007
（万葉菊花園）,産業環境部,0778-27-7800
観光交流推進課,産業環境部,0778-27-7434
農政課,産業環境部,0778-22-3009
（農地管理室（農業委員会））,産業環境部,0778-22-7439
（コウノトリ共生室）,産業環境部,0778-22-7439
農林整備課,産業環境部,0778-22-3008
環境政策課,産業環境部,0778-22-5342
都市計画課,建設部,0778-22-3012
建築住宅課,建設部,0778-22-3074
都市整備課,建設部,0778-22-3010
（ダム・河川対策室）,建設部,0778-22-3010
下水道課,建設部,0778-22-7922
水道課（水道施設）,建設部,0778-22-7918
水道課（料金）,建設部,0778-22-7929
地域振興課,今立総合支所,0778-43-7811
市民福祉課,今立総合支所,0778-43-7812
会計課,会計課,0778-22-3664
議会事務局,議会事務局,0778-22-3426
監査委員事務局,監査委員事務局,0778-22-3011
（公平委員会）,監査委員事務局,0778-22-3011
教育振興課,教育委員会,0778-22-7452
（学校教育指導室）,教育委員会,0778-22-7452
生涯学習課,教育委員会,0778-22-3977
（かこさとし絵本館「石石」）,教育委員会,0778-21-2019
生涯学習センター,教育委員会,0778-22-3005
文化課,教育委員会,0778-22-7459
（武生公会堂記念館）,教育委員会,0778-21-3900
（市史編さん室）,教育委員会,0778-22-7459
スポーツ課,教育委員会,0778-22-7463
中央図書館,教育委員会,0778-22-0354
福祉健康センター,教育・文化・産業施設,0778-25-8800
生涯学習センター,教育・文化・産業施設,0778-22-3005
武生公会堂記念館,教育・文化・産業施設,0778-21-3900
文化センター,教育・文化・産業施設,0778-23-5057
青年センター,教育・文化・産業施設,0778-22-6395
観光・匠の技 案内所,教育・文化・産業施設,0778-24-0655
武生勤労青少年ホーム,教育・文化・産業施設,0778-24-0444
今立勤労青少年ホーム,教育・文化・産業施設,0778-43-1290
金華山グリーンランド,教育・文化・産業施設,0778-28-1149
ふるさとギャラリー「叔羅（しくら）」,教育・文化・産業施設,0778-23-5811
中央図書館,教育・文化・産業施設,0778-22-0354
今立図書館,教育・文化・産業施設,0778-43-0229
まちなかプラザ,教育・文化・産業施設,0778-23-0705
紫式部公園休憩所「藤波亭」,教育・文化・産業施設,0778-22-7133
八ッ杉森林学習センター,教育・文化・産業施設,0778-42-3800
いまだて芸術館,教育・文化・産業施設,0778-42-2700
万葉館,教育・文化・産業施設,0778-27-2204
今立歴史民俗資料館,教育・文化・産業施設,0778-43-0229
武生中央公園体育館,スポーツ施設,0778-22-6395
武道館,スポーツ施設,0778-23-4874
みどりと自然の村,スポーツ施設,0778-28-1119
今立テニスコート,スポーツ施設,0778-43-7811、42-0860
今立体育センター,スポーツ施設,0778-43-1587
今立中央公園多目的広場,スポーツ施設,0778-42-1870、43-7811
池ノ上森林スポーツ林道,スポーツ施設,0778-22-3008
家久スポーツ公園,スポーツ施設,0778-23-3436
武生中央公園,スポーツ施設,0778-23-6222
武生東運動公園,スポーツ施設,0778-24-3712
丹南総合公園,スポーツ施設,0778-42-6780
越前市弓道場,スポーツ施設,0778-22-7463
越前市武生駅自転車置場,生活環境施設,0778-22-3081
越前市王子保駅自転車置場,生活環境施設,0778-22-3081
越前市武生新駅自転車置場,生活環境施設,0778-22-3081
越前市武生駅東自転車置場,生活環境施設,0778-22-3081
越前市斎場,生活環境施設,0778-23-3960
越前市エコビレッジ交流センター,生活環境施設,0778-28-1123
越前市茶臼山ふるさと公園,生活環境施設,0778-24-3712
福祉健康センター,保健・医療・福祉,0778-25-8800
コミュニティーセンター柳荘,保健・医療・福祉,0778-23-3436
越前市社会福祉センター,保健・医療・福祉,0778-43-8888
しきぶ温泉『湯楽里』,保健・医療・福祉,0778-25-7800
越前市児童発達支援センターなないろ,保健・医療・福祉,0778-22-3628
越前市老人福祉センター　今寿苑,保健・医療・福祉,0778-43-0936
武生東幼稚園,幼稚園,0778-22-0161
武生西幼稚園,幼稚園,0778-22-0566
神山幼稚園,幼稚園,0778-22-7715
吉野幼稚園,幼稚園,0778-22-5541
国高幼稚園,幼稚園,0778-22-4555
大虫幼稚園,幼稚園,0778-23-0029
坂口幼稚園,幼稚園,0778-28-1008
王子保幼稚園,幼稚園,0778-22-7710
味真野幼稚園,幼稚園,0778-27-2090
武生東小学校,小学校,0778-22-0367
武生西小学校,小学校,0778-22-0408
武生南小学校,小学校,0778-22-0366
神山小学校,小学校,0778-22-1104
吉野小学校,小学校,0778-22-0192
国高小学校,小学校,0778-22-1045
大虫小学校,小学校,0778-22-1109
坂口小学校,小学校,0778-28-1808
王子保小学校,小学校,0778-22-1293
北日野小学校,小学校,0778-22-1095
北新庄小学校,小学校,0778-22-1040
味真野小学校,小学校,0778-27-1323
白山小学校,小学校,0778-28-1002
花筐小学校,小学校,0778-42-0045
岡本小学校,小学校,0778-42-0101
南中山小学校,小学校,0778-42-0225
服間小学校,小学校,0778-42-1002
上太田保育園,保育園・認定こども園,0778-22-0065
認定こども園北日野,保育園・認定こども園,0778-22-1772
認定こども園北新庄,保育園・認定こども園,0778-22-1974
家久保育園,保育園・認定こども園,0778-24-1244
なかよし保育園,保育園・認定こども園,0778-23-8024
認定こども園岡本,保育園・認定こども園,0778-42-0435
認定こども園南中山,保育園・認定こども園,0778-42-0325
認定こども園服間,保育園・認定こども園,0778-42-1029
武生第一中学校,中学校,0778-23-1411
武生第二中学校,中学校,0778-23-1422
武生第二中学校坂口分校,中学校,0778-28-1808
武生第三中学校,中学校,0778-23-1433
万葉中学校,中学校,0778-27-1258
武生第五中学校,中学校,0778-28-1004
武生第六中学校,中学校,0778-22-1462
南越中学校,中学校,0778-42-1870
王子保児童センター,児童センター・児童館,0778-24-2299
武生東児童センター,児童センター・児童館,0778-24-5229
吉野児童館,児童センター・児童館,0778-29-3230
武生南児童センター,児童センター・児童館,0778-23-5892
武生西児童センター,児童センター・児童館,0778-23-4893
大虫児童館,児童センター・児童館,0778-25-0770
国高児童センター,児童センター・児童館,0778-21-5055
味真野児童センター,児童センター・児童館,0778-27-8998
今立南部児童館,児童センター・児童館,0778-43-0974
南中山児童館,児童センター・児童館,0778-43-0991
服間児童館,児童センター・児童館,0778-43-1722
北日野児童センター,児童センター・児童館,0778-22-1176
神山児童館,児童センター・児童館,0778-42-5573
武生東公民館,公民館,0778-23-4763
武生西公民館,公民館,0778-23-4635
武生南公民館,公民館,0778-23-5103
神山公民館,公民館,0778-23-8010
吉野公民館,公民館,0778-23-4600
国高公民館,公民館,0778-23-4601
大虫公民館,公民館,0778-23-3508
坂口公民館,公民館,0778-28-1046
王子保公民館,公民館,0778-23-9666
北日野公民館,公民館,0778-23-4603
北新庄公民館,公民館,0778-23-4604
味真野公民館,公民館,0778-27-1926
白山公民館,公民館,0778-28-1045
花筐公民館,公民館,0778-42-0361
岡本公民館,公民館,0778-42-1438
南中山公民館,公民館,0778-43-1290
