https://schema.org/category,https://schema.org/about,https://schema.org/telephone,https://schema.org/email
政策推進課,総合計画、行政評価、広域行政、行財政構造改革、大学連携,２２－３０１６,kikaku@city.echizen.lg.jp
総合交通政策課,新庁舎建設、北陸新幹線、公共交通対策,２２－３７０４,mathikou@city.echizen.lg.jp
財務課,財政計画、予算編成、市有財産管理、入札、工事検査、物品購入,２２－３２３４,zaisei@city.echizen.lg.jp
税務課,土地・家屋の評価、固定資産税、都市計画税、個人市県民税、法人市民税、国民健康保険税、介護保険料、軽自動車税、たばこ税,２２－３０１４,zeimu@city.echizen.lg.jp
収納課,市税等の収納、滞納整理、納税証明、所得証明、課税証明,２２－３０１５,nouzei@city.echizen.lg.jp
秘書広報課（秘書室）,市長・副市長の秘書、市長賞下附、市の表彰、栄典・県知事表彰通達、友好都市,２２－３４２７,hisyo@city.echizen.lg.jp
秘書広報課（市政情報室）,広報紙発行、ホームページ、行政情報番組、市民相談電話、パブリックコメント、情報公開、個人情報保護制度,２２－３４２８,koutyou@city.echizen.lg.jp
行政管理課,市職員採用、市職員に関する人事・給与・研修・福利厚生、条例・規則等に関すること、指定管理者制度、選挙管理委員会,２２－３０１３,gyousei@city.echizen.lg.jp
防災危機管理課,防災、防犯、交通安全に関すること、空き家の適正管理,２２－３０８１,seikatu@city.echizen.lg.jp
情報統計課,情報化施策の企画推進、情報システムの管理運営、統計調査,２２－３０６１,joho@city.echizen.lg.jp
窓口サービス課,戸籍、住民登録、印鑑証明、税証明、外国人市民相談、犬の登録、斎場、霊園,２２－３００１,simin@city.echizen.lg.jp
（消費者センター）,消費生活相談、多重債務相談,２２－３７７３,simin@city.echizen.lg.jp
保険年金課,国民健康保険、後期高齢者医療制度、国民年金、交通災害共済,２２－３００２,hokennenkin_ka@city.echizen.lg.jp
市民協働課,地域自治振興、町内会、市民活動、NPO、多文化共生、協働推進,２２－３２９３,chiiki@city.echizen.lg.jp
（ダイバーシティ推進室）,男女共同参画、人権推進、多文化共生,２２－３２９３,chiiki@city.echizen.lg.jp
社会福祉課,地域福祉、障がい者（児）福祉、生活保護、日赤関係、災害救助・見舞金,２２－３００４,fukusi@city.echizen.lg.jp
長寿福祉課,高齢者福祉、在宅福祉、介護予防に関すること、高齢者に関する相談・支援,２２－３７８４,tyoujyu@city.echizen.lg.jp
子ども福祉課,認定こども園・保育園、児童手当、子ども・ひとり親等医療費助成、児童扶養手当、児童館,２２－３００６　,jidou@city.echizen.lg.jp
（子ども・子育て総合相談室）,家庭児童相談に関すること、ひとり親家庭相談、子育て支援サービスの相談、子どもの成長・発達に関すること、児童発達支援センターなないろ、女性・男性相談,２２－３６２８,kodomos@city.echizen.lg.jp
健康増進課,予防接種、健康診査（母子・成人）、健康栄養相談（母子・成人）、こころの相談、健康２１事業,２４－２２２１,kenkou@city.echizen.lg.jp
産業政策課,工業・地場産業の振興、企業誘致、工場立地、中小企業融資制度、雇用対策、勤労者融資制度、勤労者福祉施設管理、伝統工芸品の振興,２２－３０４７,syoukou@city.echizen.lg.jp
にぎわいづくり課,観光、振興観光施設管理、商業振興、まちなか賑わい創出、たけふ菊人形、万葉菊花園,２２－３００７,kankou@city.echizen.lg.jp
観光交流推進課,シティーセールスの総合的な企画及び推進に関すること,２２－７４３４,citysales@city.echizen.lg.jp
農政課,農業振興、集落営農、農畜産物、農業災害、食育・地産地消、里地里山保全再生、新規就農、農業委員会、農地に関すること,２２－３００９,nousei@city.echizen.lg.jp
農林整備課,土地改良、農道、造林、林道、緑化推進、鳥獣害対策,２２－３００８,nourin@city.echizen.lg.jp
環境政策課,生活環境の保全、一般廃棄物、資源リサイクル、環境教育、不法投棄の相談,２２－５３４２,kankyou@city.echizen.lg.jp
都市計画課,都市計画、用途区域、都市計画道路、中心市街地活性化、開発行為、屋外広告物、景観、土地区画整理、公園の維持管理、市営駐車場の管理,２２－３０１２,keikaku@city.echizen.lg.jp
建築住宅課,市営住宅、建物の耐震化、定住・住宅政策、新庁舎建設,２２－３０７４,kenchiku@city.echizen.lg.jp
都市整備課,道路・橋・河川・排水路の整備、吉野瀬川（ダム建設・河川改修）、災害復旧の設計・施工、市道の維持管理、市道除雪、市道認定、準用河川の維持管理,２２－３０１０,doboku@city.echizen.lg.jp
下水道課,公共下水道整備、農業・林業集落排水、合併処理浄化槽、浄化センター維持管理,２２－７９２２,gesuidou@city.echizen.lg.jp
水道課,上下水道の使用量の検針、上下水道料金の徴収、水道の使用開始・中止、水道工事、宅地・建物内の給水装置の新設や漏水の修理、給水装置工事工事申請、給水装置工事の指導管理,２２－７９２９,suidou@city.echizen.lg.jp
会計課,公金の取扱（収入および支出）、資金管理と運用、決算の調整,２２－３６６４,kaikei@city.echizen.lg.jp
議会事務局,市議会に関すること（会議の日程、傍聴、請願・陳情の受付）,２２－３４２６,gikai@city.echizen.lg.jp
監査委員事務局,行政運営全般についての監査・決算審査等,２２－３０１１,kansa@city.echizen.lg.jp
教育振興課,教育委員会、職員（教職員）人事管理、福利厚生、教職員研修、褒章、表彰、学校給食、学校環境衛生、就学時健康診断、入学、転校、学校施設の保全・耐震化など,２２－７４５２,kyouiku@city.echizen.lg.jp
生涯学習課,生涯学習推進、青少年健全育成、家庭教育、社会教育団体、地区公民館、かこさとしふるさと絵本館「石石」,２２－３９７７,gakusyuu@city.echizen.lg.jp
（生涯学習センター）,生涯学習に関する情報提供、教材提供、講座の企画・開催,２２－３００５,gakusyuu@city.echizen.lg.jp
文化課,芸術文化の振興、文化施設の運営管理、市史編さん、文化財保護、埋蔵文化財発掘調査,２２－７４５９,bunka@city.echizen.lg.jp
スポーツ課,生涯スポーツの推進、各種スポーツ大会、体育施設の管理・開放、スポーツ指導者、スポーツ少年団,２２－７４６３　,sport@city.echizen.lg.jp
中央図書館,図書の貸出・返却、読書推進、資料調査,２２－０３５４,mail@lib-city-echizen.jp
今立図書館,図書の貸出・返却、読書推進、資料調査,４３－０２２９,mail@lib-city-echizen.jp
今立総合支所地域福祉課,地域の要望事項の調整、市道・河川等の維持管理,４３－７８１１,im_chiiki@city.echizen.lg.jp
