https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#month,https://schema.org/url
H17,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/17-10-15.pdf
H17,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/17-11-15.pdf
H17,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/17-12-15.pdf
H17,1,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/18-1-15.pdf
H17,2,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/18-2-15.pdf
H17,3,http://www.city.echizen.lg.jp/office/010/010/kouhou/17kouhou_d/fil/18-3-15.pdf
H18,4,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-4-15.pdf
H18,5,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-5-15.pdf
H18,6,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-6-15.pdf
H18,7,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-7-15.pdf
H18,8,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-7-15.pdf
H18,9,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-9-15.pdf
H18,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-10-15.pdf
H18,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-11-15.pdf
H18,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/18-12-15.pdf
H18,1,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/19-1-15.pdf
H18,2,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/19-2-15.pdf
H18,3,http://www.city.echizen.lg.jp/office/010/010/kouhou/18kouhou_d/fil/19-3-15.pdf
H19,4,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-4-15.pdf
H19,5,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-5-15.pdf
H19,6,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-6-15.pdf
H19,7,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-7-15.pdf
H19,8,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-8-5.pdf
H19,9,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-9-15.pdf
H19,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-10-15.pdf
H19,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-11-15.pdf
H19,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/19kouhou_d/fil/19-12-15.pdf
