https://schema.org/category,https://schema.org/description
イベント名称,越前市に生息するダンスをする魚「トミヨ」観察会の開催
内容,現在、越前市かこさとしふるさと絵本館「石石（らく）」で原画（複製）を展示中のかこさとし氏の著作『ダンスをする魚のなぜなぜなぜ？』（小峰書店　2000年）に登場する、ダンスをする魚「イトヨ」と同じトゲウオ科の魚「トミヨ」の生体を観察します。　　　　　現在では希少な「トミヨ」を長年に渡り飼育し、その生態に造詣の深い加藤泰宏氏に、その特徴をわかりやすく説明していただきます。
備考,☆開催日時：8月9日（日）午後2時から午後4時まで　☆対象：小学生　☆定員：先着20名まで（事前申込が必要です）　☆参加費：無料
ジャンル名,こども
開催日開始,2020/8/9
開催日終了,2020/8/9
登録日,2020/7/30
問い合わせ先,越前市かこさとしふるさと絵本館「石石（らく）」
電話番号,0778－21－2019
開催地,越前市かこさとしふるさと絵本館「石石（らく）」
開催地URL,http://www.city.echizen.lg.jp/office/090/060/kakosatosi/index.html
地区,丹南
市町,越前市
住所,高瀬一丁目14－7
連絡先電話番号,0778－21－2019
メールアドレス,
交通手段,
緯度,
経度,
ズームレベル,
