https://schema.org/name,https://schema.org/address,https://schema.org/url,https://schema.org/scheduleTimezone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/Comment,https://schema.org/Origin
越前市役所,府中一丁目13-7,https://www.city.echizen.lg.jp/,午前６時から午後１０時まで,35.903474,136.168674,東,FreeSpot,財産管理課
あいぱーく今立（今立総合支所）,粟田部町9-1-9,https://www.city.echizen.lg.jp/office/200/030/index.html,午前９時から午後１０時まで,35.91925,136.2462778,粟田部,FreeSpot,今立総合支所
センチュリープラザ,府中一丁目2-3,http://www7b.biglobe.ne.jp/~masatotcd/,午前６時から午後１０時まで,35.903,136.17036,東,FreeSpot,観光誘客課
越前市中央図書館,高瀬二丁目7-24,http://lib-city-echizen.jp/,午前９時３０分から午後６時まで（水・木・金曜は午後７時まで）,35.89891,136.15927,西,FreeSpot,図書館
越前市今立図書館,定友町21-3-1,http://lib-city-echizen.jp/,午前９時３０分から午後６時まで（金曜は午後7時まで）,35.91923,136.24737,岡本,FreeSpot,図書館
武生公会堂記念館,蓬莱町8-8,https://www.city.echizen.lg.jp/office/090/030/bunkasisetu/kokaido-top.html,午前６時から午後１０時まで,35.90164,136.16833,東,FreeSpot,生涯学習・芸術文化課
越前市文化センター,高瀬二丁目3-3,https://www.jigyodan-city-echizen.jp/,午前６時から午後１０時まで,35.89949,136.15994,西,FreeSpot,生涯学習・芸術文化課
いまだて芸術館,粟田部町11-1-1,https://www.city.echizen.lg.jp/office/090/030/bunkasisetu/imadategeijyutukan.html,午前９時から午後１０時まで,35.91865,136.24722,粟田部,FreeSpot,生涯学習・芸術文化課
武生中央公園管理事務所（菊人形事務所）,高瀬二丁目7,https://www.city.echizen.lg.jp/kankou/kikuningyou/,午前６時から午後１０時まで,35.90027,136.15743,西,FreeSpot,都市計画課
万葉菊花園,余川町22-96-1,https://www.city.echizen.lg.jp/office/060/050/040/index.html,午前６時から午後１０時まで,35.88686,136.23755,味真野,FreeSpot,にぎわい創出課
しきぶ温泉「湯楽里」,白崎町68-8,http://yurari-yu.jp/,午前６時から午後１１時まで,35.863366,136.144598,王子保,FreeSpot,社会福祉課
コミュニティセンター柳荘,家久町105-10-1,https://sites.google.com/view/yanagiso,,35.920519,136.17197,吉野,FreeSpot,社会福祉課
しらやまいこい館,都辺町36-84,https://www.city.echizen.lg.jp/office/kankyounourin/020/ikoikan.html,,35.887992,136.056124,白山,FreeSpot,農政課
八ツ杉森林学習センター,別印町19-1-1,https://www.city.echizen.lg.jp/office/kankyounourin/030/yatusugi.html,,35.887979,136.307953,岡本,FreeSpot,農林整備課
金華山グリーンランド,米口町58-25,https://www.city.echizen.lg.jp/office/kankyounourin/030/kinkasangreenland.html,,35.866215,136.057508,白山,FreeSpot,農林整備課
