https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_cases
平成17年（武生市）,予算案,26
平成17年（武生市）,条例案　市長提出,9
平成17年（武生市）,条例案　議員提出,1
平成17年（武生市）,議決案,38
平成17年（武生市）,同意案,3
平成17年（武生市）,認定案,14
平成17年（武生市）,承認案,7
平成17年（武生市）,諮問案,2
平成17年（武生市）,推薦案,1
平成17年（武生市）,意見書案,2
平成17年（武生市）,請願,-
平成17年（武生市）,決議案,-
平成17年（武生市）,規則案,1
平成17年（武生市）,その他,2
平成17年（今立町）,予算案,30
平成17年（今立町）,条例案　市長提出,65
平成17年（今立町）,条例案　議員提出,-
平成17年（今立町）,議決案,31
平成17年（今立町）,同意案,1
平成17年（今立町）,認定案,2
平成17年（今立町）,承認案,6
平成17年（今立町）,諮問案,-
平成17年（今立町）,推薦案,-
平成17年（今立町）,意見書案,2
平成17年（今立町）,請願,-
平成17年（今立町）,決議案,-
平成17年（今立町）,規則案,-
平成17年（今立町）,その他,4
平成17年（10月～12月）,予算案,16
平成17年（10月～12月）,条例案　市長提出,8
平成17年（10月～12月）,条例案　議員提出,5
平成17年（10月～12月）,議決案,9
平成17年（10月～12月）,同意案,14
平成17年（10月～12月）,認定案,-
平成17年（10月～12月）,承認案,12
平成17年（10月～12月）,諮問案,1
平成17年（10月～12月）,推薦案,2
平成17年（10月～12月）,意見書案,4
平成17年（10月～12月）,請願,-
平成17年（10月～12月）,決議案,2
平成17年（10月～12月）,規則案,1
平成17年（10月～12月）,その他,-
平成18年,予算案,48
平成18年,条例案　市長提出,35
平成18年,条例案　議員提出,3
平成18年,議決案,32
平成18年,同意案,6
平成18年,認定案,37
平成18年,承認案,7
平成18年,諮問案,3
平成18年,推薦案,1
平成18年,意見書案,4
平成18年,請願,-
平成18年,決議案,1
平成18年,規則案,1
平成18年,その他,-
平成19年,予算案,41
平成19年,条例案　市長提出,32
平成19年,条例案　議員提出,2
平成19年,議決案,23
平成19年,同意案,2
平成19年,認定案,17
平成19年,承認案,8
平成19年,諮問案,5
平成19年,推薦案,-
平成19年,意見書案,5
平成19年,請願,6
平成19年,決議案,-
平成19年,規則案,-
平成19年,その他,-
平成20年,予算案,43
平成20年,条例案　市長提出,32
平成20年,条例案　議員提出,1
平成20年,議決案,28
平成20年,同意案,6
平成20年,認定案,14
平成20年,承認案,8
平成20年,諮問案,2
平成20年,推薦案,2
平成20年,意見書案,12
平成20年,請願,9
平成20年,決議案,-
平成20年,規則案,1
平成20年,その他,-
平成21年,予算案,39
平成21年,条例案　市長提出,23
平成21年,条例案　議員提出,3
平成21年,議決案,29
平成21年,同意案,4
平成21年,認定案,15
平成21年,承認案,8
平成21年,諮問案,3
平成21年,推薦案,-
平成21年,意見書案,1
平成21年,請願,8
平成21年,決議案,-
平成21年,規則案,-
平成21年,その他,4
平成22年,予算案,37
平成22年,条例案　市長提出,19
平成22年,条例案　議員提出,3
平成22年,議決案,15
平成22年,同意案,5
平成22年,認定案,15
平成22年,承認案,5
平成22年,諮問案,5
平成22年,推薦案,1
平成22年,意見書案,9
平成22年,請願,12
平成22年,決議案,-
平成22年,規則案,-
平成22年,その他,5
