https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/keywords,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection
ABC,B,退烧贴（保冷袋）,"退烧,保冷",不可燃垃圾,
WXYZ,Y,熨斗,熨斗,小型家电回收箱・  不可燃垃圾,约16cm×27cm以下的家电可放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出。
GHI,G,空罐（饮料・食品罐）,"罐头,易拉罐",空罐,将罐里全部清空､用水冲净｡大小限制在１斗罐的一半以内｡饮料食品罐以外的空罐归为“不可燃垃圾”｡  罐头上能取下的盖子归为“不可燃垃圾”､不能取下的盖子连同罐头都归为“空罐”。  装茶､海苔､点心等的罐上的盖子归为“空罐”。
GHI,G,空罐（饮料・食品罐以外）,"铁罐,金属罐",不可燃垃圾,装油漆・装蜡的罐子(将罐内清空)､存钱罐、盛放小物件的罐子等、一斗罐属于大型垃圾
PQRS,P,空玻璃瓶（饮料・食品瓶）,"空瓶,饮料瓶,玻璃瓶",空玻璃瓶,"取下瓶盖､冲洗瓶内､分颜色放入收集筐里。金属瓶盖燃归为“不可燃垃圾”、塑料瓶盖归为“塑料器皿,外包装垃圾”"
PQRS,P,空玻璃瓶（饮料・食品瓶以外）,"空瓶,玻璃瓶",不可燃垃圾,"化妆品瓶､盛放小物件的瓶子､香水瓶､药瓶(外用药等､除内服药以外的药瓶)｡  塑料瓶盖归为“塑料器皿,外包装垃圾”"
PQRS,P,调味海苔容器（玻璃）,海苔玻璃容器,空玻璃瓶,"取下盖子､分颜色放入收集筐里｡塑料瓶盖归为“塑料器皿,外包装垃圾”"
PQRS,P,调味海苔容器（塑料）,海苔塑料容器,塑料器皿、外包装垃圾,
ABC,B,"柏油,沥青","柏油,沥青",不收集,拿到工业垃圾处理场
PQRS,S,石棉,石棉,不收集,拿到特别管理工业垃圾处理场
TUV,T,田梗用苫布,苫布,不收集,向农业协会咨询
PQRS,P,油瓶（食用油瓶）,油瓶,空玻璃瓶,"取下瓶盖､冲洗瓶内､分颜色放入收集筐里｡金属瓶盖燃归为“不可燃垃圾”､塑料瓶盖归为“塑料器皿,外包装垃圾”"
WXYZ,Y,雨衣,雨衣,不可燃垃圾,
WXYZ,W,渔网（渔业用）,网,不收集,拿到工业垃圾处理场
WXYZ,W,网（采集昆虫、钓鱼用）,网,不可燃垃圾,
WXYZ,X,相册(相片),相册,可燃垃圾(可焚烧处理的垃圾),
JKL,L,铝箔（厨房用）,铝箔,不可燃垃圾,将残留的食物清除干净､归入“不可燃垃圾”
JKL,L,铝制窗框,"铝窗,铝合金窗",大型垃圾,窗框等、最长边的长度限1.8米以下。
MNO,N,暖脚器,"暖脚器,暖器",小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”｡  同时、如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。  其它情况均归为“大型垃圾”。"
TUV,T,天线,天线,大型垃圾,"最长边的长度限1.8米以下。大型的物品的处理,请咨询清扫中心。"
WXYZ,Y,椅子,椅子,大型垃圾,"最长边的长度限1.8米以下。大型的物品的处理,请咨询清扫中心。"
DEF,D,单轮车,"单轮车,一轮车",大型垃圾,
WXYZ,Y,一升瓶,一升瓶,店铺进行回收,请向店铺咨询｡破碎的瓶子归为“空玻璃瓶”、无法识别颜色的瓶子归为“不可燃垃圾”
WXYZ,Y,一斗罐（仅限家庭用）,一斗罐,大型垃圾,
GHI,G,狗的尸体,狗的尸体,不收集,请联络南越清扫组合
PQRS,P,牌位,牌位,不收集,请到寺庙咨询
DEF,E,耳机,耳机,不可燃垃圾,
WXYZ,Y,医疗垃圾,医疗垃圾,不收集,返还给医疗机关或委托专业单位处理。家庭医疗系列、废弃物、非锐利、非感染症的医疗垃圾归为“可燃垃圾(可焚烧处理的垃圾)”
WXYZ,Y,衣服类,"衣服,服装,裤子",可燃垃圾(可焚烧处理的垃圾),裁剪为１米见方以内后扔出
WXYZ,Z,饮料用纸盒（果汁等）,饮料用纸盒,可燃垃圾(可焚烧处理的垃圾),盒内面贴着铝膜的纸盒
GHI,H,花盆（陶瓷类）,花盆,不可燃垃圾・大型垃圾,"如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡其它情况均归为“大型垃圾”。"
GHI,H,花盆（塑料类）,花盆,不可燃垃圾・大型垃圾,"如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡其它情况均归为“大型垃圾”｡"
WXYZ,Y,游泳圈・游泳袋,"游泳圈,游泳袋",不可燃垃圾,将空气放空后扔出
ABC,B,手表,表,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出
WXYZ,Y,婴儿车,婴儿车,大型垃圾,
JKL,K,空调,空调,可再生家电,向店铺咨询。也可以委托废弃物搬运公司处理。需要支付再生费用。
ABC,C,"CD,MD,LD,DVD","CD,MD,LD,DVD",不可燃垃圾,装碟盘的盒子也归为“不可燃垃圾”
DEF,D,电子琴,电子琴,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
DEF,F,发动机油,发动机油,不收集,"请向店铺,或者所利用的加油站等咨询"
PQRS,P,"PVC管, 氯乙烯塑料管（仅限家庭用）","PVC管, 氯乙烯塑料管",不可燃垃圾,剪至30cm以内后扔出
WXYZ,Z,桌椅(待客用),桌椅,大型垃圾,
MNO,M,摩托车,摩托车,不收集,返还销售店、或委托专业单位处理
WXYZ,W,微波炉烤箱,微波炉烤箱,大型垃圾,
JKL,K,烤面包器,烤面包器,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  同时､如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡  其它情况均归为“大型垃圾”｡"
DEF,F,"斧,伐木斧",斧,大型垃圾,
WXYZ,W,玩具类,玩具,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
WXYZ,W,玩具类（电动）,"玩具, 电动玩具",小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡                       其它情况均归为“大型垃圾”。"
DEF,F,风琴,风琴,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
PQRS,R,热水器,热水器,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
ABC,C,窗帘,窗帘,大型垃圾,"但是､布制的窗帘､如果可以剪为1米见方以内的大小,则可以作为“可燃垃圾(可焚烧处理的垃圾)”处理。"
JKL,K,卡,卡,不可燃垃圾,银行卡等
DEF,D,地毯,地毯,大型垃圾,
WXYZ,Z,复写纸,复写纸,可燃垃圾(可焚烧处理的垃圾),
ABC,B,贝壳类,贝壳类,可燃垃圾(可焚烧处理的垃圾),
PQRS,S,手电,手电,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出
MNO,N,暖宝宝（一次性）,"暖宝宝,一次性",不可燃垃圾,未使用的新品有着火的可能､务必使用后再扔掉。  最外面的包装袋归为“塑料器皿､外包装垃圾”
GHI,H,化学药品,化学药品,不收集,请向店铺咨询
JKL,J,镜子,镜子,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
JKL,J,家具,家具,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
PQRS,S,伞,伞,不可燃垃圾,露出垃圾袋外面也没有关系
JKL,J,"火灾后的建筑物残骸,废弃物","建筑物残骸,废弃物",不收集,请向拆卸房屋的专业单位咨询
JKL,J,加湿器,加湿器,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
DEF,D,点心盒（纸盒）,点心盒,废旧纸,　
DEF,D,点心罐（金属罐）,点心罐,空罐,大小在１斗罐的一半以内
PQRS,S,食品袋（塑料袋）,食品袋,塑料器皿、外包装垃圾,将袋中清干净后扔出
PQRS,S,食品袋（纸袋）,食品袋,废旧纸,展开折叠好归入“废旧纸”回收中的“旧杂志”类
MNO,M,煤气炉,煤气炉,大型垃圾,
MNO,M,煤气(液化气)瓶,煤气(液化气)瓶,不收集,委托煤气销售店等单位回收
MNO,M,煤气灶,煤气灶,大型垃圾,"取下电池,将电池归为“有害垃圾”。"
ABC,B,便携式煤气罐,便携式煤气罐,高压喷雾罐・便携式煤气罐类,请在室外没有火种的地方，将内存瓦斯放光后再扔掉。
ABC,B,便携式煤气炉,便携式煤气炉,不可燃垃圾・大型垃圾,30cm见方以内的物品归为“不可然垃圾”｡其它情况均归为“大型垃圾”
ABC,C,磁带,磁带,可燃垃圾(可焚烧处理的垃圾),磁带盒的材质是塑料时属于“不可然垃圾”｡纸质的带盒归为“废旧纸”类
WXYZ,Y,乐器类,乐器类,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
DEF,D,刀(裁纸刀等工具刀),刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)"
WXYZ,Y,雨衣,雨衣,不可燃垃圾,
DEF,F,方便面的容器等,花瓶,塑料器皿、外包装垃圾,"材质为纸质的情况,归为“可燃垃圾 (可焚烧处理的垃圾)”。外包装塑料膜归为“塑料器皿､外包装垃圾”"
GHI,H,花瓶,花瓶,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
JKL,L,镰刀,镰刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)。菜刀也同样处理"
GHI,G,锅(煮饭锅),锅,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
WXYZ,Z,纸尿布,纸尿布,可燃垃圾(可焚烧处理的垃圾),"将污秽物扔进厕所中冲掉,纸尿布归为“可燃垃圾(可焚烧处理的垃圾)”"
WXYZ,Z,纸杯・纸盘,纸杯・纸盘,可燃垃圾(可焚烧处理的垃圾),
TUV,T,剃须刀,剃须刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)"
WXYZ,Z,纸袋,纸袋,废旧纸,和杂志捆到一起
JKL,J,胶带,胶带,可燃垃圾(可焚烧处理的垃圾),"布质,纸质的胶带归为“可燃垃圾(可焚烧处理的垃圾)”、其它归为“不可燃垃圾”"
WXYZ,Z,照相机,照相机,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
GHI,H,火药,火药,不收集,向火药专卖店咨询
PQRS,S,"三层柜,双层柜","三层柜,双层柜",大型垃圾,"三层柜,双层柜"
ABC,B,玻璃,玻璃,不可燃垃圾,"用新闻纸包裹好、并在外袋上明记“ガラス”(玻璃)。装饮料用的玻璃瓶归为“空玻璃瓶”类,分颜色扔出"
