https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection,https://code4fukui.github.io/rdf/#classification
abc,c,compressas frias,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
def,f,ferro de passar,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
jkl,l,lata vazia (alimentos e bebidas),Latas Vazias (AKIKAN),"Esvazie totalmente as latas e lave o interior com água. As latas maiores do que meia lata de 18 litros devem ser descartadas no ""lixo de grande porte"".   As latas que não continham alimentos ou bebidas devem ser descartadas no ""lixo não-queimável"".  As tampas de latas são ""lixo não-queimável"". As tampas que não foram retiradas totalmente devem ser descartada com a lata.  As tampas de latas de doce também devem ser descartadas como ""lata vazia"".",Alimentos
jkl,l,"lata vazia (exceto, alimentos e bebidas)",Lixo Não-Combustível (MOYASENAI),"Latas de cera ou tinta, cofrinho, porta-joia, etc. (utilize o conteúdo por completo). ※Latas grandes devem ser descartadas no ""lixo de grande porte"".",Artigos de uso diario
ghi,g,garrafa vazia (alimentos e bebidas),Garrafas Vazias (AKIBIN),"Retire a tampa, lave o interior e descarte nas cestas separadas por cor.  Tampa de metal : Descarte no ""lixo não-combustível"".  Tampa de plástico : Descarte no lixo de ""plástico reciclável"".",Alimentos
ghi,g,"garrafa vazia (exceto, alimentos e bebidas)",Lixo Não-Combustível (MOYASENAI),"Vidros de cosméticos, porta-joia, perfume e medicamentos (cremes etc., exceto vidros de medicamentos por via oral)  Se a tampa for de plástico, descarte no lixo de ""Plástico Reciclável"".",Artigos de uso diario
pqrs,r,recipiente (vidro) de alga (nori) temperada,Garrafas Vazias (AKIBIN),"Retire a tampa, lave o interior e descarte nas cestas separadas por cor.  Se a tampa for de plástico, descarte no lixo de ""Plástico Reciclável"".",Alimentos
pqrs,r,recipiente (plástico) de alga (nori) temperada,Plástico Reciclável (PURA),,Alimentos
abc,a,asfalto,Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 0778-28-1370.",Moradia
abc,a,asbesto (amianto),Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 0778-28-1370.",Moradia
def,f,folha de cercado para canteiros.,Não Coletado,Consulte a cooperativa agrícola.,"Jardinagem,Agricultura"
ghi,g,garrafa de óleo (alimentos e bebidas),Garrafas Vazias (AKIBIN),"Retire a tampa, lave o interior e descarte nas cestas separadas por cor.  As tampas de metal, descarte no ""Lixo Não-Combustível"".  As tampas de plástico, descarte no lixo de ""Plástico Reciclável"".",Alimentos
abc,c,capa de chuva,Lixo Não-Combustível (MOYASENAI),,Roupas
pqrs,r,rede (indústria pesqueira),Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 0778-28-1370.","Jardinagem,Agricultura"
