行,音,地区名,よみ,可燃ごみ,プラ容器,不燃ごみ,かん、びん、ペット、有害、スプレーかん,キーワード,備考
あ,あ,相木町,あいのき,毎週月・木,水,第2・4月,第1・3月,"相木町,あいのき",
あ,あ,あおば町,あおば,毎週火・金,木,第2・4木,第2・4金,"あおば町,あおば",
あ,あ,赤坂町,あかさか,毎週火・金,水,第2・4火,第1・3火,"赤坂町,あかさか",
あ,あ,赤谷町,あかたに,毎週月・木,水,第2・4月,第1・3月,"赤谷町,あかたに",
あ,あ,味真野町,あじまの,毎週月・木,水,第2・4水,第1・3水,"味真野町,あじまの",
あ,あ,味真野団地,あじまのだんち,毎週月・木,水,第2・4水,第1・3水,"味真野団地,あじまのだんち",
あ,あ,吾妻町,あづま,毎週火・金,木,第2・4木,第2・4木,"吾妻町,あづま",
あ,あ,荒谷町,あらたに,毎週火・金,水,第2・4水,第1・3月,"荒谷町,あらたに",
あ,あ,粟田部町旭,あわたべあさひ,毎週月・木,水,第2・4金,第1・3金,"粟田部町旭,あわたべあさひ",
あ,あ,粟田部町鞍谷,あわたべくらたに,毎週月・木,水,第2・4金,第1・3金,"粟田部町鞍谷,あわたべくらたに",
あ,あ,粟田部町栄,あわたべさかえ,毎週月・木,水,第2・4金,第1・3金,"粟田部町栄,あわたべさかえ",
あ,あ,粟田部町富永,あわたべとみなが,毎週月・木,水,第2・4金,第1・3金,"粟田部町富永,あわたべとみなが",
あ,あ,粟田部町西山,あわたべにしやま,毎週月・木,水,第2・4金,第1・3金,"粟田部町西山,あわたべにしやま",
あ,あ,粟田部町宝栄,あわたべほうえい,毎週月・木,水,第2・4金,第1・3金,"粟田部町宝栄,あわたべほうえい",
あ,あ,粟田部町蓬莱,あわたべほうらい,毎週月・木,水,第2・4金,第1・3金,"粟田部町蓬莱,あわたべほうらい",
あ,あ,粟野町,あわの,毎週火・金,月,第2・4月,第2・4月,"粟野町,あわの",
あ,あ,安養寺町,あんようじ,毎週火・金,月,第2・4月,第2・4月,"安養寺町,あんようじ",
あ,い,家久町,いえひさ,毎週火・金,水,第2・4水,第2・4水,"家久町,いえひさ",
あ,い,池泉町,いけいずみ,毎週月・木,水,第2・4水,第1・3水,"池泉町,いけいずみ",
あ,い,池ノ上町,いけのかみ,毎週月・木,月,第2・4月,第1・3木,"池ノ上町,いけのかみ",
あ,い,市野々町,いちのの,毎週月・木,水,第2・4月,第1・3月,"市野々町,いちのの",
あ,い,稲寄町,いなよせ,毎週火・金,木,第2・4木,第1・3水,"稲寄町,いなよせ",
あ,い,今宿町,いまじゅく,毎週月・木,水,第2・4水,第2・4火,"今宿町,いまじゅく",
あ,い,入谷町,いりたに,毎週月・木,木,第2・4木,第1・3火,"入谷町,いりたに",
あ,い,岩内町,いわうち,毎週火・金,水,第2・4水,第1・3月,"岩内町,いわうち",
