#property,pt行,pt音,pt可燃ごみ,ptプラ容器,pt不燃ごみ,ptかん、びん、ペット、有害、スプレーかん,pt備考
Ainoki-chō,abc,a,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Aoba-chō,abc,a,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Akasaka-chō,abc,a,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Akatani-chō,abc,a,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Ajimano-chō,abc,a,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Ajimanodanchi,abc,a,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Azuma-chō,abc,a,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Quinta-feira,
Aratani-chō,abc,a,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Segunda-feira,
Awatabe-chō Asahi,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Kuratani,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Sakae,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Tominaga,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Nishiyama,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Hōei,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awatabe-chō Hōrai,abc,a,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Awano-chō,abc,a,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
An'yōji-chō,abc,a,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Iehisa-chō,ghi,i,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
Ikeizumi-chō,ghi,i,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Ikenokami-chō,ghi,i,Seg/Qui,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Quinta-feira,
Ichinono-chō,ghi,i,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Inayose-chō,ghi,i,Ter/Sex,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Quarta-feira,
Imajuku-chō,ghi,i,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Iritani-chō,ghi,i,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Iwauchi-chō,ghi,i,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Segunda-feira,
Iwamoto-chō,ghi,i,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
