https://schema.org/name,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#katakana
府中一丁目,東地区,フチュウ1チョウメ
府中二丁目,東地区,フチュウ2チョウメ
府中三丁目,東地区,フチュウ3チョウメ
吾妻町,東地区,アヅマチョウ
住吉町,東地区,スミヨシチョウ
堀川町,東地区,ホリカワチョウ
錦町,東地区,ニシキチョウ
万代町,東地区,バンダイチョウ
天王町,東地区,テンノウチョウ
蓬莱町,東地区,ホウライチョウ
幸町,東地区,サイワイチョウ
国府一丁目,東地区,コクフ1チョウメ
国府二丁目,東地区,コクフ2チョウメ
北府一丁目,東地区,キタゴ1チョウメ
北府二丁目,東地区,キタゴ2チョウメ
北府三丁目,東地区,キタゴ3チョウメ
北府四丁目,東地区,キタゴ4チョウメ
桂町,東地区,カツラチョウ
本多二丁目,東地区,ホンダ2チョウメ
本多三丁目,東地区,ホンダ3チョウメ
北府本町,東地区,キタゴホンマチ
本町,西地区,ホンマチ
元町,西地区,モトマチ
京町一丁目,西地区,キョウマチ1チョウメ
京町二丁目,西地区,キョウマチ2チョウメ
京町三丁目,西地区,キョウマチ3チョウメ
本多一丁目,西地区,ホンダ1チョウメ
平和町,西地区,ヘイワチョウ
若松町,西地区,ワカマツチョウ
高瀬一丁目,西地区,タカセ1チョウメ
高瀬二丁目,西地区,タカセ2チョウメ
中央一丁目,西地区,チュウオウ1チョウメ
中央二丁目,西地区,チュウオウ2チョウメ
深草一丁目,西地区,フカクサ1チョウメ
深草二丁目,西地区,フカクサ2チョウメ
平出一丁目,西地区,ヒライデ1チョウメ
平出二丁目,西地区,ヒライデ2チョウメ
平出三丁目,西地区,ヒライデ3チョウメ
小松一丁目,西地区,コマツ1チョウメ
小松二丁目,西地区,コマツ2チョウメ
日野美一丁目,西地区,ヒノミ1チョウメ
日野美二丁目,西地区,ヒノミ2チョウメ
野上町,西地区,ノガミチョウ
新町,西地区,シンチョウ
北千福町,西地区,キタセンプクチョウ
小松町,西地区,コマツチョウ
沢町,西地区,サワチョウ
南一丁目,南地区,ミナミ1チョウメ
南二丁目,南地区,ミナミ2チョウメ
南三丁目,南地区,ミナミ3チョウメ
柳町,南地区,タケフヤナギチョウ
若竹町,南地区,ワカタケチョウ
あおば町,南地区,アオバチョウ
神明町,南地区,シンメイチョウ
豊町,南地区,ユタカチョウ
姫川一丁目,南地区,ヒメカワ1チョウメ
姫川二丁目,南地区,ヒメカワ2チョウメ
文京一丁目,南地区,ブンキョウ1チョウメ
文京二丁目,南地区,ブンキョウ2チョウメ
御幸町,南地区,ミユキチョウ
東千福町,南地区,ヒガシセンプクチョウ
行松町,南地区,ユキマツチョウ
妙法寺町,南地区,ミョウホウジチョウ
松森町,南地区,マツモリチョウ
月見町,南地区,ツキミチョウ
畷町,南地区,ナワテチョウ
常久町,南地区,ツネヒサチョウ
常久団地,南地区,ツネヒサダンチ
学園団地,南地区,ガクエンダンチ
三ツ口町,南地区,ミツクチチョウ
千福町,南地区,センプクチョウ
岡本町,神山地区,オカモトチョウ
広瀬町,神山地区,ヒロセチョウ
池の上町,神山地区,イケノカミチョウ
広瀬ひばりが丘,神山地区,ヒロセヒバリガオカ
向が丘町,神山地区,ムコウガオカチョウ
新小野,神山地区,シンコノチョウ
本保町,吉野地区,ホンボチョウ
片屋町,吉野地区,カタヤチョウ
氷坂町,吉野地区,ヒサカチョウ
余田町,吉野地区,ハグリチョウ
家久町,吉野地区,イエヒサチョウ
芝原町,吉野地区,シバハラチョウ
芝原一丁目,吉野地区,シバハラ1チョウメ
