https://code4fukui.github.io/rdf/#age,https://schema.org/category,https://code4fukui.github.io/rdf/#headcount
総　数,男総数,33849
総　数,未婚,6874
総　数,有配偶,21529
総　数,死別,5765
総　数,離別,1824
総　数,女総数,36142
15～19歳,男総数,2065
15～19歳,未婚,2001
15～19歳,有配偶,5
15～19歳,死別,0
15～19歳,離別,1
15～19歳,女総数,2011
20～24歳,男総数,1788
20～24歳,未婚,1588
20～24歳,有配偶,212
20～24歳,死別,1
20～24歳,離別,7
20～24歳,女総数,1812
25～29歳,男総数,2058
25～29歳,未婚,1077
25～29歳,有配偶,828
25～29歳,死別,0
25～29歳,離別,40
25～29歳,女総数,1965
30～34歳,男総数,2145
30～34歳,未婚,623
30～34歳,有配偶,1325
30～34歳,死別,0
30～34歳,離別,85
30～34歳,女総数,2042
35～39歳,男総数,2731
35～39歳,未婚,467
35～39歳,有配偶,1893
35～39歳,死別,8
35～39歳,離別,180
35～39歳,女総数,2557
40～44歳,男総数,3050
40～44歳,未婚,375
40～44歳,有配偶,2147
40～44歳,死別,18
40～44歳,離別,231
40～44歳,女総数,2787
45～49歳,男総数,2541
45～49歳,未婚,204
45～49歳,有配偶,2015
45～49歳,死別,38
45～49歳,離別,215
45～49歳,女総数,2482
50～54歳,男総数,2398
50～54歳,未婚,149
50～54歳,有配偶,2021
50～54歳,死別,71
50～54歳,離別,193
50～54歳,女総数,2443
55～59歳,男総数,2496
55～59歳,未婚,84
55～59歳,有配偶,2124
55～59歳,死別,110
55～59歳,離別,178
55～59歳,女総数,2501
60～64歳,男総数,2749
60～64歳,未婚,62
60～64歳,有配偶,2390
60～64歳,死別,259
60～64歳,離別,167
60～64歳,女総数,2886
65～69歳,男総数,3102
65～69歳,未婚,80
65～69歳,有配偶,2453
65～69歳,死別,426
65～69歳,離別,183
65～69歳,女総数,3150
70～74歳,男総数,2303
70～74歳,未婚,46
70～74歳,有配偶,1728
70～74歳,死別,606
70～74歳,離別,128
70～74歳,女総数,2521
75～79歳,男総数,1747
75～79歳,未婚,31
75～79歳,有配偶,1183
75～79歳,死別,874
75～79歳,離別,85
75～79歳,女総数,2181
80～84歳,男総数,1408
80～84歳,未婚,48
80～84歳,有配偶,797
80～84歳,死別,1176
80～84歳,離別,64
80～84歳,女総数,2097
