https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#institution,https://code4fukui.github.io/rdf/#capacity,https://schema.org/telephone,https://schema.org/opens,https://code4fukui.github.io/rdf/#acceptage,https://code4fukui.github.io/rdf/#temporary_custody,https://code4fukui.github.io/rdf/#holiday_childcare,https://code4fukui.github.io/rdf/#disability_childcare,https://code4fukui.github.io/rdf/#foreign_childcare
上太田保育園,越前市上太田町11-2,子ども福祉課,福祉,保育園,保育事業,35.9005456,136.1513068,大虫,市立,90,0778-22-0065,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園北日野,越前市矢放町16-4,子ども福祉課,福祉,こども園,保育事業,35.8889481,136.1876648,北日野,市立,150,0778-22-1772,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園北新庄,越前市北町38-6,子ども福祉課,福祉,こども園,保育事業,35.9139819,136.2090834,北新庄,市立,140,0778-22-1974,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
家久保育園,越前市家久町94-2-1,子ども福祉課,福祉,保育園,保育事業,35.9225518,136.1669213,吉野,市立,150,0778-24-1244,7:00～18:00,2か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
なかよし保育園,越前市高瀬二丁目4-14,子ども福祉課,福祉,保育園,保育事業,35.8990905,136.1609142,西,市立,120,0778-23-8024,7:00～18:00,2か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園岡本,越前市岩本町5-26,子ども福祉課,福祉,こども園,保育事業,35.9084025,136.2451321,岡本,市立,100,0778-42-0435,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園南中山,越前市中津山町41-13-2,子ども福祉課,福祉,こども園,保育事業,35.9295393,136.2459344,南中山,市立,140,0778-42-0325,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
認定こども園服間,越前市藤木町12-34,子ども福祉課,福祉,こども園,保育事業,35.9355276,136.2640187,服間,市立,60,0778-42-1029,7:00～18:00,6か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
二葉保育園,越前市五分市町3-6-1,子ども福祉課,福祉,こども園,保育事業,35.8913517,136.227798,味真野,社会福祉法人,90,0778-27-1328,7:00～18:00,4か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
浪花認定こども園,越前市府中三丁目5-12,子ども福祉課,福祉,こども園,保育事業,35.9072564,136.1687188,東,社会福祉法人,150,0778-22-7019,7:00～18:00,2か月以上,実施あるいは実施可,×,実施あるいは実施可,実施あるいは実施可
