https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#echizen_city_population
昭和56年,100578
昭和57年,100880
昭和58年,101161
昭和59年,101465
昭和60年,101628
昭和61年,101759
昭和62年,101965
昭和63年,102103
平成元年,102060
平成2年,102103
平成3年,102030
平成4年,101934
平成5年,101893
平成6年,101869
平成7年,101838
平成8年,101592
平成9年,101144
平成10年,101143
平成11年,100945
平成12年,100594
平成13年,100166
平成14年,99885
平成15年,99688
平成16年,*
平成17年,99029
平成18年,98583
平成19年,98215
平成20年,97753
平成21年,97352
平成22年,96849
平成23年,96454
平成24年,95888
平成25年,95368
平成26年,94952
平成27年,94350
平成28年,93657
平成29年,93016
平成30年,92418
