https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#cultivated_land,https://code4fukui.github.io/rdf/#areasquare_ha
平成17年,田,3136.1
平成17年,畑,234.4
平成17年,宅地,1421.4
平成17年,山林,3296.7
平成17年,原野,88.3
平成17年,雑種地/その他,128.1
平成18年,田,3654.2
平成18年,畑,309
平成18年,宅地,1700.8
平成18年,山林,4161
平成18年,原野,90.3
平成18年,雑種地/その他,136.1
平成19年,田,3648.7
平成19年,畑,308.1
平成19年,宅地,1710.4
平成19年,山林,4176.1
平成19年,原野,89.2
平成19年,雑種地/その他,136.4
平成20年,田,3632.7
平成20年,畑,303.2
平成20年,宅地,1724.9
平成20年,山林,4179.4
平成20年,原野,88.9
平成20年,雑種地/その他,134.1
平成21年,田,3614.8
平成21年,畑,302.7
平成21年,宅地,1733.3
平成21年,山林,4179.7
平成21年,原野,88
平成21年,雑種地/その他,134.5
平成22年,田,3606.1
平成22年,畑,303.5
平成22年,宅地,1738.3
平成22年,山林,4180.8
平成22年,原野,88.4
平成22年,雑種地/その他,131.3
平成23年,田,3600.5
平成23年,畑,303.2
平成23年,宅地,1745.3
平成23年,山林,4185.6
平成23年,原野,88.5
平成23年,雑種地/その他,131.5
平成24年,田,3596.6
平成24年,畑,303.3
平成24年,宅地,1758.2
平成24年,山林,4186.5
平成24年,原野,88.3
平成24年,雑種地/その他,131.5
平成25年,田,3676.7
平成25年,畑,322.7
平成25年,宅地,1775
平成25年,山林,4648.5
平成25年,原野,100.2
平成25年,雑種地/その他,135.7
平成26年,田,3671.3
平成26年,畑,322.1
平成26年,宅地,1781.3
平成26年,山林,4643.1
平成26年,原野,100.2
平成26年,雑種地/その他,135.4
平成27年,田,3664
平成27年,畑,320
平成27年,宅地,1791.3
平成27年,山林,4638.6
平成27年,原野,101
平成27年,雑種地/その他,135
平成28年,田,3658.4
平成28年,畑,319.5
平成28年,宅地,1798.3
平成28年,山林,4648.2
平成28年,原野,101
平成28年,雑種地/その他,120.2
