https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#value_Thousand
平成17年度（10/1～3/31）,歳入計,18263083
平成17年度（10/1～3/31）,市税,4628845
平成17年度（10/1～3/31）,地方譲与金,450630
平成17年度（10/1～3/31）,利子割交付金,31613
平成17年度（10/1～3/31）,配当割交付金,19541
平成17年度（10/1～3/31）,株式等譲渡所得割交付金,40484
平成17年度（10/1～3/31）,ゴルフ場利用税交付金,9070
平成17年度（10/1～3/31）,地方消費税交付金,400192
平成17年度（10/1～3/31）,自動車取得税交付金,146305
平成17年度（10/1～3/31）,地方特例交付金,0
平成17年度（10/1～3/31）,地方交付税,2274446
平成17年度（10/1～3/31）,交通安全対策特別交付金,5585
平成17年度（10/1～3/31）,分担金及び負担金,398760
平成17年度（10/1～3/31）,使用料及び手数料,190395
平成17年度（10/1～3/31）,国庫支出金,1240516
平成17年度（10/1～3/31）,県支出金,1344470
平成17年度（10/1～3/31）,財産収入,106872
平成17年度（10/1～3/31）,寄付金,3305
平成17年度（10/1～3/31）,繰入金,1531208
平成17年度（10/1～3/31）,繰越金,0
平成17年度（10/1～3/31）,諸収入,2275646
平成17年度（10/1～3/31）,市債,3165200
平成18年度,歳入計,30442920
平成18年度,市税,12587984
平成18年度,地方譲与金,1079144
平成18年度,利子割交付金,46153
平成18年度,配当割交付金,41697
平成18年度,株式等譲渡所得割交付金,33408
平成18年度,ゴルフ場利用税交付金,27419
平成18年度,地方消費税交付金,920091
平成18年度,自動車取得税交付金,213619
平成18年度,地方特例交付金,377365
平成18年度,地方交付税,5048118
平成18年度,交通安全対策特別交付金,16726
平成18年度,分担金及び負担金,757928
平成18年度,使用料及び手数料,391209
平成18年度,国庫支出金,1732010
平成18年度,県支出金,1643370
平成18年度,財産収入,195071
平成18年度,寄付金,7592
平成18年度,繰入金,182823
平成18年度,繰越金,1165832
平成18年度,諸収入,660661
平成18年度,市債,3314700
平成19年度,歳入計,30878543
平成19年度,市税,14994415
平成19年度,地方譲与金,406194
平成19年度,利子割交付金,61621
平成19年度,配当割交付金,50348
平成19年度,株式等譲渡所得割交付金,31474
平成19年度,ゴルフ場利用税交付金,15889
平成19年度,地方消費税交付金,905883
平成19年度,自動車取得税交付金,203269
平成19年度,地方特例交付金,107926
平成19年度,地方交付税,4570912
平成19年度,交通安全対策特別交付金,16169
平成19年度,分担金及び負担金,750466
平成19年度,使用料及び手数料,388277
平成19年度,国庫支出金,2269952
平成19年度,県支出金,1881618
平成19年度,財産収入,203355
平成19年度,寄付金,16950
平成19年度,繰入金,83377
平成19年度,繰越金,1324174
平成19年度,諸収入,819474
平成19年度,市債,1776800
平成20年度,歳入計,33040505
平成20年度,市税,14034178
平成20年度,地方譲与金,390778
平成20年度,利子割交付金,62816
平成20年度,配当割交付金,20209
平成20年度,株式等譲渡所得割交付金,7075
平成20年度,ゴルフ場利用税交付金,14428
平成20年度,地方消費税交付金,843255
平成20年度,自動車取得税交付金,178320
平成20年度,地方特例交付金,167486
平成20年度,地方交付税,3907028
平成20年度,交通安全対策特別交付金,14539
平成20年度,分担金及び負担金,733851
平成20年度,使用料及び手数料,378000
平成20年度,国庫支出金,3419524
平成20年度,県支出金,2376961
平成20年度,財産収入,133514
平成20年度,寄付金,313270
平成20年度,繰入金,259692
平成20年度,繰越金,1412671
平成20年度,諸収入,712511
平成20年度,市債,3660400
平成21年度,歳入計,32654553
平成21年度,市税,12076268
平成21年度,地方譲与金,367496
平成21年度,利子割交付金,53136
平成21年度,配当割交付金,15591
平成21年度,株式等譲渡所得割交付金,7968
平成21年度,ゴルフ場利用税交付金,15809
平成21年度,地方消費税交付金,885899
平成21年度,自動車取得税交付金,104719
平成21年度,地方特例交付金,174645
平成21年度,地方交付税,4971833
平成21年度,交通安全対策特別交付金,14418
平成21年度,分担金及び負担金,733141
平成21年度,使用料及び手数料,364931
平成21年度,国庫支出金,3762460
平成21年度,県支出金,2171697
平成21年度,財産収入,122699
平成21年度,寄付金,12928
平成21年度,繰入金,350685
平成21年度,繰越金,1769611
平成21年度,諸収入,694619
平成21年度,市債,3984000
平成22年度,歳入計,35724074
