https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#value_Thousand
平成17年度（10/1～3/31）,総額,17097252
平成17年度（10/1～3/31）,議会費,200509
平成17年度（10/1～3/31）,総務費,3132203
平成17年度（10/1～3/31）,民生費,4118579
平成17年度（10/1～3/31）,衛生費,1418443
平成17年度（10/1～3/31）,労働費,52627
平成17年度（10/1～3/31）,農林水産業費,1069428
平成17年度（10/1～3/31）,商工費,469081
平成17年度（10/1～3/31）,土木費,2084005
平成17年度（10/1～3/31）,消防費,328142
平成17年度（10/1～3/31）,教育費,2017907
平成17年度（10/1～3/31）,公債費,2053426
平成17年度（10/1～3/31）,諸支出金,13240
平成17年度（10/1～3/31）,予備費,-
平成17年度（10/1～3/31）,災害復旧費,139662
平成18年度,総額,29118746
平成18年度,議会費,302046
平成18年度,総務費,4398989
平成18年度,民生費,7516851
平成18年度,衛生費,2343555
平成18年度,労働費,240164
平成18年度,農林水産業費,1297661
平成18年度,商工費,722293
平成18年度,土木費,2783137
平成18年度,消防費,1376892
平成18年度,教育費,4188762
平成18年度,公債費,3787694
平成18年度,諸支出金,29959
平成18年度,予備費,-
平成18年度,災害復旧費,130743
平成19年度,総額,29465873
平成19年度,議会費,268319
平成19年度,総務費,4563071
平成19年度,民生費,7973438
平成19年度,衛生費,2202183
平成19年度,労働費,250826
平成19年度,農林水産業費,1196076
平成19年度,商工費,887170
平成19年度,土木費,2739906
平成19年度,消防費,1336442
平成19年度,教育費,4047287
平成19年度,公債費,3904274
平成19年度,諸支出金,33618
平成19年度,予備費,-
平成19年度,災害復旧費,63263
平成20年度,総額,31270895
平成20年度,議会費,271587
平成20年度,総務費,5213571
平成20年度,民生費,8143534
平成20年度,衛生費,2151903
平成20年度,労働費,224416
平成20年度,農林水産業費,1231048
平成20年度,商工費,993749
平成20年度,土木費,3532930
平成20年度,消防費,1355235
平成20年度,教育費,3931586
平成20年度,公債費,4109439
平成20年度,諸支出金,108329
平成20年度,予備費,-
平成20年度,災害復旧費,3566
平成21年度,総額,31730373
平成21年度,議会費,260373
平成21年度,総務費,5350517
平成21年度,民生費,8453201
平成21年度,衛生費,2125799
平成21年度,労働費,217177
平成21年度,農林水産業費,1228952
平成21年度,商工費,1211692
平成21年度,土木費,3919270
平成21年度,消防費,1345693
平成21年度,教育費,3656001
平成21年度,公債費,3855485
平成21年度,諸支出金,106213
平成21年度,予備費,-
平成21年度,災害復旧費,-
平成22年度,総額,34473612
平成22年度,議会費,247592
平成22年度,総務費,5218767
平成22年度,民生費,9956139
平成22年度,衛生費,2099258
平成22年度,労働費,200707
平成22年度,農林水産業費,1332863
平成22年度,商工費,1965485
平成22年度,土木費,4076619
平成22年度,消防費,1343415
平成22年度,教育費,4020433
平成22年度,公債費,3612454
平成22年度,諸支出金,377575
平成22年度,予備費,-
平成22年度,災害復旧費,22305
平成23年度,総額,34256809
平成23年度,議会費,325976
平成23年度,総務費,4785407
平成23年度,民生費,10192828
平成23年度,衛生費,2180868
平成23年度,労働費,194523
平成23年度,農林水産業費,1290114
平成23年度,商工費,1577632
平成23年度,土木費,4409694
平成23年度,消防費,1360403
平成23年度,教育費,4187179
平成23年度,公債費,3636972
平成23年度,諸支出金,104635
平成23年度,予備費,-
平成23年度,災害復旧費,10578
平成24年度,総額,31854109
平成24年度,議会費,287783
平成24年度,総務費,3857560
平成24年度,民生費,10175998
平成24年度,衛生費,2010875
平成24年度,労働費,188485
平成24年度,農林水産業費,1351711
平成24年度,商工費,1432732
平成24年度,土木費,3571565
平成24年度,消防費,1379052
平成24年度,教育費,3481302
平成24年度,公債費,3842176
平成24年度,諸支出金,144002
平成24年度,予備費,-
平成24年度,災害復旧費,130868
平成25年度,総額,33668265
平成25年度,議会費,275288
平成25年度,総務費,5426503
平成25年度,民生費,10421053
平成25年度,衛生費,1972407
平成25年度,労働費,188312
平成25年度,農林水産業費,1384281
平成25年度,商工費,1121227
平成25年度,土木費,3384406
平成25年度,消防費,1256727
平成25年度,教育費,4231401
平成25年度,公債費,3848676
平成25年度,諸支出金,57286
平成25年度,予備費,-
平成25年度,災害復旧費,100698
平成26年度,総額,33181431
平成26年度,議会費,266211
平成26年度,総務費,3808131
平成26年度,民生費,11011248
平成26年度,衛生費,2081603
平成26年度,労働費,192551
平成26年度,農林水産業費,1167312
平成26年度,商工費,1224527
平成26年度,土木費,3329896
平成26年度,消防費,1248769
平成26年度,教育費,4761428
平成26年度,公債費,3972927
平成26年度,諸支出金,63273
平成26年度,予備費,-
平成26年度,災害復旧費,53555
平成27年度,総額,38191438
平成27年度,議会費,290575
平成27年度,総務費,6730796
平成27年度,民生費,11810456
平成27年度,衛生費,2032646
平成27年度,労働費,203541
平成27年度,農林水産業費,1505841
平成27年度,商工費,1407745
平成27年度,土木費,3460600
平成27年度,消防費,1249508
平成27年度,教育費,5227277
平成27年度,公債費,3989787
平成27年度,諸支出金,275335
平成27年度,予備費,-
平成27年度,災害復旧費,7331
平成28年度,総額,35958462
平成28年度,議会費,257148
平成28年度,総務費,5645044
平成28年度,民生費,11175008
平成28年度,衛生費,2118857
平成28年度,労働費,195682
平成28年度,農林水産業費,1537963
平成28年度,商工費,1612518
平成28年度,土木費,3654656
平成28年度,消防費,1234836
平成28年度,教育費,4344726
平成28年度,公債費,4086834
平成28年度,諸支出金,94407
平成28年度,予備費,-
平成28年度,災害復旧費,783
平成29年度,総額,37854687
平成29年度,議会費,255601
平成29年度,総務費,6462140
平成29年度,民生費,11200779
平成29年度,衛生費,2359590
平成29年度,労働費,193472
平成29年度,農林水産業費,1363320
平成29年度,商工費,1411600
平成29年度,土木費,5173710
平成29年度,消防費,1274214
平成29年度,教育費,3972473
平成29年度,公債費,4046081
平成29年度,諸支出金,92625
平成29年度,予備費,-
平成29年度,災害復旧費,49082
