https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#number_of_households,https://code4fukui.github.io/rdf/#population
昭和31年,今立町,3300,16336
昭和32年,今立町,3285,16263
昭和33年,今立町,3273,16239
昭和34年,武生市,13601,63925
昭和34年,今立町,3251,16157
昭和35年,武生市,13600,62610
昭和35年,今立町,3327,15872
昭和36年,武生市,13739,63281
昭和36年,今立町,3321,15858
昭和37年,武生市,13783,63323
昭和37年,今立町,3314,15883
昭和38年,武生市,13725,63134
昭和38年,今立町,3288,15782
昭和39年,武生市,14064,63674
昭和39年,今立町,3329,15592
昭和40年,武生市,14329,62588
昭和40年,今立町,3399,15241
昭和41年,武生市,14324,62554
昭和41年,今立町,3361,15071
昭和42年,武生市,14380,62801
昭和42年,今立町,3330,14931
昭和43年,武生市,14715,62904
昭和43年,今立町,3487,14846
昭和44年,武生市,14903,62977
昭和44年,今立町,3549,14761
昭和45年,武生市,14924,62019
昭和45年,今立町,3457,14701
昭和46年,武生市,15215,61657
昭和46年,今立町,3474,14712
昭和47年,武生市,15417,61894
昭和47年,今立町,3447,14660
昭和48年,武生市,15675,62603
昭和48年,今立町,3454,14749
昭和49年,武生市,15923,63204
昭和49年,今立町,3456,14778
昭和50年,武生市,16185,65012
昭和50年,今立町,3485,14796
昭和51年,武生市,16389,65497
昭和51年,今立町,3502,14879
昭和52年,武生市,16527,66022
昭和52年,今立町,3479,14876
昭和53年,武生市,16727,66418
昭和53年,今立町,3500,14949
昭和54年,武生市,16920,66800
昭和54年,今立町,3502,14977
昭和55年,武生市,17296,67104
昭和55年,今立町,3501,14838
昭和56年,武生市,17443,67346
昭和56年,今立町,3494,14829
昭和57年,武生市,17675,67761
昭和57年,今立町,3482,14790
昭和58年,武生市,17843,68142
昭和58年,今立町,3496,14755
昭和59年,武生市,17995,68376
昭和59年,今立町,3484,14686
昭和60年,武生市,18211,69148
昭和60年,今立町,3515,14805
昭和61年,武生市,18385,69375
昭和61年,今立町,3503,14785
昭和62年,武生市,18534,69621
昭和62年,今立町,3505,14722
昭和63年,武生市,18681,69832
昭和63年,今立町,3547,14797
平成元年,武生市,18871,69937
平成元年,今立町,3548,14770
平成2年,武生市,19126,70187
平成2年,今立町,3552,14710
平成3年,武生市,19595,70687
平成3年,今立町,3544,14659
平成4年,武生市,19779,70827
平成4年,今立町,3566,14609
平成5年,武生市,20229,71226
平成5年,今立町,3569,14599
平成6年,武生市,20549,71712
平成6年,今立町,3574,14615
平成7年,武生市,20698,71109
平成7年,今立町,3535,14424
平成8年,武生市,21061,71518
平成8年,今立町,3534,14285
平成9年,武生市,21467,71924
平成9年,今立町,3600,14219
平成10年,武生市,21852,72316
平成10年,今立町,3612,14150
平成11年,武生市,22342,72578
平成11年,今立町,3628,14130
平成12年,武生市,22898,73792
平成12年,今立町,3563,13907
平成13年,武生市,22724,73300
平成13年,今立町,3578,13781
平成14年,武生市,23247,73630
平成14年,今立町,3573,13680
平成15年,武生市,23529,73713
平成15年,今立町,3575,13520
平成16年,武生市,24040,73968
平成16年,今立町,3602,13435
平成17年,越前市,27916,87742
平成17年,武生市,24312,74575
平成17年,今立町,3604,13167
平成18年,越前市,28151,87413
平成19年,越前市,28314,87163
平成20年,越前市,28174,86405
平成21年,越前市,27992,85640
平成22年,越前市,27601,85614
平成23年,越前市,27766,85314
平成24年,越前市,27523,84649
平成25年,越前市,27499,84024
平成26年,越前市,27663,83591
平成27年,越前市,27889,81524
平成28年,越前市,27966,80864
