https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_times
昭和,1,震度1,1
昭和,1,震度2,1
昭和,1,震度3,0
昭和,1,震度4,0
昭和,1,震度5弱,0
昭和,1,震度5強,0
昭和,1,震度6弱,0
昭和,1,震度6強,0
昭和,1,震度7,0
昭和,1,震度不明,0
昭和,2,震度1,20
昭和,2,震度2,19
昭和,2,震度3,5
昭和,2,震度4,1
昭和,2,震度5弱,1
昭和,2,震度5強,0
昭和,2,震度6弱,0
昭和,2,震度6強,0
昭和,2,震度7,0
昭和,2,震度不明,0
昭和,3,震度1,4
昭和,3,震度2,0
昭和,3,震度3,1
昭和,3,震度4,0
昭和,3,震度5弱,0
昭和,3,震度5強,0
昭和,3,震度6弱,0
昭和,3,震度6強,0
昭和,3,震度7,0
昭和,3,震度不明,0
昭和,4,震度1,6
昭和,4,震度2,1
昭和,4,震度3,0
昭和,4,震度4,0
昭和,4,震度5弱,0
昭和,4,震度5強,0
昭和,4,震度6弱,0
昭和,4,震度6強,0
昭和,4,震度7,0
昭和,4,震度不明,0
昭和,5,震度1,5
昭和,5,震度2,0
昭和,5,震度3,1
昭和,5,震度4,2
昭和,5,震度5弱,0
昭和,5,震度5強,0
昭和,5,震度6弱,0
昭和,5,震度6強,0
昭和,5,震度7,0
昭和,5,震度不明,0
昭和,6,震度1,9
昭和,6,震度2,1
昭和,6,震度3,3
昭和,6,震度4,0
昭和,6,震度5弱,0
昭和,6,震度5強,0
昭和,6,震度6弱,0
昭和,6,震度6強,0
昭和,6,震度7,0
昭和,6,震度不明,0
昭和,7,震度1,5
昭和,7,震度2,1
昭和,7,震度3,0
昭和,7,震度4,0
昭和,7,震度5弱,0
昭和,7,震度5強,0
昭和,7,震度6弱,0
昭和,7,震度6強,0
昭和,7,震度7,0
昭和,7,震度不明,0
昭和,8,震度1,0
昭和,8,震度2,4
昭和,8,震度3,3
昭和,8,震度4,0
昭和,8,震度5弱,0
昭和,8,震度5強,0
昭和,8,震度6弱,0
昭和,8,震度6強,0
昭和,8,震度7,0
昭和,8,震度不明,0
昭和,9,震度1,3
昭和,9,震度2,2
昭和,9,震度3,1
昭和,9,震度4,0
昭和,9,震度5弱,0
昭和,9,震度5強,0
昭和,9,震度6弱,0
昭和,9,震度6強,0
昭和,9,震度7,0
昭和,9,震度不明,0
昭和,10,震度1,5
昭和,10,震度2,1
昭和,10,震度3,2
昭和,10,震度4,0
昭和,10,震度5弱,0
昭和,10,震度5強,0
昭和,10,震度6弱,0
昭和,10,震度6強,0
昭和,10,震度7,0
昭和,10,震度不明,0
昭和,11,震度1,8
昭和,11,震度2,5
昭和,11,震度3,1
昭和,11,震度4,1
昭和,11,震度5弱,0
昭和,11,震度5強,0
昭和,11,震度6弱,0
昭和,11,震度6強,0
昭和,11,震度7,0
昭和,11,震度不明,0
昭和,12,震度1,1
昭和,12,震度2,0
昭和,12,震度3,1
昭和,12,震度4,0
昭和,12,震度5弱,0
昭和,12,震度5強,0
昭和,12,震度6弱,0
昭和,12,震度6強,0
昭和,12,震度7,0
昭和,12,震度不明,0
昭和,13,震度1,3
昭和,13,震度2,2
昭和,13,震度3,1
昭和,13,震度4,0
昭和,13,震度5弱,0
昭和,13,震度5強,0
昭和,13,震度6弱,0
昭和,13,震度6強,0
昭和,13,震度7,0
昭和,13,震度不明,0
昭和,14,震度1,0
昭和,14,震度2,3
昭和,14,震度3,2
昭和,14,震度4,0
昭和,14,震度5弱,0
昭和,14,震度5強,0
昭和,14,震度6弱,0
昭和,14,震度6強,0
昭和,14,震度7,0
昭和,14,震度不明,0
昭和,15,震度1,1
昭和,15,震度2,2
昭和,15,震度3,2
昭和,15,震度4,0
昭和,15,震度5弱,0
昭和,15,震度5強,0
昭和,15,震度6弱,0
昭和,15,震度6強,0
昭和,15,震度7,0
昭和,15,震度不明,0
昭和,16,震度1,10
昭和,16,震度2,2
昭和,16,震度3,0
昭和,16,震度4,0
昭和,16,震度5弱,0
昭和,16,震度5強,0
昭和,16,震度6弱,0
昭和,16,震度6強,0
昭和,16,震度7,0
昭和,16,震度不明,0
昭和,17,震度1,5
昭和,17,震度2,1
昭和,17,震度3,1
昭和,17,震度4,0
昭和,17,震度5弱,0
昭和,17,震度5強,0
昭和,17,震度6弱,0
昭和,17,震度6強,0
昭和,17,震度7,0
昭和,17,震度不明,0
昭和,18,震度1,19
昭和,18,震度2,8
昭和,18,震度3,5
昭和,18,震度4,1
昭和,18,震度5弱,0
昭和,18,震度5強,0
昭和,18,震度6弱,0
昭和,18,震度6強,0
昭和,18,震度7,0
昭和,18,震度不明,0
昭和,19,震度1,8
昭和,19,震度2,6
昭和,19,震度3,2
昭和,19,震度4,0
昭和,19,震度5弱,1
昭和,19,震度5強,0
昭和,19,震度6弱,0
昭和,19,震度6強,0
昭和,19,震度7,0
昭和,19,震度不明,2
昭和,20,震度1,19
昭和,20,震度2,7
昭和,20,震度3,4
昭和,20,震度4,1
昭和,20,震度5弱,0
昭和,20,震度5強,0
昭和,20,震度6弱,0
昭和,20,震度6強,0
昭和,20,震度7,0
昭和,20,震度不明,3
昭和,21,震度1,11
昭和,21,震度2,1
昭和,21,震度3,0
昭和,21,震度4,0
昭和,21,震度5弱,1
昭和,21,震度5強,0
昭和,21,震度6弱,0
昭和,21,震度6強,0
昭和,21,震度7,0
昭和,21,震度不明,0
昭和,22,震度1,13
昭和,22,震度2,2
昭和,22,震度3,0
昭和,22,震度4,0
昭和,22,震度5弱,0
昭和,22,震度5強,0
昭和,22,震度6弱,0
