https://schema.org/Occupation,https://code4fukui.github.io/rdf/#total_headcount,https://code4fukui.github.io/rdf/#otherCities_inPrefecture,https://code4fukui.github.io/rdf/#otherPrefectures
総数,43878,13105,139
農業、林業,1218,90,0
漁業,4,0,1
鉱業、採石業、砂利採取業,10,4,0
建設業,3161,787,9
製造業,17331,5742,55
電気･ガス･熱供給･水道業,224,122,1
情報通信業,180,64,1
運輸業、郵便業,1686,699,8
卸売・小売業,6254,1615,10
金融・保険業,774,325,3
不動産業、物品賃貸業,263,58,0
学術研究，専門・技術サービス業,808,243,0
宿泊業、飲食サービス業,1590,267,3
生活関連サービス業、娯楽業,1207,261,5
教育、学習支援業,1679,618,17
医療、福祉,3928,1234,9
複合サービス事業,336,87,0
サービス業  （他に分類されないもの）,1657,408,7
公務  （他に分類されるものを除く）,1101,385,6
