https://code4fukui.github.io/rdf/#year,https://schema.org/gender,https://code4fukui.github.io/rdf/#population,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/Comment
昭和55年,男,39648,20548,
昭和55年,女,42035,20548,
昭和56年,男,39831,20673,
昭和56年,女,42220,20673,
昭和57年,男,39889,20782,
昭和57年,女,42405,20782,
昭和58年,男,40033,21030,
昭和58年,女,42592,21030,
昭和59年,男,40138,21163,
昭和59年,女,42754,21163,
昭和60年,男,40318,21369,
昭和60年,女,42890,21369,
昭和61年,男,40476,21563,
昭和61年,女,42979,21563,
昭和62年,男,40541,21684,
昭和62年,女,42989,21684,
昭和63年,男,40654,21852,
昭和63年,女,43061,21852,
平成元年,男,40776,22037,
平成元年,女,43246,22037,
平成2年,男,40824,22212,
平成2年,女,43299,22212,
平成3年,男,40913,22447,
平成3年,女,43455,22447,
平成4年,男,40975,22670,
平成4年,女,43507,22670,
平成5年,男,41056,22881,
平成5年,女,43513,22881,
平成6年,男,41236,23112,
平成6年,女,43629,23112,
平成7年,男,41325,23359,
平成7年,女,43695,23359,
平成8年,男,41424,23621,
平成8年,女,43727,23621,
平成9年,男,41489,23917,
平成9年,女,43777,23917,
平成10年,男,41599,24274,
平成10年,女,43793,24274,
平成11年,男,41635,24567,
平成11年,女,43790,24567,
平成12年,男,41662,24842,
平成12年,女,43768,24842,
平成13年,男,41644,25063,
平成13年,女,43780,25063,
平成14年,男,41570,25283,
平成14年,女,43765,25283,
平成15年,男,41638,25667,
平成15年,女,43731,25667,
平成16年,男,41638,25872,
平成16年,女,43634,25872,
平成17年,男,41530,26048,
平成17年,女,43398,26048,
平成18年,男,41279,26262,
平成18年,女,43155,26262,
平成19年,男,41200,26397,
平成19年,女,42961,26397,
平成20年,男,41045,26546,
平成20年,女,42785,26546,
平成21年,男,40725,26547,
平成21年,女,42463,26547,
平成22年,男,40544,26667,
平成22年,女,42348,26667,
平成23年,男,40390,26845,
平成23年,女,42130,26845,
平成24年,男,40181,26987,
平成24年,女,41876,26987,
平成25年,男,41344,28896,※外国人を含む
平成25年,女,43143,28896,※外国人を含む
平成26年,男,40867,28730,※外国人を含む
平成26年,女,42750,28730,※外国人を含む
平成27年,男,40857,29177,※外国人を含む
平成27年,女,42757,29177,※外国人を含む
平成28年,男,40855,29417,※外国人を含む
平成28年,女,42511,29417,※外国人を含む
平成29年,男,40744,29655,※外国人を含む
平成29年,女,42238,29655,※外国人を含む
平成30年,男,40863,30279,※外国人を含む
平成30年,女,42259,30279,※外国人を含む
平成31年,男,40665,30592,※外国人を含む
平成31年,女,42089,30592,※外国人を含む
